GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
B. K-8 / 0 - 400,Monmouth,270,Belmar Boro,33322,0.26,0.509,0.093,0.102,0.034,0.002,7.5,33.1,100.5,0.1542
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,33479,0.26,0.665,0.065,0.002,0,0.008,5.7,46.6,51.3,0.1756
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,34812,0.54,0.395,0.065,0,0,0,8.1,77.2,79.5,0.1635
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,29115,0.422,0.509,0.061,0,0,0.008,6.7,32.6,81.5,0.1534
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,30981,0.215,0.708,0.034,0.043,0,0,7.1,55.9,119.5,0.0895
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,33945,0.238,0.556,0.124,0.002,0.081,0,8.7,62.8,83.7,0.1673
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,36821,0.208,0.732,0.032,0.028,0,0,5.2,66,66,0.0833
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,47217,0.178,0.672,0.139,0.012,0,0,7.2,38,59.6,0.0855
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,29834,0.212,0.753,0.024,0.011,0,0,8,35.5,127.9,0.1531
B. K-8 / 0 - 400,Morris,2010,Harding Township,39270,0.189,0.75,0.055,0.006,0,0,6.4,40.7,71.3,0.1439
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,32718,0.181,0.78,0.038,0.001,0,0,8.2,57.2,85.8,0.2274
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,28158,0.463,0.469,0.058,0.002,0,0.008,9.2,73.8,98.3,0.1831
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,25996,0.18,0.695,0.026,0.003,0.097,0,8.7,44.2,95.7,0.1463
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,36737,0.154,0.668,0.083,0.073,0,0.022,8.8,61.5,123,0.0569
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,34399,0.187,0.676,0.061,0.076,0,0,8.6,77.5,51.7,0.0968
B. K-8 / 0 - 400,Salem,60,Alloway Twp,23958,0.491,0.43,0.079,0,0,0,10.1,137,68.5,0.1314
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,26840,0.517,0.431,0.052,0,0,0,7.8,117,117,0.0513
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,27714,0.392,0.537,0.045,0.026,0,0,8.5,89,178,0.1573
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,26576,0.304,0.574,0.091,0.023,0,0.008,7.8,85.5,85.5,0.1462
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,24194,0.478,0.488,0.034,0,0,0,11.8,74.2,94,0.1277
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,26522,0.615,0.319,0.065,0,0,0.001,9.6,64.3,283,0.106
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,23336,0.474,0.487,0.033,0,0,0.006,9.3,111.3,111.3,0.1168
B. K-8 / 0 - 400,Sussex,1800,Green Twp,29537,0.32,0.654,0.026,0,0,0,8.7,65.5,122.3,0.1417
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,39543,0.362,0.578,0.059,0,0,0.001,7.7,40.7,113.5,0.2008
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,31628,0.296,0.659,0.04,0.006,0,0,8.2,41,205,0.1024
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,31541,0.39,0.547,0.062,0,0,0.001,9.2,43.6,76.3,0.1639
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,26408,0.527,0.373,0.095,0,0,0.005,10.5,87.2,69.8,0.1685
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,26535,0.309,0.622,0.04,0.029,0,0,9.7,48.4,103.3,0.2323
B. K-8 / 0 - 400,Union,1710,Garwood Boro,25388,0.215,0.763,0.022,0,0,0,11.5,49.1,224.4,0.1448
B. K-8 / 0 - 400,Union,5810,Winfield Twp,33022,0.589,0.37,0.035,0,0,0.006,7.5,64.6,45,0.0741
B. K-8 / 0 - 400,Warren,70,Alpha Boro,27068,0.42,0.498,0.082,0.001,0,0,8.9,147.3,147.3,0.0905
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,33084,0.197,0.746,0.05,0.006,0,0.001,6.4,62.3,187,0.1337
B. K-8 / 0 - 400,Warren,2250,Hope Twp,31890,0.218,0.719,0.057,0.006,0,0,7,131,65.5,0.2366
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,27182,0.472,0.494,0.031,0.003,0,0,9.3,83,124.5,0.1727
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,25512,0.372,0.595,0.033,0.001,0,0,10.2,102.3,76.8,0.1531
B. K-8 / 0 - 400,Warren,5780,White Twp,27341,0.221,0.733,0.04,0.006,0,0,8.6,89.7,269,0.0929
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,32382,0.645,0.183,0.155,0.011,0,0.006,9.2,55.4,110.8,0.1986
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,27696,0.575,0.294,0.07,0.044,0,0.017,10.4,70.6,105.8,0.1465
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,41634,0.263,0.623,0.103,0.001,0.007,0.003,6.8,48.4,127,0.1319
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,38687,0.215,0.726,0.055,0.003,0,0.001,11.4,75,105,0.1429
C. K-8 / 401 - 750,Bergen,1380,Englewood Cliffs Boro,41475,0.172,0.689,0.017,0.009,0.114,0,7.7,45.7,78.6,0.112
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,29976,0.232,0.706,0.052,0.01,0,0,10.7,62.8,123,0.0911
C. K-8 / 401 - 750,Bergen,2090,Haworth Boro,31231,0.217,0.747,0.018,0,0.018,0,9.3,65.5,106.5,0.1291
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,26191,0.221,0.728,0.015,0.003,0.032,0.001,10.8,62.9,90.2,0.1312
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,27954,0.251,0.693,0.037,0.02,0,0,10.2,66.5,133,0.1579
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro,25959,0.244,0.719,0.029,0.008,0,0,12.8,55.1,151.5,0.1238
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,29137,0.238,0.727,0.031,0.004,0,0,10.3,60.2,102.9,0.1518
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp,24728,0.52,0.415,0.053,0,0.008,0.004,11.5,65.1,124.6,0.1693
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,27269,0.261,0.669,0.068,0.003,0,0,9.4,59.6,107.2,0.1754
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,23119,0.375,0.572,0.04,0.004,0,0.009,10.3,63.8,97,0.1443
C. K-8 / 401 - 750,Burlington,4740,Shamong Twp,25905,0.383,0.587,0.026,0.001,0.003,0,10.8,57.3,114.7,0.1701
C. K-8 / 401 - 750,Burlington,4930,Southampton Township School District,27848,0.278,0.681,0.042,0,0,0,10.2,59,95.3,0.2127
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,29068,0.402,0.459,0.025,0.003,0.05,0.061,11.7,59.1,135.6,0.1445
C. K-8 / 401 - 750,Camden,190,Barrington Boro,25426,0.382,0.572,0.045,0,0,0.001,8.7,78.4,124.8,0.1439
C. K-8 / 401 - 750,Camden,340,Berlin Twp,27030,0.428,0.495,0.077,0,0,0,11.1,67,109.5,0.1613
C. K-8 / 401 - 750,Camden,880,Clementon Boro,22809,0.679,0.246,0.072,0.003,0,0,9.9,55.2,142.3,0.1248
C. K-8 / 401 - 750,Camden,3420,Mount Ephraim Boro,26598,0.467,0.433,0.091,0,0,0.009,10.3,62.6,109.5,0.1073
C. K-8 / 401 - 750,Camden,4790,Somerdale Boro,26644,0.555,0.405,0.04,0,0,0,10.2,67.4,89,0.1483
C. K-8 / 401 - 750,Camden,5900,Woodlynne Boro,29183,0.687,0.136,0.169,0.003,0,0.005,10.1,76.2,95.3,0.126
C. K-8 / 401 - 750,Cape May,1080,Dennis Twp,27783,0.352,0.509,0.127,0,0,0.012,10.9,65.1,162.8,0.1244
C. K-8 / 401 - 750,Cumberland,950,Commercial Twp,27213,0.664,0.138,0.19,0,0,0.008,11.8,66,231,0.1255
C. K-8 / 401 - 750,Cumberland,1460,Fairfield Twp,25414,0.754,0.126,0.121,0,0,0,14.1,112.4,126.5,0.1067
C. K-8 / 401 - 750,Cumberland,2270,Hopewell Twp,23798,0.544,0.338,0.078,0.003,0.008,0.029,11.6,92.4,154,0.1364
C. K-8 / 401 - 750,Cumberland,2570,Lawrence Twp,25860,0.687,0.203,0.109,0.002,0,0,10.9,68.7,120.3,0.1871
C. K-8 / 401 - 750,Gloucester,1830,Greenwich Twp,29404,0.213,0.758,0.03,0,0,0,9.7,51.8,106.8,0.1124
C. K-8 / 401 - 750,Hunterdon,20,Alexandria Twp,29338,0.29,0.682,0.018,0.009,0,0.001,9,57.4,80,0.1741
C. K-8 / 401 - 750,Hunterdon,1040,Delaware Twp,30985,0.261,0.665,0.023,0.009,0.042,0,9.2,89.6,100.5,0.1481
C. K-8 / 401 - 750,Hunterdon,2220,Holland Twp,28462,0.269,0.653,0.028,0.023,0.027,0,8.7,46.1,169,0.2091
C. K-8 / 401 - 750,Hunterdon,2600,Lebanon Twp,32523,0.263,0.591,0.022,0.032,0.092,0,9.2,54.9,145.5,0.1409
C. K-8 / 401 - 750,Hunterdon,5180,Tewksbury Twp,37696,0.258,0.714,0.019,0.009,0,0,9.3,51.9,100.6,0.1054
C. K-8 / 401 - 750,Hunterdon,5270,Union Twp,33646,0.227,0.673,0.021,0.013,0.067,0,9.4,39,85.8,0.1795
C. K-8 / 401 - 750,Middlesex,970,Cranbury Twp,35448,0.172,0.793,0.014,0.002,0,0.019,7.8,43.6,74.2,0.1056
C. K-8 / 401 - 750,Middlesex,2370,Jamesburg Boro,22648,0.528,0.338,0.074,0.001,0.049,0.01,10.2,64.7,133.2,0.1471
C. K-8 / 401 - 750,Monmouth,560,Brielle Boro,26566,0.204,0.769,0.025,0.002,0,0,8.2,57.6,112.3,0.1737
C. K-8 / 401 - 750,Monmouth,2720,Little Silver Boro,27766,0.243,0.716,0.038,0.004,0,0,9.5,49.5,104.7,0.1282
C. K-8 / 401 - 750,Monmouth,3830,Oceanport Boro,33832,0.246,0.701,0.039,0.003,0,0.011,7.8,44.5,87.5,0.1714
C. K-8 / 401 - 750,Monmouth,4770,Shrewsbury Boro,28093,0.238,0.733,0.023,0.006,0,0,8.8,58.1,116.3,0.1871
C. K-8 / 401 - 750,Monmouth,5230,Union Beach,23339,0.539,0.378,0.083,0,0,0,11.2,88.9,157.8,0.13
C. K-8 / 401 - 750,Monmouth,5640,West Long Branch Boro,31563,0.254,0.644,0.047,0.046,0,0.009,9.1,79.4,110.4,0.163
