CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,County
80,6064,7153304,4336256,4274863,22787,38606,0,0,2087955,1660440,729093,0,0,0,0,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,365.1,13.5,64800,73,64800,182.5,141143,16,Hudson
80,6082,22201666,10483594,9841547,218866,423181,0,0,4798572,3395055,6919500,3025542,0,0,772968,Beloved Community Charter School,Hudson,K. Charter,C,,,1,,15.5,72200,154.8,71125,129,102000,9.2,Hudson
80,6093,5203097,2479429,2047189,85863,346377,173832,91642,1533103,1046523,999237,0,17496,0,92366,Jersey City Global CS,Hudson,K. Charter,C,,,1,409,27.3,55000,204.5,61845,102.3,125000,4.3,Hudson
80,6103,15411127,7890319,7488555,240637,161127,0,0,3079210,2431541,4441598,1566217,0,0,229621,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,989.7,13.2,62000,110,65000,90,87500,7.6,Hudson
80,6105,11620439,5836048,5529462,177978,128608,0,0,4149285,2076574,1635106,0,0,0,148579,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,831.5,15.7,63500,166.4,69000,277.3,100260,19.3,Hudson
80,6420,3873072,2503667,2436208,8713,58746,0,0,965013,701782,404392,0,0,0,0,Elysian CS Of Hoboken,Hudson,K. Charter,C,,,1,288,11,60000,144,75539,288,142800,28.3,Hudson
80,6720,4725032,2248340,2160461,70456,17423,495007,342219,914032,732356,1067652,0,0,0,0,Hoboken CS,Hudson,K. Charter,C,,,1,297.4,10.5,59619,90,70045,59.4,105750,6.3,Hudson
80,6910,6838541,3720875,3362841,209877,148157,0,0,2817495,2019400,300171,0,0,0,17440,Jersey City Comm. CS,Hudson,K. Charter,C,,,1,575,20.5,63157,38.3,58800,191.7,131250,14.3,Hudson
80,6915,7511385,3946772,3570587,195099,181086,347171,186350,1245506,947455,1958261,718842,0,13675,99207,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,620.4,14.2,55959,620,58284,124,131395,8.9,Hudson
80,7115,8034696,5334259,4961588,168834,203837,63653,56360,1394438,1000415,1242346,234276,0,0,3098,Learning Community CS,Hudson,K. Charter,C,,,1,592.9,12.2,65438,296.5,80838,237.2,125801,20.2,Hudson
