CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,County,ENROLL
3,5880,17833559,10645590,10099354,344297,201939,2986747,2509923,1990411,1858889,2065981,663470,0,138524,0,10.7,69100,383.5,80438,95.9,149491,9.3,Woodcliff Lake Boro,Bergen,D. K-8 / 751 +,2,J,,1,Bergen,759.0
3,5920,41564714,23100965,22204408,676364,220193,8333182,6580301,4566513,4089286,5403128,840497,30000,127165,0,10.8,80863,59.3,97813,168,192646,18.3,Wyckoff Twp,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,2028.0
5,380,7062134,4197046,3866740,145506,184800,1581732,1320545,547959,420759,690526,210325,0,26288,0,8.9,64426,65.6,88921,82,139376,10.5,Beverly City,Burlington,B. K-8 / 0 - 400,2,B,,1,Burlington,342.0
5,475,41323812,21515149,20432319,729958,352872,7438548,5900791,4273755,3760753,6412399,3171540,0,1181596,212798,11.6,78635,52.6,72723,116.4,132200,12.3,Bordentown Regional,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,Burlington,2221.9
5,600,39494048,21865701,19252688,788787,1824226,8107236,6909446,3849495,3065614,4612245,2105772,0,951570,55500,10.1,74990,56.8,71140,106.8,120956,12.5,Burlington City,Burlington,F. K-12 / 1801 - 3500,3,B,1,1,Burlington,1865.0
5,605,40122277,22700845,21201613,213632,1285600,9287903,8660627,3302125,1774859,4274762,2285353,130175,360805,130000,4.8,71479,3.5,73428,45.4,112901,22.5,Burlington Co Spec Serv,Burlington,I. CSSD,7,,,1,Burlington,482.0
5,610,38362029,20286661,18545596,521798,1219267,5013348,4436244,4760665,2913503,6321391,2757568,0,1889805,18964,14.4,80286,109.4,80391,198.9,157172,15.6,Burlington Co Vocational,Burlington,J. VOC,8,,,1,Burlington,2036.0
5,620,67308277,41453222,37066365,1281044,3105813,11904172,6854784,6205786,4052873,6555779,744595,0,1174602,211000,11.1,80265,82.3,86831,143.2,134100,14.7,Burlington Twp,Burlington,G. K-12 / 3501 +,3,FG,,1,Burlington,3504.0
5,830,13172886,6934027,6513189,260881,159957,3352674,1821935,1384612,1079431,1425493,872189,0,41607,9670,10.6,77145,57.7,69931,115.3,122528,12.8,Chesterfield Twp,Burlington,A. K-6,1,GH,,1,Burlington,693.0
5,840,54905940,31225915,29817647,940265,468003,8552197,7538523,5238963,4337671,7267178,3106311,0,2033024,151436,11.9,82536,82.3,77311,126,128682,12.1,Cinnaminson Twp,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,Burlington,2882.1
5,1030,7047078,3783593,3536814,105016,141763,1559785,654990,808864,582889,834017,462202,0,35393,0,14.4,82684,73.7,58142,225.6,64969,18.7,Delanco Twp,Burlington,B. K-8 / 0 - 400,2,CD,,1,Burlington,356.0
