CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY
Burlington,475,Bordentown Regional,60368704,2213,27278,46,63691171,2141,29751,56,"M. K-12|K-12,1800-3500"
Burlington,600,Burlington City,62531073,1797,34806,73,64689999,1868,34636,71,"M. K-12|K-12,1800-3500"
Burlington,605,Burlington Co Spec Serv,49266012,537,91691,5,51259469,537,95431,5,P. CSSD
Burlington,610,Burlington Co Vocational,54870169,2082,26352,9,58791227,2009,29270,10,Q. County Voc
Burlington,620,Burlington Twp,92927983,3634,25573,32,98476635,3680,26762,31,"N. K-12|K-12,3500+"
Burlington,830,Chesterfield Twp,18594155,715,26003,28,18796702,722,26043,25,A. K-6|K-6
Burlington,840,Cinnaminson Twp,66218362,2757,24020,15,70231726,2865,24516,10,"M. K-12|K-12,1800-3500"
Burlington,1030,Delanco Twp,12828906,494,25996,22,13280820,504,26351,15,"I. K-12|K-8,0-400"
Burlington,1060,Delran Twp,71884611,2916,24652,21,76210258,2880,26466,24,"M. K-12|K-12,1800-3500"
Burlington,1250,Eastampton Twp,14627753,555,26371,29,15398236,623,24728,10,"D. K-8|K-8,401-750"
Burlington,1280,Edgewater Park Twp,26479038,1094,24202,26,30835923,1194,25824,26,"K. K-12|K-8,751+"
Burlington,1420,Evesham Twp,98920555,4383,22568,9,98879621,4414,22399,5,"E. K-8|K-8,751+"
Burlington,1520,Florence Twp,38962568,1555,25057,13,40554883,1543,26282,12,"L. K-12|K-12,0-1800"
Burlington,1910,Hainesport Twp,13834604,565,24479,13,14607957,536,27269,25,"D. K-8|K-8,401-750"
Burlington,2610,Lenape Regional,199692401,6693,29835,15,214968544,6628,32436,19,"G. G9-12|7-12,9-12"
Burlington,2850,Lumberton Twp,31462459,1158,27174,44,33890141,1242,27284,36,"E. K-8|K-8,751+"
Burlington,2960,Mansfield Twp,16349054,531,30815,46,17634845,548,32160,46,A. K-6|K-6
Burlington,3010,Maple Shade Twp,63935308,2404,26595,41,66671691,2504,26626,26,"M. K-12|K-12,1800-3500"
Burlington,3070,Medford Lakes Boro,10940729,488,22434,5,11248572,487,23119,5,"D. K-8|K-8,401-750"
Burlington,3080,Medford Twp,69128522,2616,26428,37,72599946,2693,26960,34,"E. K-8|K-8,751+"
Burlington,3360,Moorestown Twp,106407487,3883,27405,54,108412964,3914,27702,44,"N. K-12|K-12,3500+"
Burlington,3430,Mount Holly Twp,31216101,1111,28108,47,32193790,1149,28020,39,"E. K-8|K-8,751+"
Burlington,3440,Mount Laurel Twp,97041210,4193,23145,12,102445477,4208,24344,15,"E. K-8|K-8,751+"
Burlington,3540,New Hanover Twp,6226854,216,28868,44,6748589,206,32828,51,"I. K-12|K-8,0-400"
Burlington,3650,North Hanover Twp,39618531,1305,30354,43,44339611,1410,31448,43,A. K-6|K-6
Burlington,3690,Northern Burlington Reg,56544040,2181,25926,7,58664175,2144,27360,5,"F. G7-12|7-12,9-12"
Burlington,3920,Palmyra Boro,24048108,998,24087,7,26866167,1005,26746,17,"L. K-12|K-12,0-1800"
Burlington,4050,Pemberton Twp,142597756,4169,34204,90,139714860,4382,31887,75,"N. K-12|K-12,3500+"
Burlington,4320,Rancocas Valley Regional,51640959,2095,24650,6,57772010,2044,28259,9,"G. G9-12|7-12,9-12"
Burlington,4450,Riverside Twp,36344316,1497,24284,8,39763689,1585,25086,8,"L. K-12|K-12,0-1800"
Burlington,4460,Riverton,8238956,366,22489,4,8143461,340,23969,6,"I. K-12|K-8,0-400"
Burlington,4740,Shamong Twp,18461141,699,26415,31,18348508,708,25905,16,"D. K-8|K-8,401-750"
Burlington,4930,Southampton Twp,18614726,693,26845,34,19392874,696,27848,32,"D. K-8|K-8,401-750"
Burlington,5010,Springfield Twp,6055291,262,23110,11,6603134,290,22794,8,A. K-6|K-6
Burlington,5130,Tabernacle Twp,17394814,697,24950,15,19915477,685,29068,39,"D. K-8|K-8,401-750"
Burlington,5490,Washington Twp,1781891,66,26998,12,1996396,69,28933,11,K-12|Non-Operating
Burlington,5720,Westampton,21538700,940,22907,11,24710816,929,26590,33,"E. K-8|K-8,751+"
Burlington,5805,Willingboro Twp,96319790,3642,26449,41,108487219,3717,29184,63,"N. K-12|K-12,3500+"
Burlington,5890,Woodland Twp,3684062,104,35359,66,3489434,108,32240,48,"C. K-8|K-8,0-400"
Burlington,6026,Riverbank Charter School,3491388,154,22642,43,2644999,153,17276,6,O. Charter
Burlington,6076,Benjamin Banneker Prep Cs,8480918,353,24032,56,7422688,357,20786,28,O. Charter
Camden,150,Audubon Boro,34785706,1424,24431,10,37665315,1444,26081,9,"L. K-12|K-12,0-1800"
Camden,190,Barrington Boro,20157972,802,25149,18,20152419,793,25426,12,"J. K-12|K-8,401-750"
Camden,260,Bellmawr Boro,26870174,1158,23205,13,29457421,1158,25432,24,"E. K-8|K-8,751+"
Camden,330,Berlin Boro,17657120,825,21402,3,17972165,883,20361,1,"E. K-8|K-8,751+"
Camden,340,Berlin Twp,19489942,768,25396,23,21278195,787,27030,22,"J. K-12|K-8,401-750"
Camden,390,Black Horse Pike Regional,95830198,3527,27168,9,98864664,3598,27480,6,"G. G9-12|7-12,9-12"
Camden,580,Brooklawn Boro,8535911,360,23746,9,9364318,344,27201,25,"I. K-12|K-8,0-400"
Camden,680,Camden City,305108349,7006,43552,95,325504473,7076,45998,94,"N. K-12|K-12,3500+"
Camden,700,Camden County Vocational,61832139,2189,28251,11,75547676,2106,35877,16,Q. County Voc
Camden,800,Cherry Hill Twp,269456063,10790,24972,27,284106586,10834,26224,24,"N. K-12|K-12,3500+"
Camden,880,Clementon Boro,15658056,657,23833,11,17849732,783,22809,4,"J. K-12|K-8,401-750"
Camden,940,Collingswood Boro,53742035,2265,23726,12,57145871,2249,25406,18,"M. K-12|K-12,1800-3500"
Camden,1255,Eastern Camden County Reg,48416388,2025,23915,5,53810313,1949,27610,7,"G. G9-12|7-12,9-12"
Camden,1720,Gibbsboro Boro,7150851,297,24086,10,8130745,295,27569,28,"C. K-8|K-8,0-400"
