CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,5150,69986006,42667479,39504000,1092837,2070642,12736091,8239240,6328373,5389360,6930610,2224723,0,1311493,0,3604,Teaneck Twp,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen
3,5160,56325700,33476562,30960188,1457731,1058643,9597455,7465350,6893628,6387163,4985282,3148549,0,1344575,284768,3607,Tenafly Boro,Bergen,G. K-12 / 3501 +,3,I,,1,Bergen
3,5330,19607475,11476116,10715452,719139,41525,3401261,2945207,2166599,1769774,2437446,1372586,0,126052,58083,1224,Upper Saddle River Boro,Bergen,D. K-8 / 751 +,2,J,,1,Bergen
3,5410,24476120,17104077,16312641,676712,114724,2571103,2343918,2422499,2033475,1799896,975762,0,578545,97914,1584,Waldwick Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen
3,5430,14842135,8427132,8044738,382394,0,2190721,2015865,1770459,1503296,1789338,370765,7636,656849,16290,1281,Wallington Boro,Bergen,E. K-12 / 0 - 1800,3,B,,1,Bergen
3,5755,42303067,22570346,21812454,612753,145139,9843417,7742008,4565268,3966787,4032995,2229795,0,1235826,237004,2734,Westwood Regional,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen
3,5830,15302836,8497186,8088344,320346,88496,2391190,1340653,2161903,1729525,1762365,1118748,0,479884,1475,1178,Wood-Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,Bergen
3,5880,13159304,7209149,6726201,349941,133007,2691280,2362521,1566428,1334139,1592756,434561,0,96929,166157,761,Woodcliff Lake Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,Bergen
3,5920,33399646,19686131,18848433,598914,238784,6520570,5213690,3881949,3442316,3196598,646626,13000,98841,167818,2075,Wyckoff Twp,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
5,200,2241525,1417047,1287834,40912,88301,323331,251770,250874,168952,228870,117546,0,21403,0,109,Bass River Twp,Burlington,A. K-6,1,CD,,1,Burlington
5,380,4790808,2712200,2408801,204243,99156,839854,667107,483963,390607,735044,225809,0,11777,33187,294,Beverly City,Burlington,B. K-8 / 0 - 400,2,B,,1,Burlington
5,475,31798173,16448823,15719190,533049,196584,6563416,4710677,3237780,2741380,4258734,2502344,0,969695,120489,2493,Bordentown Regional,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,Burlington
5,600,30366591,17027724,15331620,703692,992412,5914251,5368975,3137789,2563656,3439143,1504194,0,769951,149981,1726,Burlington City,Burlington,E. K-12 / 0 - 1800,3,B,1,1,Burlington
5,605,36894981,21197933,19681366,199863,1316704,6684561,6158474,3960825,2851404,3958053,2182985,554419,386677,905150,690,Burlington Co Spec Serv,Burlington,I. CSSD,7,,,1,Burlington
5,610,32463271,15472745,13882382,692507,897856,4843253,4156067,4897842,3217749,5886467,2339762,0,1298661,1084218,2030,Burlington Co Vocational,Burlington,J. VOC,8,,,1,Burlington
5,620,52137121,32823119,29944914,595651,2282554,8030549,4848181,4806287,3403507,5679619,942752,0,797547,1053032,3931,Burlington Twp,Burlington,G. K-12 / 3501 +,3,FG,,1,Burlington
5,830,8521166,4850274,4687869,134215,28190,1748005,1192294,948629,733932,943853,607360,0,7402,9972,764,Chesterfield Twp,Burlington,A. K-6,1,GH,,1,Burlington
5,840,35312801,19931628,19013316,617648,300664,5869090,5219513,3773845,3274505,3749156,1917903,0,1605233,209368,2439,Cinnaminson Twp,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,Burlington
5,1030,5663572,3241898,2981878,165683,94337,984959,782340,644662,382686,732469,363987,0,43347,42699,392,Delanco Twp,Burlington,C. K-8 / 401 - 750,2,CD,,1,Burlington
5,1060,37112706,22247494,21290398,564286,392810,6454127,5149340,3478635,2812635,3949692,1029951,0,965439,74653,3020,Delran Twp,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,Burlington
5,1250,8188953,5010189,4925029,48016,37144,1064703,893564,1036125,898115,1019841,649775,0,58095,0,593,Eastampton Twp,Burlington,C. K-8 / 401 - 750,2,FG,,1,Burlington
5,1280,11311162,6634030,6493256,116601,24173,1886163,1595736,1691794,1100538,973604,651583,0,94510,6319,860,Edgewater Park Twp,Burlington,D. K-8 / 751 +,2,DE,,1,Burlington
5,1420,64398080,40510711,39353221,659939,497551,10184864,8305232,5666956,4910910,6909815,4396845,0,513818,29051,4452,Evesham Twp,Burlington,D. K-8 / 751 +,2,I,,1,Burlington
5,1520,20728913,11397391,10778751,183038,435602,3197215,2411125,2667822,2120696,2984228,1202694,0,480011,0,1593,Florence Twp,Burlington,E. K-12 / 0 - 1800,3,DE,,1,Burlington
5,1910,7878023,4919322,4547753,212263,159306,1188752,920728,883964,634079,799441,262057,0,75977,7946,621,Hainesport Twp,Burlington,C. K-8 / 401 - 750,2,FG,,1,Burlington
5,2610,118756220,70575143,66570094,2797873,1207176,16783594,15373426,9710107,8168622,15185684,7879023,0,6105491,1915406,6734,Lenape Regional,Burlington,H. 7-12 / 9-12,5,GH,,1,Burlington
5,2850,19630584,11875491,11487172,340229,48090,2905923,2659390,2451218,2029292,2257628,1044670,0,140324,92364,1376,Lumberton Twp,Burlington,D. K-8 / 751 +,2,FG,,1,Burlington
5,2960,8892098,5056169,4780006,229756,46407,1608553,960477,1134683,919554,1064615,655728,0,26820,2450,640,Mansfield Twp,Burlington,A. K-6,1,DE,,1,Burlington
5,3010,30274092,18857555,17660514,555686,641355,4539420,3405070,3028580,2552446,3009155,1507897,0,703294,42253,2185,Maple Shade Twp,Burlington,F. K-12 / 1801 - 3500,3,CD,,1,Burlington
5,3070,6532567,4219547,3979176,142234,98137,876694,694870,804040,622048,583116,313525,0,49170,6650,545,Medford Lakes Boro,Burlington,C. K-8 / 401 - 750,2,I,,1,Burlington
5,3080,38794560,23674598,20518742,446231,2709625,5453893,4863138,4598983,3723445,4559776,2613813,0,87509,365385,2731,Medford Twp,Burlington,D. K-8 / 751 +,2,I,,1,Burlington
5,3360,59723926,35637777,33209830,620821,1807126,11133176,9807103,5141200,4189104,5820404,2561307,0,1742319,0,3908,Moorestown Twp,Burlington,G. K-12 / 3501 +,3,I,,1,Burlington
5,3430,15290078,8902678,8280345,219268,403065,2235220,1903162,1910410,1626006,2086920,1259033,0,154851,162812,984,Mount Holly Twp,Burlington,D. K-8 / 751 +,2,B,,1,Burlington
5,3440,58536387,37132114,35822641,792173,517300,7515052,6499088,5453870,4288446,7504476,3669692,0,312678,9718,4217,Mount Laurel Twp,Burlington,D. K-8 / 751 +,2,I,,1,Burlington
5,3540,3953832,2514545,2371292,107902,35351,749204,546876,262165,98566,383306,135992,0,34460,8390,187,New Hanover Twp,Burlington,B. K-8 / 0 - 400,2,B,,1,Burlington
5,3650,18250494,11096698,10408080,333007,355611,3354295,3089169,1829563,1588399,1839657,922559,0,64620,298723,1193,North Hanover Twp,Burlington,A. K-6,1,CD,,1,Burlington
5,3690,27673443,15065580,13562163,599014,904403,4741216,3735114,2782842,2366351,3768220,2074139,0,1260129,220942,2024,Northern Burlington Reg,Burlington,H. 7-12 / 9-12,4,DE,,1,Burlington
5,3920,12700574,7245144,6769240,231800,244104,1991849,1798962,1320058,1099222,1517377,742345,0,612016,17527,936,Palmyra Boro,Burlington,E. K-12 / 0 - 1800,3,DE,,1,Burlington
5,4050,94017573,55794440,53847745,1310532,636163,18846315,14083561,7363459,6355937,9882872,6181285,120804,1057621,1108559,5022,Pemberton Twp,Burlington,G. K-12 / 3501 +,3,B,1,1,Burlington
5,4320,26040282,13947589,12567591,1093039,286959,3680588,2988785,3333743,2481995,3676892,1775042,0,1401471,227107,2034,Rancocas Valley Regional,Burlington,H. 7-12 / 9-12,5,DE,,1,Burlington
5,4450,18200141,11200757,10727867,198949,273941,2160713,1849082,2141373,1898347,2087929,1202352,0,609370,53320,1404,Riverside Twp,Burlington,E. K-12 / 0 - 1800,3,B,,1,Burlington
5,4460,3809742,2252799,2127217,74819,50763,596423,525599,477026,359472,427561,168929,0,55933,49709,309,Riverton,Burlington,B. K-8 / 0 - 400,2,GH,,1,Burlington
5,4740,11505914,6959548,6298589,250370,410589,1603400,1418747,1471877,1247252,1335449,853886,0,135640,38375,769,Shamong Twp,Burlington,D. K-8 / 751 +,2,GH,,1,Burlington
5,4930,11177038,7065984,6640524,209882,215578,1538643,1094513,1392517,1116643,1079538,501734,0,100356,105128,689,Southampton Twp,Burlington,C. K-8 / 401 - 750,2,DE,,1,Burlington
5,5010,4273280,2666841,2515422,124448,26971,693259,510130,457129,378468,434837,273937,15000,1555,0,224,Springfield Twp,Burlington,A. K-6,1,FG,,1,Burlington
5,5130,11801363,6787298,6262070,314000,211228,2001426,1725434,1281739,1029272,1525740,834945,0,91666,8479,747,Tabernacle Twp,Burlington,C. K-8 / 401 - 750,2,GH,,1,Burlington
5,5720,10873995,7127483,6716700,383198,27585,1251663,1032502,971185,828645,1462080,724979,0,61583,0,985,Westampton,Burlington,D. K-8 / 751 +,2,GH,,1,Burlington
5,5805,52771761,29401426,27060115,1111748,1229563,7830252,7016358,6505558,5124257,8120218,4096296,0,872987,780987,3664,Willingboro Twp,Burlington,F. K-12 / 1801 - 3500,3,DE,,1,Burlington
5,5890,2438927,1493462,1378941,59557,54964,272144,241522,288167,219593,318264,201247,47783,7452,11643,152,Woodland Twp,Burlington,B. K-8 / 0 - 400,2,DE,,1,Burlington
7,150,20603540,11946639,11402472,367010,177157,3153920,2890724,2409246,2168824,2035829,1317989,52960,941892,4167,1545,Audubon Boro,Camden,E. K-12 / 0 - 1800,3,DE,,1,Camden
