GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
B. K-8 / 0 - 400,Hunterdon,5270,Union Twp,40,29|81,0.002,95,55|81,0.005,64,54|81,0.003
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,98,52|81,0.004,192,70|81,0.008,26,15|81,0.001
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,28,20|81,0.001,16,15|81,76E-5,23,10|81,0.001
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,116,59|81,0.005,135,65|81,0.006,121,73|81,0.005
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,18,11|81,0.001,20,17|81,0.001,28,17|81,0.001
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,104,54|81,0.006,60,44|81,0.003,61,51|81,0.003
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,276,78|81,0.016,412,79|81,0.021,202,80|81,0.01
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,187,74|81,0.008,362,78|81,0.014,155,78|81,0.006
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,196,75|81,0.006,178,69|81,0.006,104,67|81,0.004
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,21,15|81,0.001,53,38|81,0.003,40,29|81,0.002
B. K-8 / 0 - 400,Morris,460,Boonton Twp,28,20|81,0.001,54,39|81,0.003,40,29|81,0.002
B. K-8 / 0 - 400,Morris,2010,Harding Township,260,76|81,0.01,141,68|81,0.005,61,51|81,0.002
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,33,24|81,0.002,70,47|81,0.004,64,54|81,0.003
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,122,62|81,0.007,199,72|81,0.011,110,69|81,0.006
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,141,66|81,0.009,98,56|81,0.006,61,51|81,0.003
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,165,71|81,0.007,135,65|81,0.006,45,34|81,0.002
B. K-8 / 0 - 400,Ocean,2500,Lakehurst Boro,18,11|81,0.001,25,21|81,0.002,24,13|81,0.001
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,66,42|81,0.004,56,41|81,0.003,14,5|81,64E-5
B. K-8 / 0 - 400,Salem,60,Alloway Twp,105,56|81,0.008,110,60|81,0.008,119,71|81,0.008
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,6,3|81,33E-5,13,9|81,8E-4,29,19|81,0.002
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,52,37|81,0.003,32,25|81,0.002,24,13|81,0.001
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,15,9|81,0.001,4,1|81,25E-5,42,31|81,0.003
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,69,45|81,0.005,63,46|81,0.004,54,44|81,0.003
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,8,6|81,51E-5,13,9|81,81E-5,28,17|81,0.001
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,82,50|81,0.005,113,62|81,0.007,58,48|81,0.004
B. K-8 / 0 - 400,Sussex,1800,Green Twp,133,65|81,0.007,50,36|81,0.003,68,58|81,0.003
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,34,25|81,0.002,71,48|81,0.003,49,36|81,0.002
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,61,39|81,0.003,227,73|81,0.012,77,61|81,0.004
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,585,80|81,0.029,481,80|81,0.023,212,81|81,0.01
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,3,1|81,18E-5,12,8|81,76E-5,31,22|81,0.002
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,25,18|81,0.001,13,9|81,77E-5,37,25|81,0.002
B. K-8 / 0 - 400,Union,1710,Garwood Boro,93,51|81,0.006,194,71|81,0.013,118,70|81,0.007
B. K-8 / 0 - 400,Union,5810,Winfield Twp,42,31|81,0.002,29,24|81,0.001,53,42|81,0.002
B. K-8 / 0 - 400,Warren,70,Alpha Boro,124,63|81,0.007,242,75|81,0.011,65,56|81,0.003
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,4,2|81,2E-4,38,28|81,0.002,27,16|81,0.001
B. K-8 / 0 - 400,Warren,2250,Hope Twp,160,69|81,0.007,39,30|81,0.002,34,23|81,0.002
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,18,11|81,0.001,13,9|81,77E-5,10,1|81,52E-5
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,32,23|81,0.002,34,26|81,0.002,66,57|81,0.004
B. K-8 / 0 - 400,Warren,5780,White Twp,7,4|81,35E-5,10,6|81,47E-5,50,39|81,0.002
