GROUP,CONAME,DIST,DISTNAME,PP17,RK17,PCT17,SBA7,PP27,RK27,PCT27,SBB7,PP37,RK37,PCT37,SBC7
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,3239,62|81,0.158,0.9342,3356,64|81,0.162,0.9372,3564,63|81,0.16,0.92
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,1763,22|81,0.075,0.5685,1667,14|81,0.072,0.5257,1670,14|81,0.072,0.5173
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,1722,18|81,0.1,0.5833,2596,44|81,0.131,0.6286,2820,46|81,0.143,0.6706
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,2594,51|81,0.139,0.8667,2081,32|81,0.103,0.7774,2359,35|81,0.12,0.8237
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,2375,43|81,0.14,0.6764,1996,28|81,0.101,0.6546,2539,38|81,0.126,0.7065
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,4094,70|81,0.181,0.808,3479,66|81,0.137,0.8234,4002,69|81,0.144,0.6889
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,7062,81|81,0.212,0.934,4605,75|81,0.167,0.822,4893,78|81,0.177,0.8182
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,2173,36|81,0.138,0.9115,2418,40|81,0.142,0.946,2953,49|81,0.147,0.9283
B. K-8 / 0 - 400,Morris,460,Boonton Twp,1730,19|81,0.088,0.6563,1803,17|81,0.089,0.7341,1833,15|81,0.09,0.7427
B. K-8 / 0 - 400,Morris,2010,Harding Township,4292,72|81,0.167,0.869,3896,70|81,0.144,0.8263,3639,65|81,0.136,0.7736
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,3005,59|81,0.158,0.8728,3482,67|81,0.174,0.8374,3841,67|81,0.173,0.8339
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,2059,32|81,0.123,0.764,2357,37|81,0.133,0.7668,2278,31|81,0.129,0.6395
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,1763,22|81,0.114,0.776,2058,30|81,0.119,0.7719,2286,32|81,0.114,0.685
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,2246,39|81,0.102,0.7039,2372,39|81,0.109,0.7578,2263,30|81,0.103,0.705
B. K-8 / 0 - 400,Ocean,2500,Lakehurst Boro,2025,29|81,0.133,0.8222,2176,35|81,0.138,0.8095,2194,25|81,0.134,0.7626
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,2229,38|81,0.119,0.7457,2040,29|81,0.105,0.7118,2227,28|81,0.105,0.6702
B. K-8 / 0 - 400,Salem,60,Alloway Twp,1225,6|81,0.095,0.6377,1282,8|81,0.095,0.5552,1090,3|81,0.075,0.4961
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,1521,13|81,0.091,0.7202,1252,5|81,0.077,0.8286,1249,4|81,0.07,0.5367
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,1309,9|81,0.075,0.5477,1171,2|81,0.069,0.5965,742,1|81,0.04,0.4072
