CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
80,7897,2438224,1430985,1273929,92056,65000,157874,30874,585683,89122,263682,0,0,0,0,10.5,52500,168,51000,,,,Creativity Colaboratory Charter School,Salem,K. Charter,C,,,1,Salem,168.0
80,6018,17504818,9930887,9282381,303238,345268,2459639,1940545,3074205,2532986,2040087,0,0,0,332195,11.8,54175,141.5,59000,306.5,110030,28.5,Central Jersey College Prep Charter Scho,Somerset,K. Charter,C,,,1,Somerset,1266.0
80,6081,8945484,5303087,4723528,340371,239188,907634,609034,1589248,1271760,1145514,0,0,0,0,17,62000,325,76806,100,104498,6.2,Thomas Edison Energysmart Charter School,Somerset,K. Charter,C,,,1,Somerset,650.0
80,7850,4321043,2628294,2339615,99212,189467,708594,475580,776580,606731,83550,0,0,0,0,10.3,53709,111.5,57664,111.5,79030,11.8,Sussex County Technology Charter School,Sussex,K. Charter,C,,,1,Sussex,223.0
80,6033,3787425,2057611,1792661,100000,164950,504507,388307,675307,526637,550000,0,0,0,0,10.4,57505,120,47871,60,104411,6.3,The Barack Obama Green Charter High Scho,Union,K. Charter,C,,,1,Union,240.0
80,6101,19213445,10354887,7401050,1186850,1766987,1463461,723461,4528097,2051783,2787000,0,0,0,220000,20.6,58000,283.6,76130,141.8,93310,7.4,College Achieve Central Charter School,Union,K. Charter,C,,,1,Union,1418.0
80,6102,5965639,3385492,3106038,198738,80716,789385,622855,863437,715842,927325,0,0,0,0,11.7,58000,216.5,69245,108.3,100191,9.8,Cresthaven Academy Charter School,Union,K. Charter,C,,,1,Union,433.0
80,7600,4236267,2325704,1914904,123300,287500,691035,166109,1036960,707282,135144,0,0,0,0,16.2,51985,81,56410,81,117222,6,Queen City Academy Cs,Union,K. Charter,C,,,1,Union,324.0
80,8010,5805247,3132453,2413989,154640,563824,443869,280895,1229426,733089,954499,0,0,0,0,31.4,48444,440,57056,125.7,80103,4.3,Union County Teams Cs,Union,K. Charter,C,,,1,Union,440.0
80,7727,2544570,1538523,1476575,43748,18200,324538,55992,594286,517333,50582,0,0,0,6430,6.2,48062,69.4,59225,37,87225,6.5,Ridge And Valley Cs,Warren,K. Charter,C,,,1,Warren,111.0
