CO,CONAME,DIST,DISTNAME,LEG_DIST
29,OCEAN,2760,LONG BEACH ISLAND,9
29,OCEAN,2940,MANCHESTER TWP,9
29,OCEAN,2980,POINT PLEASANT BEACH (MANTOLOKING),10
29,OCEAN,3790,OCEAN COUNTY VOCATIONAL,9
29,OCEAN,3790,OCEAN COUNTY VOCATIONAL,10
29,OCEAN,3790,OCEAN COUNTY VOCATIONAL,12
29,OCEAN,3790,OCEAN COUNTY VOCATIONAL,30
29,OCEAN,3800,OCEAN GATE BORO,9
29,OCEAN,3820,OCEAN TWP,9
29,OCEAN,4105,PINELANDS REGIONAL,9
29,OCEAN,4190,PLUMSTED TWP,12
29,OCEAN,4210,POINT PLEASANT BORO,10
29,OCEAN,4220,POINT PLEASANT BEACH,10
29,OCEAN,4710,SEASIDE HEIGHTS BORO,10
29,OCEAN,4720,SEASIDE PARK BORO,10
29,OCEAN,4950,SOUTHERN REGIONAL,9
29,OCEAN,5020,STAFFORD TWP,9
29,OCEAN,5190,TOMS RIVER REGIONAL,9
29,OCEAN,5190,TOMS RIVER REGIONAL,10
29,OCEAN,5220,TUCKERTON BORO,9
31,PASSAIC,420,BLOOMINGDALE BORO,26
31,PASSAIC,900,CLIFTON CITY,27
31,PASSAIC,1920,HALEDON BORO,35
31,PASSAIC,2100,HAWTHORNE BORO,40
31,PASSAIC,2510,LAKELAND REGIONAL,26
31,PASSAIC,2700,LITTLE FALLS TWP,40
31,PASSAIC,3640,NORTH HALEDON BORO,35
31,PASSAIC,3970,PASSAIC CITY,36
31,PASSAIC,3980,PASSAIC CO MANCHESTER REG,35
31,PASSAIC,3990,PASSAIC VALLEY REGIONAL,40
31,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,25
31,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,26
31,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,27
31,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,35
31,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,36
31,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,40
31,PASSAIC,4010,PATERSON CITY,35
31,PASSAIC,4230,POMPTON LAKES BORO,26
31,PASSAIC,4270,PROSPECT PARK BORO,35
31,PASSAIC,4400,RINGWOOD BORO,26
31,PASSAIC,5200,TOTOWA BORO,40
31,PASSAIC,5440,WANAQUE BORO,26
31,PASSAIC,5570,WAYNE TWP,40
31,PASSAIC,5650,WEST MILFORD TWP,25
31,PASSAIC,5690,WOODLAND PARK,40
33,SALEM,60,ALLOWAY TWP,3
33,SALEM,1340,PITTSGROVE TWP (ELMER BORO),3
33,SALEM,1350,ELSINBORO TWP,3
33,SALEM,2800,LOWER ALLOWAYS CREEK,3
33,SALEM,2950,MANNINGTON TWP,3
33,SALEM,3860,OLDMANS TWP,3
33,SALEM,4070,PENNS GRV-CARNEYS PT REG,3
33,SALEM,4075,PENNSVILLE,3
33,SALEM,4150,PITTSGROVE TWP,3
33,SALEM,4280,QUINTON TWP,3
33,SALEM,4630,SALEM CITY,3
33,SALEM,4640,SALEM COUNTY VOCATIONAL,3
33,SALEM,5320,UPPER PITTSGROVE TWP,3
33,SALEM,5910,WOODSTOWN-PILESGROVE REG,3
35,SOMERSET,240,BEDMINSTER TWP,23
35,SOMERSET,350,BERNARDS TWP,21
35,SOMERSET,490,BOUND BROOK BORO,23
35,SOMERSET,510,BRANCHBURG TWP,16
35,SOMERSET,555,BRIDGEWATER-RARITAN REG,23
35,SOMERSET,1610,FRANKLIN TWP,17
35,SOMERSET,1810,GREEN BROOK TWP,21
35,SOMERSET,2170,HILLSBOROUGH TWP,16
35,SOMERSET,3000,MANVILLE BORO,23
35,SOMERSET,3210,HILLSBOROUGH TWP (MILLSTONE),16
35,SOMERSET,3320,MONTGOMERY TWP,16
35,SOMERSET,3670,NORTH PLAINFIELD BORO,22
35,SOMERSET,4510,MONTGOMERY TWP (ROCKY HILL),16
35,SOMERSET,4810,SOMERSET CO VOCATIONAL,16
35,SOMERSET,4810,SOMERSET CO VOCATIONAL,17
35,SOMERSET,4810,SOMERSET CO VOCATIONAL,21
35,SOMERSET,4810,SOMERSET CO VOCATIONAL,22
35,SOMERSET,4810,SOMERSET CO VOCATIONAL,23
35,SOMERSET,4815,SOMERSET HILLS REGIONAL,21
35,SOMERSET,4820,SOMERVILLE BORO,23
35,SOMERSET,4850,SOUTH BOUND BROOK,17
35,SOMERSET,5470,WARREN TWP,21
35,SOMERSET,5540,WATCHUNG BORO,21
35,SOMERSET,5550,WATCHUNG HILLS REGIONAL,21
37,SUSSEX,90,ANDOVER REG,24
37,SUSSEX,520,FRANKFORD TWP(BRANCHVILLE BORO),24
37,SUSSEX,640,BYRAM TWP,24
37,SUSSEX,1560,FRANKFORD TWP,24
37,SUSSEX,1570,FRANKLIN BORO,24
37,SUSSEX,1630,FREDON TWP,24
37,SUSSEX,1800,GREEN TWP,24
37,SUSSEX,1930,HAMBURG BORO,24
37,SUSSEX,1980,HAMPTON TWP,24
37,SUSSEX,2030,HARDYSTON TWP,24
37,SUSSEX,2165,HIGH POINT REGIONAL,24
37,SUSSEX,2240,HOPATCONG,24
37,SUSSEX,2465,KITTATINNY REGIONAL,24
37,SUSSEX,2490,LAFAYETTE TWP,24
37,SUSSEX,2615,LENAPE VALLEY REGIONAL,24
37,SUSSEX,3300,MONTAGUE TWP,24
37,SUSSEX,3590,NEWTON TOWN,24
37,SUSSEX,3840,OGDENSBURG BORO,24
37,SUSSEX,4650,SANDYSTON-WALPACK TWP,24
37,SUSSEX,4960,SPARTA TWP,24
37,SUSSEX,5030,STANHOPE BORO,24
37,SUSSEX,5040,STILLWATER TWP,24
37,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,24
37,SUSSEX,5110,SUSSEX COUNTY VOCATIONAL,24
37,SUSSEX,5360,VERNON TWP,24
37,SUSSEX,5435,WALLKILL VALLEY REGIONAL,24
39,UNION,310,BERKELEY HEIGHTS TWP,21
39,UNION,850,CLARK TWP,22
39,UNION,980,CRANFORD TWP,22
39,UNION,1320,ELIZABETH CITY,20
39,UNION,1710,GARWOOD BORO,21
39,UNION,2190,HILLSIDE TWP,28
39,UNION,2420,KENILWORTH BORO,20
39,UNION,2660,LINDEN CITY,22
39,UNION,3470,MOUNTAINSIDE BORO,21
39,UNION,3560,NEW PROVIDENCE BORO,21
39,UNION,4160,PLAINFIELD CITY,22
39,UNION,4290,RAHWAY CITY,22
39,UNION,4540,ROSELLE BORO,20
39,UNION,4550,ROSELLE PARK BORO,22
39,UNION,4670,SCOTCH PLAINS-FANWOOD REG,22
39,UNION,5000,SPRINGFIELD TWP,21
39,UNION,5090,SUMMIT CITY,21
39,UNION,5260,UNION COUNTY VOCATIONAL,20
39,UNION,5260,UNION COUNTY VOCATIONAL,21
39,UNION,5260,UNION COUNTY VOCATIONAL,22
39,UNION,5260,UNION COUNTY VOCATIONAL,28
39,UNION,5290,UNION TWP,20
39,UNION,5730,WESTFIELD TOWN,21
39,UNION,5810,WINFIELD TWP,22
41,WARREN,30,ALLAMUCHY TWP,24
41,WARREN,70,ALPHA BORO,23
41,WARREN,280,BELVIDERE TOWN,23
41,WARREN,400,BLAIRSTOWN TWP,23
41,WARREN,1620,FRANKLIN TWP,23
41,WARREN,1670,FRELINGHUYSEN TWP,23
41,WARREN,1785,GREAT MEADOWS REGIONAL,23
41,WARREN,1785,GREAT MEADOWS REGIONAL,24
41,WARREN,1840,GREENWICH TWP,23
41,WARREN,1870,HACKETTSTOWN,23
41,WARREN,2020,BLAIRSTOWN TWP (HARDWICK),23
41,WARREN,2040,HARMONY TWP,23
41,WARREN,2250,HOPE TWP,23
41,WARREN,2470,KNOWLTON TWP,23
41,WARREN,2790,LOPATCONG TWP,23
41,WARREN,2970,MANSFIELD TWP,23
41,WARREN,3675,NORTH WARREN REGIONAL,23
41,WARREN,3890,OXFORD TWP,23
41,WARREN,4100,PHILLIPSBURG TOWN,23
41,WARREN,4200,POHATCONG TWP,23
41,WARREN,5460,WARREN COUNTY VOCATIONAL,23
41,WARREN,5460,WARREN COUNTY VOCATIONAL,24
41,WARREN,5465,WARREN HILLS REGIONAL,23
41,WARREN,5480,WASHINGTON BORO,23
41,WARREN,5530,WASHINGTON TWP,23
41,WARREN,5780,WHITE TWP,23
