GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
H. 7-12 / 9-12,SOMERSET,5550,WATCHUNG HILLS REGIONAL,14521,12|46,15097,16|46,15858,13|46,2197,2137,2140,
H. 7-12 / 9-12,SUSSEX,2165,HIGH POINT REGIONAL,19542,44|46,20242,45|46,20598,43|46,1000,983,990,
H. 7-12 / 9-12,SUSSEX,2465,KITTATINNY REGIONAL,16428,30|46,17081,29|46,17920,28|46,1072,1052,1048,
H. 7-12 / 9-12,SUSSEX,2615,LENAPE VALLEY REGIONAL,14638,14|46,15109,17|46,15927,14|46,811,803,794,
H. 7-12 / 9-12,SUSSEX,5435,WALLKILL VALLEY REGIONAL,17537,37|46,16765,27|46,17850,26|46,646,672,668,
H. 7-12 / 9-12,WARREN,3675,NORTH WARREN REGIONAL,15165,18|46,15095,15|46,15796,12|46,917,884,892,
H. 7-12 / 9-12,WARREN,5465,WARREN HILLS REGIONAL,14851,17|46,15092,14|46,15987,15|46,1872,1873,1894,
I. CSSD,,,1. State average -  Operating Type CSSD,53380,,55433,,61535,,,,,
I. CSSD,,,2. State median - Operating Type CSSD,50902,,48192,,55207,,,,,
I. CSSD,,,5. State average - All operating types,14736,,14940,,15714,,,,,
I. CSSD,,,6. State median - All operating types,14490,,14813,,15552,,,,,
I. CSSD,ATLANTIC,125,ATLANTIC CO SPECIAL SERV,49255,4|8,48544,5|8,54172,4|8,411,387,366,
I. CSSD,BERGEN,285,BERGEN CO SPECIAL SERVICE,76653,8|8,81990,8|8,85398,8|8,675,655,655,
I. CSSD,BURLINGTON,605,BURLINGTON CO SPEC SERV,52663,6|8,53452,6|8,62958,6|8,667,690,602,
I. CSSD,CAPE MAY,715,CAPE MAY CO SPECIAL SERV,45895,3|8,47840,4|8,56241,5|8,250,239,209,
I. CSSD,GLOUCESTER,1774,GLOUCESTER CO SPEC SERV,39960,2|8,41377,2|8,46708,2|8,727,705,712,
I. CSSD,MERCER,3103,MERCER CO SPECIAL SERVICE,55734,7|8,59299,7|8,64987,7|8,652,627,625,
I. CSSD,SALEM,4635,SALEM CO SPECIAL SERVICE,36274,1|8,36780,1|8,42453,1|8,204,197,206,
I. CSSD,WARREN,5450,WARREN CO SPECIAL SERVICE,52548,5|8,42909,3|8,49665,3|8,29,32,30,
J. VOC,,,1. State average - Operating Type VOC,16860,,16832,,17755,,,,,
J. VOC,,,2. State median - Operating Type VOC,16266,,16156,,17566,,,,,
J. VOC,,,5. State average - All operating types,14736,,14940,,15714,,,,,
J. VOC,,,6. State median - All operating types,14490,,14813,,15552,,,,,
J. VOC,ATLANTIC,120,ATLANTIC CO VOCATIONAL,11998,3|21,11951,3|21,13552,5|21,1398,1489,1508,
J. VOC,BERGEN,290,BERGEN COUNTY VOCATIONAL,27064,20|21,27513,21|21,27852,20|21,2108,2159,2185,
J. VOC,BURLINGTON,610,BURLINGTON CO VOCATIONAL,15654,8|21,15989,9|21,15425,7|21,2033,2030,2248,
J. VOC,CAMDEN,700,CAMDEN COUNTY VOCATIONAL,18314,15|21,18352,14|21,20911,17|21,2086,2034,2085,
J. VOC,CAPE MAY,720,CAPE MAY CO VOCATIONAL,19037,17|21,19957,18|21,20258,15|21,702,691,725,
J. VOC,CUMBERLAND,995,CUMBERLAND CO VOCATIONAL,17366,13|21,18722,15|21,25259,19|21,415,370,427,
J. VOC,ESSEX,1390,ESSEX CO VOC-TECH,16472,12|21,16806,12|21,18811,14|21,2190,2157,2285,
J. VOC,GLOUCESTER,1775,GLOUCESTER CO VOCATIONAL,13266,5|21,13051,4|21,15371,6|21,1369,1376,1387,
J. VOC,HUDSON,2295,HUDSON COUNTY VOCATIONAL,19452,18|21,19734,17|21,17936,13|21,1962,2142,2316,
J. VOC,HUNTERDON,2308,HUNTERDON CO VOCATIONAL,14589,7|21,14448,7|21,11284,2|21,285,301,479,
J. VOC,MERCER,3105,MERCER COUNTY VOCATIONAL,21540,19|21,22079,19|21,21397,18|21,486,478,562,
J. VOC,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,17718,14|21,16068,10|21,15919,9|21,2144,2362,2528,
J. VOC,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,13933,6|21,13412,5|21,17666,12|21,2755,2931,2452,
J. VOC,MORRIS,3365,MORRIS COUNTY VOCATIONAL,15880,10|21,15739,8|21,16212,10|21,1027,1049,1088,
J. VOC,OCEAN,3790,OCEAN COUNTY VOCATIONAL,12211,4|21,13594,6|21,13017,4|21,1772,1616,1810,
J. VOC,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,18933,16|21,19087,16|21,20340,16|21,3332,3331,3454,
J. VOC,SALEM,4640,SALEM COUNTY VOCATIONAL,10292,1|21,8756,1|21,10096,1|21,812,934,890,
J. VOC,SOMERSET,4810,SOMERSET CO VOCATIONAL,28230,21|21,26061,20|21,28853,21|21,493,512,517,
J. VOC,SUSSEX,5110,SUSSEX COUNTY VOCATIONAL,16266,11|21,16156,11|21,15552,8|21,766,768,813,
J. VOC,UNION,5260,UNION COUNTY VOCATIONAL,11815,2|21,11836,2|21,11726,3|21,1713,1754,1885,
J. VOC,WARREN,5460,WARREN COUNTY VOCATIONAL,15659,9|21,16856,13|21,17566,11|21,480,474,485,
K. CHARTER,,,1. State average-Operating Type CHARTER,14117,,14080,,11805,,,,,
K. CHARTER,,,2. State median-Operating Type CHARTER,13610,,13604,,11338,,,,,
K. CHARTER,,,5. State average - All operating types,14736,,14940,,15714,,,,,
K. CHARTER,,,6. State median - All operating types,14490,,14813,,15552,,,,,
K. CHARTER,ATLANTIC,6060,ATLANTIC COMMUNITY CHARTE,15615,68|88,14887,63|92,13700,77|91,149,149,300,
K. CHARTER,ATLANTIC,6104,INTERNATIONAL ACAD OF ATL,,N.R.,12902,30|92,10484,28|91,,249,333,
K. CHARTER,ATLANTIC,7410,CHARTERTECH HIGH SCHOOL,15109,62|88,16290,75|92,15259,86|91,329,331,321,
K. CHARTER,BERGEN,6013,BERGEN ARTS AND SCIENCES,12543,30|88,13454,43|92,10031,23|91,895,968,1102,
K. CHARTER,BERGEN,6430,ENGLEWOOD ON THE PALISADE,17834,82|88,18157,84|92,13174,70|91,201,208,251,
K. CHARTER,BERGEN,7890,TEANECK COMMUNITY CHARTER,16053,71|88,15148,67|92,13766,79|91,305,306,320,
K. CHARTER,BURLINGTON,6026,RIVERBANK CHARTER SCH OF,10791,14|88,11559,19|92,8320,7|91,144,142,142,
K. CHARTER,BURLINGTON,6076,BENJAMIN BANNEKER PREPARA,14411,55|88,13735,48|92,10749,32|91,154,152,180,
K. CHARTER,CAMDEN,1799,KIPP COOPER NORCROSS,32580,86|88,21405,87|92,15551,87|91,104,489,849,
K. CHARTER,CAMDEN,1801,CAMDEN PREP,34848,87|88,18759,86|92,14911,84|91,66,298,444,
K. CHARTER,CAMDEN,1802,MASTERY SCHOOLS OF CAMDE,18828,84|88,16766,77|92,13679,75|91,379,1385,1750,
K. CHARTER,CAMDEN,6063,CAMDEN COMMUNITY CHARTER,13796,44|88,13081,36|92,12118,56|91,395,688,843,
K. CHARTER,CAMDEN,6067,THE KINGDOM CHARTER SCHOO,11493,19|88,11750,21|92,10457,27|91,,197,205,
