GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,247.1,4|75,90909,32|75,143.3,12|75,86700,25|75
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,116.5,25|75,120000,67|75,104.7,29|75,100000,39|75
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,79.8,50|75,115317,64|75,83.8,44|75,109746,53|75
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,96,42|75,80000,21|75,89.4,41|75,80000,18|75
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,114,27|75,107500,56|75,112.7,25|75,100000,39|75
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,114.6,26|75,10000,1|75,99.2,34|75,10000,2|75
B. K-8 / 0 - 400,OCEAN,2500,LAKEHURST BORO,101.1,37|75,127738,72|75,95.2,39|75,130175,67|75
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,74.2,57|75,146828,75|75,76.8,50|75,149058,72|75
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,155.9,11|75,101946,50|75,158.7,8|75,85056,22|75
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,128,19|75,96732,43|75,130,17|75,98666,37|75
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,289.3,3|75,64000,10|75,158,9|75,112200,57|75
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,93,43|75,82225,24|75,79,46|75,83870,21|75
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,109.5,29|75,110827,61|75,78.6,47|75,73092,15|75
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,120.3,22|75,91284,34|75,119.7,23|75,92652,29|75
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,338,1|75,118350,66|75,199.4,4|75,103000,43|75
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,125,21|75,112499,62|75,122,22|75,113250,58|75
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,120,23|75,44451,3|75,97.1,37|75,78101,17|75
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,72.3,59|75,101062,49|75,123.5,21|75,109198,52|75
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,144.4,14|75,109392,59|75,87.7,42|75,105025,46|75
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,97.2,41|75,89056,30|75,105,28|75,111392,55|75
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,158.3,10|75,100074,45|75,,N.R.,,N.R.
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,102.7,35|75,82500,25|75,140,13|75,120000,63|75
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,92.9,44|75,80000,21|75,192,5|75,97000,32|75
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,230.3,6|75,63900,9|75,92.6,40|75,52720,3|75
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,78,52|75,72500,16|75,76.5,51|75,72500,13|75
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,102.3,36|75,123602,70|75,98,35|75,124902,65|75
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,100.3,39|75,132768,74|75,99.7,33|75,135000,71|75
