CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
80,6010,3084914,1475372,1377618,27927,69827,491239,491239,556548,479406,538255,30188,23500,0,5505,Academy Charter High School,Monmouth,K. Charter,C,,,1,184.7,10.9,54922,56.1,62783,88.1,115907,9.7,Monmouth
80,6740,2914322,1571715,1446306,32277,93132,0,0,775231,607817,567376,168920,0,0,57379,Hope Academy Cs,Monmouth,K. Charter,C,,,1,234.2,9.6,49000,80.4,28000,65,88009,7.6,Monmouth
80,7720,3001559,1708576,1626116,41677,40783,295864,253443,615699,353098,325642,162342,23195,32375,0,The Red Bank Cs,Monmouth,K. Charter,C,,,1,179.9,6.7,48475,50,37000,90,98124,15.2,Monmouth
80,7891,3616663,1842177,1537818,187993,116366,0,0,676161,467156,1087359,165310,10965,0,13962,College Achieve Greater Asbury Park Char,Monmouth,K. Charter,C,,,1,211.8,11.2,54500,212,76000,212,90000,20,Monmouth
80,8050,3521175,1750980,1634121,37246,79613,421933,303907,754490,583828,569281,43910,0,24490,0,Unity Cs,Morris,K. Charter,C,,,1,234.9,11.5,49102,97.9,65000,78.3,69000,7.6,Morris
80,7893,2829663,1217152,1108737,93402,15013,0,0,938920,653965,627981,0,45610,0,36752,Ocean Academy Charter School,Ocean,K. Charter,C,,,1,215.4,17.9,45000,215,50000,107.5,60000,6.5,Ocean
80,6021,11851867,5135550,4749968,295591,89991,0,0,2628669,2037462,4087648,1169362,0,0,56688,Community Charter School Of Paterso,Passaic,K. Charter,C,,,1,900,13.6,54587,225,60490,64.3,91867,5,Passaic
80,6079,5063918,2840399,2520259,181938,138202,616178,492978,712997,314971,882587,258547,11756,0,0,John P Holland Charter School,Passaic,K. Charter,C,,,1,333.4,12.3,51400,83.3,71500,111,109200,10.3,Passaic
80,6080,16840353,7791836,7029710,543116,219010,788764,735000,4238134,1964194,3766801,990343,0,254818,97690,Passaic Arts And Science Charter School,Passaic,K. Charter,C,,,1,1446.9,13.7,46700,180.9,59483,,,,Passaic
80,6096,10348406,4422033,3876131,392105,153797,504668,430674,2288890,938976,2911451,672005,0,221364,154757,Paterson Arts And Science Cs,Passaic,K. Charter,C,,,1,782,15,46000,136,56111,391,83455,28.9,Passaic
