Group,Coname,Dist,Distname,PP18,RK18, PCT18 ,PP28,RK28, PCT28 ,PP38,RK38, PCT38 
C. K–8/401–750,Burlington,1250,Eastampton Twp,1884,42|70, 0.128 ,1903,35|67, 0.135 ,1910,27|67, 0.136 
C. K–8/401–750,Burlington,1910,Hainesport Twp,1610,19|70, 0.119 ,1642,16|67, 0.113 ,1791,19|67, 0.109 
C. K–8/401–750,Burlington,3070,Medford Lakes Boro,1603,17|70, 0.119 ,1762,23|67, 0.130 ,1848,23|67, 0.122 
C. K–8/401–750,Burlington,4740,Shamong Twp,1876,41|70, 0.123 ,1982,39|67, 0.122 ,2125,47|67, 0.116 
C. K–8/401–750,Burlington,4930,Southampton Twp,2087,60|70, 0.127 ,2012,42|67, 0.122 ,2030,41|67, 0.120 
C. K–8/401–750,Burlington,5130,Tabernacle Twp,1787,30|70, 0.103 ,1843,28|67, 0.105 ,1918,30|67, 0.104 
C. K–8/401–750,Camden,190,Barrington Boro,1419,10|70, 0.097 ,1496,9|67, 0.097 ,1662,12|67, 0.098 
C. K–8/401–750,Camden,340,Berlin Twp,1949,47|70, 0.123 ,1897,34|67, 0.105 ,1687,13|67, 0.119 
C. K–8/401–750,Camden,880,Clementon Boro,1853,38|70, 0.129 ,1674,17|67, 0.120 ,1739,16|67, 0.112 
C. K–8/401–750,Camden,3110,Merchantville Boro,1415,N.R., 0.118 ,1440,6|67, 0.118 ,1522,8|67, 0.102 
C. K–8/401–750,Camden,3420,Mount Ephraim Boro,1497,13|70, 0.111 ,1755,20|67, 0.120 ,1943,32|67, 0.115 
C. K–8/401–750,Camden,4790,Somerdale Boro,1667,21|70, 0.118 ,1846,29|67, 0.124 ,1838,22|67, 0.116 
C. K–8/401–750,Cape May,1080,Dennis Twp,1949,47|70, 0.106 ,2160,54|67, 0.102 ,1967,34|67, 0.108 
C. K–8/401–750,Cumberland,950,Commercial Twp,1957,49|70, 0.135 ,1619,14|67, 0.125 ,1735,15|67, 0.122 
C. K–8/401–750,Cumberland,1460,Fairfield Twp,1380,5|70, 0.100 ,1324,4|67, 0.096 ,1359,4|67, 0.092 
C. K–8/401–750,Cumberland,2270,Hopewell Twp,1173,2|70, 0.089 ,1194,3|67, 0.094 ,1152,1|67, 0.083 
C. K–8/401–750,Cumberland,2570,Lawrence Twp,1306,4|70, 0.103 ,1187,2|67, 0.091 ,1284,3|67, 0.098 
C. K–8/401–750,Cumberland,3050,Maurice River Twp,1553,N.R., 0.121 ,1513,10|67, 0.112 ,1911,28|67, 0.129 
C. K–8/401–750,Gloucester,1830,Greenwich Twp,1850,36|70, 0.095 ,2115,52|67, 0.097 ,2066,44|67, 0.090 
C. K–8/401–750,Hunterdon,20,Alexandria Twp,1901,46|70, 0.108 ,1609,13|67, 0.083 ,2135,51|67, 0.103 
C. K–8/401–750,Hunterdon,2220,Holland Twp,1737,25|70, 0.099 ,1727,19|67, 0.093 ,1777,17|67, 0.094 
C. K–8/401–750,Hunterdon,2600,Lebanon Twp,1811,31|70, 0.095 ,1759,21|67, 0.092 ,2015,37|67, 0.094 
C. K–8/401–750,Hunterdon,5180,Tewksbury Twp,1846,35|70, 0.090 ,2178,57|67, 0.100 ,2142,53|67, 0.087 
C. K–8/401–750,Hunterdon,5270,Union Twp,2296,67|70, 0.111 ,2236,60|67, 0.117 ,1976,36|67, 0.094 
C. K–8/401–750,Middlesex,970,Cranbury Twp,2095,61|70, 0.097 ,2423,65|67, 0.109 ,1449,6|67, 0.091 
C. K–8/401–750,Middlesex,2370,Jamesburg Boro,1699,23|70, 0.143 ,1786,26|67, 0.140 ,1871,25|67, 0.136 
C. K–8/401–750,Monmouth,270,Belmar Boro,1868,40|70, 0.124 ,2046,45|67, 0.122 ,2139,52|67, 0.130 
C. K–8/401–750,Monmouth,560,Brielle Boro,1604,18|70, 0.106 ,1637,15|67, 0.106 ,1806,20|67, 0.106 
C. K–8/401–750,Monmouth,3830,Oceanport Boro,1840,34|70, 0.109 ,1776,24|67, 0.101 ,1812,21|67, 0.102 
C. K–8/401–750,Monmouth,4770,Shrewsbury Boro,1721,24|70, 0.100 ,1856,31|67, 0.110 ,2033,43|67, 0.117 
C. K–8/401–750,Monmouth,5230,Union Beach,1435,11|70, 0.097 ,1445,7|67, 0.100 ,1627,11|67, 0.106 
C. K–8/401–750,Monmouth,5640,West Long Branch Boro,2012,56|70, 0.120 ,2088,51|67, 0.126 ,2088,45|67, 0.121 
C. K–8/401–750,Morris,3090,Mendham Boro,2156,65|70, 0.123 ,2789,67|67, 0.163 ,2240,60|67, 0.115 
C. K–8/401–750,Morris,3100,Mendham Twp,2340,68|70, 0.115 ,2388,64|67, 0.115 ,2134,49|67, 0.097 
C. K–8/401–750,Morris,3380,Morris Plains Boro,3065,70|70, 0.139 ,2488,66|67, 0.126 ,2302,66|67, 0.123 
C. K–8/401–750,Morris,4480,Rockaway Boro,1817,33|70, 0.129 ,2085,49|67, 0.128 ,2152,54|67, 0.114 
C. K–8/401–750,Morris,5770,Wharton Boro,1773,N.R., 0.105 ,1760,22|67, 0.110 ,2020,40|67, 0.106 
C. K–8/401–750,Passaic,420,Bloomingdale Boro,2115,63|70, 0.115 ,2168,55|67, 0.115 ,2246,61|67, 0.105 
C. K–8/401–750,Passaic,3640,North Haledon Boro,1675,22|70, 0.127 ,1890,33|67, 0.125 ,1913,29|67, 0.127 
C. K–8/401–750,Somerset,240,Bedminster Twp,1291,3|70, 0.069 ,1434,5|67, 0.072 ,1415,5|67, 0.063 
C. K–8/401–750,Somerset,4850,South Bound Brook,1888,43|70, 0.133 ,2011,41|67, 0.124 ,1724,14|67, 0.125 
C. K–8/401–750,Somerset,5540,Watchung Boro,1969,52|70, 0.126 ,2201,58|67, 0.117 ,2016,38|67, 0.111 
C. K–8/401–750,Sussex,90,Andover Reg,2344,14|70, 0.122 ,2366,63|67, 0.126 ,2302,66|67, 0.101 
C. K–8/401–750,Sussex,1560,Frankford Twp,1895,45|70, 0.110 ,2156,53|67, 0.117 ,2204,58|67, 0.116 
