Co,Dist,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,Distname,Coname,Group,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19
9,2840,25587243,14645354,13988869,546718,109767,4909347,4361361,1995690,1682720,3533134,2270934,0,200616,428398,Lower Twp,Cape May,A. K–6,1708.2,11.1,59982,61.4,84932,182.9,102857,19.4
9,3130,36110749,19867189,19086760,708679,71750,5644404,4930972,3497176,2287068,5385035,1935813,0,1015112,0,Middle Twp,Cape May,F. K–12/1801–3500,2468.8,12,64989,89,65046,175.4,114572,16.6
9,3680,6386893,3809910,3546310,169881,93719,1289994,1164269,428265,339061,726356,445986,30000,96251,0,North Wildwood City,Cape May,B. K–8/0–400,217,6.6,73199,36.3,72883,54.8,108768,9.8
9,3780,37391788,22586956,21342909,872934,371113,4925462,4307094,3243302,2490225,5246578,2457095,120000,1263702,435687,Ocean City,Cape May,F. K–12/1801–3500,2147.6,11.5,90875,78.9,99154,190.9,128200,19
9,5060,2375162,1426517,983610,76544,366363,418691,130669,198505,38091,307339,113970,15000,5715,41685,Stone Harbor Boro,Cape May,B. K–8/0–400,98.3,8.3,83081,17.2,80481,33,102349,5.9
9,5340,20867098,12272089,11835678,348414,87997,3520367,2521812,2201407,1806205,2712174,1154067,13408,97162,13401,Upper Twp,Cape May,D. K–8/751+,1432.7,10.8,62113,84.2,66403,178.9,112152,18.6
9,5610,1549226,802789,692591,74699,35499,433834,375086,126713,56416,150590,61047,30000,5300,0,West Cape May Boro,Cape May,A. K–6,95.6,10.1,54975,163.3,13459,81.7,67012,8.6
9,5790,16519441,9821999,9416087,248694,157218,2680126,1936139,1859006,1499800,1475455,872064,0,679441,45203,Wildwood City,Cape May,E. K–12/0–1800,868.3,9.2,69000,78.9,78130,96.4,101805,11.7
9,5800,6870498,3949008,3621929,204093,122986,1392090,1078512,384525,316986,933242,408645,20000,191632,227809,Wildwood Crest Boro,Cape May,B. K–8/0–400,266.3,7.7,65875,58.7,66325,62.8,101620,9.2
9,5840,3590048,2328700,1903243,41602,383855,457831,262659,427110,239487,312996,0,0,8185,31452,Woodbine Boro,Cape May,B. K–8/0–400,220,10,57500,123.7,59682,75.8,88000,8.2
11,540,87852591,52129189,48222435,1417089,2489665,15750375,13728818,8935297,7096569,9362338,6160280,0,1003361,218085,Bridgeton City,Cumberland,G. K–12/3501+,6034.7,12.1,64412,113.3,72857,158,110215,14.4
11,950,7406791,4367675,4276130,35029,56516,1170459,1031012,923697,621344,853914,115764,0,6372,40742,Commercial Twp,Cumberland,C. K–8/401–750,570.7,12.9,67860,60.8,56750,135.3,82152,12.7
11,995,12765196,6920667,5637488,682556,600623,1386752,1259963,2148766,1626102,2139279,1126426,62000,105700,213485,Cumberland Co Vocational,Cumberland,J. Voc,703,10.4,62611,89.6,67382,89.6,116889,9.6
11,997,16336571,8299327,7193115,657648,448564,2467986,2150032,2095330,1809554,2635053,1200574,25000,792598,405283,Cumberland Regional,Cumberland,H. 7–12/9–12,1046.8,13.3,62772,93,67117,94.7,109304,8.2
11,1020,5101901,2934044,2807315,64861,61868,824738,633700,600005,481102,725715,76566,0,15631,0,Deerfield Twp,Cumberland,B. K–8/0–400,302.2,9.9,56578,61.4,67274,102.3,105060,12
11,1120,3094295,1684547,1597215,54218,33114,715993,555347,288648,116191,373014,110833,0,5693,12131,Downe Twp,Cumberland,B. K–8/0–400,179.6,10.8,59925,183,59525,91.5,87541,9
