CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,COUNTY,enrol1
5,3360,63220958,43004792,40569331,669775,1765686,9011144,7829994,4295185,3422425,5411498,1978577,0,1498339,24208,Moorestown Twp,Burlington,G. K-12 / 3501 +,3,I,,1,3936.3,Burlington,
5,3430,15201075,8931402,8032656,333453,565293,2130516,1778396,1986398,1629813,2004897,1141472,0,147862,32319,Mount Holly Twp,Burlington,D. K-8 / 751 +,2,B,,1,1034.6,Burlington,
5,3440,61153567,39577964,37903983,1116775,557206,8268783,6990778,5799131,4537384,6353743,3812152,0,471140,183704,Mount Laurel Twp,Burlington,D. K-8 / 751 +,2,I,,1,4247.4,Burlington,
5,3540,3988153,2443233,2337287,47933,58013,798389,608844,258327,102764,435183,137607,0,37910,4816,New Hanover Twp,Burlington,B. K-8 / 0 - 400,2,B,,1,187.9,Burlington,
5,3650,19017313,11666906,10969463,376191,321252,3290552,2933730,1976505,1738302,1955033,1026294,0,53101,166296,North Hanover Twp,Burlington,A. K-6,1,CD,,1,1119.2,Burlington,
5,3690,29520658,16001162,14406930,840838,753394,5336041,3868297,2920387,2462166,3876604,2203251,0,1328023,359479,Northern Burlington Reg,Burlington,H. 7-12 / 9-12,4,DE,,1,2165.4,Burlington,
5,3920,13441708,7498567,7040702,182020,275845,2143805,1762307,1447904,1246668,1659615,812027,0,670186,219486,Palmyra Boro,Burlington,E. K-12 / 0 - 1800,3,DE,,1,935.2,Burlington,
5,4050,100243583,57960649,55079266,1981674,899709,21071292,15121828,7934514,6753555,10953757,6545062,17022,1201637,552484,Pemberton Twp,Burlington,G. K-12 / 3501 +,3,B,1,1,4780.8,Burlington,
5,4320,27347743,14420471,13397769,772803,249899,4196748,3304578,3500325,2630289,3694960,1854885,0,1535239,45542,Rancocas Valley Regional,Burlington,H. 7-12 / 9-12,5,DE,,1,2038.6,Burlington,
5,4450,18840605,11508509,11110936,226852,170721,2262675,1955977,2296773,1959579,2137314,1268534,0,635334,171175,Riverside Twp,Burlington,E. K-12 / 0 - 1800,3,B,,1,1393.7,Burlington,
5,4460,3982211,2499783,2382869,91308,25606,574554,497551,487200,409152,342728,149757,0,77946,17010,Riverton,Burlington,B. K-8 / 0 - 400,2,GH,,1,294.9,Burlington,
