Group,Coname,Dist,Distname, EX121 , EX221 
D. K-8 / 751 +,Burlington,1280,Edgewater Park Twp,"588,049","135,578"
D. K-8 / 751 +,Burlington,1420,Evesham Twp,"216,181","925,180"
D. K-8 / 751 +,Burlington,2850,Lumberton Twp,"2,030,201","2,456,470"
D. K-8 / 751 +,Burlington,3080,Medford Twp,"1,839,305","861,127"
D. K-8 / 751 +,Burlington,3430,Mount Holly Twp,"1,100,000","1,600,000"
D. K-8 / 751 +,Burlington,3440,Mount Laurel Twp,"2,068,492","1,868,174"
D. K-8 / 751 +,Burlington,5720,Westampton,"607,985","606,041"
D. K-8 / 751 +,Camden,260,Bellmawr Boro,"150,000","75,000"
D. K-8 / 751 +,Camden,330,Berlin Boro,"164,441","192,658"
D. K-8 / 751 +,Camden,1780,Gloucester Twp,"4,167,133","5,015,873"
D. K-8 / 751 +,Camden,4590,Runnemede Boro,"155,584","145,306"
D. K-8 / 751 +,Camden,5080,Stratford Boro,"195,486","846,358"
D. K-8 / 751 +,Camden,5400,Voorhees Twp,"991,992","1,089,357"
D. K-8 / 751 +,Cape May,5340,Upper Twp,"957,163","975,000"
D. K-8 / 751 +,Cumberland,5300,Upper Deerfield Twp,"703,100","691,922"
D. K-8 / 751 +,Gloucester,2750,Logan Twp,"1,494,083","1,435,887"
D. K-8 / 751 +,Hudson,1850,Guttenberg Town,"1,223,552","1,205,794"
D. K-8 / 751 +,Hunterdon,920,Clinton Twp, -   , -   
D. K-8 / 751 +,Hunterdon,1510,Flemington-Raritan Reg,"1,172,858","563,299"
D. K-8 / 751 +,Hunterdon,4350,Readington Twp,"884,325","848,893"
D. K-8 / 751 +,Middlesex,3220,Milltown Boro,"316,233","86,775"
D. K-8 / 751 +,Monmouth,945,Colts Neck Twp,"500,279","299,779"
D. K-8 / 751 +,Monmouth,1260,Eatontown Boro,"1,169,683","1,165,983"
D. K-8 / 751 +,Monmouth,1440,Fair Haven Boro,"253,190","503,383"
D. K-8 / 751 +,Monmouth,1640,Freehold Boro,"771,917","717,217"
D. K-8 / 751 +,Monmouth,1660,Freehold Twp, -   ,"652,598"
D. K-8 / 751 +,Monmouth,2290,Howell Twp,"3,000,000","3,000,000"
D. K-8 / 751 +,Monmouth,2720,Little Silver Boro,"160,230", -   
D. K-8 / 751 +,Monmouth,2920,Manalapan-Englishtown Reg,"3,902,873","6,377,577"
D. K-8 / 751 +,Monmouth,3030,Marlboro Twp,"43,327","747,081"
D. K-8 / 751 +,Monmouth,3200,Millstone Twp,"335,700","795,450"
D. K-8 / 751 +,Monmouth,4360,Red Bank Boro,"675,599","818,605"
D. K-8 / 751 +,Monmouth,4570,Rumson Boro,"376,451","922,679"
D. K-8 / 751 +,Monmouth,5185,Tinton Falls,"2,751,863","3,028,102"
