GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,78,33|65,50175,5|65,66.8,42|65,50650,4|65
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,200.5,3|65,37561,1|65,178.8,1|65,51973,6|65
C. K-8 / 401 - 750,CAMDEN,3110,MERCHANTVILLE BORO,92.8,N.A.,59259,N.A.,103.8,12|65,69669,52|65
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,76.4,36|65,61671,31|65,85.1,24|65,61689,32|65
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,98,14|65,63977,38|65,88.4,21|65,68306,46|65
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,48.2,63|65,54491,9|65,48.8,63|65,54491,8|65
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,92.8,17|65,58982,22|65,72.5,35|65,56269,12|65
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,112.7,8|65,57689,18|65,113.9,8|65,61265,30|65
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,94.1,15|65,70211,55|65,109.3,9|65,72594,55|65
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,249.5,1|65,49857,4|65,162,2|65,58175,18|65
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,242.3,2|65,56511,11|65,152,3|65,57106,16|65
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,61.4,52|65,69945,54|65,53.4,61|65,56800,15|65
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,47.6,65|65,65430,41|65,44,65|65,65870,41|65
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,75.8,N.A.,64588,N.A.,77.3,33|65,76509,56|65
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,68.3,46|65,50665,6|65,62.2,51|65,50665,5|65
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,61.4,52|65,61613,29|65,63.4,49|65,64935,38|65
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,74.7,39|65,76414,59|65,87.9,23|65,79033,57|65
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,66.9,47|65,69590,53|65,64.1,48|65,58270,19|65
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,73.6,41|65,63500,37|65,82.4,28|65,67600,44|65
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,71.2,43|65,68357,48|65,141.1,6|65,69007,49|65
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,87.4,22|65,57598,17|65,88.2,22|65,56275,13|65
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,69.2,45|65,56615,14|65,58.5,55|65,58490,20|65
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,84.5,26|65,66205,42|65,70.6,39|65,68298,45|65
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,65.7,48|65,59755,25|65,53.7,60|65,50575,3|65
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,50.5,62|65,58475,20|65,50.1,62|65,60439,27|65
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,78.8,31|65,67403,45|65,82.1,30|65,59978,25|65
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,90.5,20|65,66420,43|65,85.1,24|65,70985,54|65
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,85.1,25|65,68149,47|65,82.2,29|65,63346,36|65
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,76.8,35|65,60638,28|65,66.5,44|65,59985,26|65
C. K-8 / 401 - 750,MORRIS,3100,MENDHAM TWP,60.9,54|65,63410,36|65,61,53|65,61913,33|65
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,110.5,11|65,61862,32|65,76.8,34|65,66582,42|65
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,115.8,7|65,67668,46|65,145.8,4|65,57659,17|65
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,57.2,57|65,63080,33|65,62.1,52|65,64435,37|65
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,77.3,34|65,71669,58|65,78.4,32|65,81519,60|65
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,47.7,64|65,63130,34|65,48.8,63|65,69725,53|65
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,74.5,40|65,71585,57|65,66.7,43|65,52298,7|65
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,72.6,42|65,82289,61|65,65.2,46|65,81644,61|65
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,112,9|65,79183,60|65,85,26|65,65722,40|65
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,65.4,49|65,69478,51|65,58.9,54|65,68467,48|65
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,65.4,49|65,85405,63|65,67.4,41|65,82415,62|65
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,81,29|65,56567,13|65,97.3,17|65,62483,34|65
C. K-8 / 401 - 750,SUSSEX,2030,HARDYSTON TWP,83.7,27|65,63167,35|65,83.6,27|65,67057,43|65
C. K-8 / 401 - 750,UNION,3470,MOUNTAINSIDE BORO,124.5,6|65,59308,24|65,121.8,7|65,59434,23|65
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,144.3,4|65,49600,3|65,141.3,5|65,49600,2|65
C. K-8 / 401 - 750,WARREN,1785,GREAT MEADOWS REGIONAL,75.9,N.A.,55478,N.A.,71.8,37|65,55990,11|65
D. K-8 / 751 +,,,K-8 Average,72.5,,66520,,71.6,,67057,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,108.4,10|79,71850,51|79,114.4,6|79,73245,52|79
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,78,37|79,70523,45|79,81.8,28|79,74280,55|79
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,102.1,14|79,76705,61|79,98,13|79,73275,53|79
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,71,47|79,56758,8|79,76.9,39|79,57302,8|79
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,82.8,29|79,50426,1|79,89,18|79,53807,2|79
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,74.7,41|79,63512,22|79,63.1,59|79,71462,45|79
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,74.1,43|79,51478,2|79,75.3,41|79,51065,1|79
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,90.3,20|79,76300,60|79,84.1,21|79,81520,66|79
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,74,44|79,82721,69|79,79.6,32|79,87902,75|79
