GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,17068,0.497,0.467,0.033,0.002,0,0.001,11.1,200.5,139,0.1583
C. K-8 / 401 - 750,CAMDEN,3110,MERCHANTVILLE BORO,18495,0.395,0.573,0.032,0.001,0,0,12.7,92.8,296.8,0.1213
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,18789,0.431,0.542,0.026,0.001,0,0,12,76.4,114.1,0.1495
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,16555,0.459,0.5,0.037,0.004,0,0,11.3,98,176.3,0.1229
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,24697,0.433,0.536,0.027,0.004,0,0,9.6,48.2,176.7,0.1849
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,18823,0.799,0.139,0.063,0,0,0,12,92.8,174.1,0.1688
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,17555,0.824,0.119,0.057,0,0,0,11.9,112.7,157.8,0.1094
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,16203,0.492,0.411,0.034,0.018,0.046,0,12.1,94.1,100.2,0.1280
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,17179,0.677,0.216,0.044,0.001,0.045,0.017,11.6,249.5,124.8,0.0982
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,15310,0.63,0.336,0.033,0,0,0.001,12.5,242.3,130.5,0.1156
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,22006,0.167,0.794,0.03,0.01,0,0,9.7,61.4,150.6,0.1649
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,22984,0.257,0.715,0.017,0.008,0.003,0,8.8,47.6,90,0.1111
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,25695,0.219,0.761,0.015,0.005,0,0,9.1,75.8,79,0.1530
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,20268,0.243,0.7,0.017,0.006,0.009,0.025,9.3,68.3,146.8,0.1789
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,20177,0.269,0.682,0.013,0.009,0.011,0.016,10.1,61.4,136.4,0.1818
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,21191,0.157,0.807,0.011,0.001,0.024,0,10.1,74.7,164.3,0.1187
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,23019,0.15,0.824,0.009,0.003,0.007,0.007,11.3,66.9,165,0.1677
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,23814,0.091,0.9,0.008,0,0,0.001,9.3,73.6,85.5,0.1131
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,15201,0.429,0.543,0.028,0,0,0,15.4,71.2,166.8,0.0960
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,17555,0.13,0.857,0.014,0,0,0,12.1,87.4,126.2,0.1108
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,19831,0.186,0.595,0.045,0.144,0,0.03,10.1,69.2,106.6,0.1632
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,17487,0.11,0.877,0.01,0.002,0,0.001,11.6,84.5,186,0.1165
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,16246,0.133,0.807,0.003,0.017,0,0.04,10.3,65.7,192.7,0.1280
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,18454,0.124,0.857,0.015,0.004,0,0,11.9,50.5,96,0.1333
