CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
Bergen,5410,Waldwick Boro,37853732,1634,23167,28,36707942,1647,22294,20,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,5430,Wallington Boro,24603301,1268,19407,5,25649491,1302,19706,6,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,5755,Westwood Regional,81629365,2811,29041,76,65294725,2837,23014,50,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,5830,Wood-Ridge Boro,25796308,1245,20718,13,25897575,1234,20981,13,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,5880,Woodcliff Lake Boro,18804801,739,25446,49,20409774,714,28577,58,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,5920,Wyckoff Twp,47957786,1924,24926,58,47644484,1910,24945,58,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,6013,Bergen Arts And Sciences,16467555,1155,14256,17,17553721,1162,15101,29,O. Charter,OCharter
Bergen,6430,Englewood On The Palisad,5527193,312,17698,40,5510499,321,17193,42,O. Charter,OCharter
Bergen,7890,Teaneck Community Cs,6513632,323,20147,72,6881652,333,20672,76,O. Charter,OCharter
Burlington,200,Bass River Twp,2778833,105,26390,44,2764645,93,29626,52,A. K-6|K-6,AK-6K-6
Burlington,380,Beverly City,8518823,374,22756,23,8928638,383,23289,31,"I. K-12|K-8,0-400",IK-12K-80-400
Burlington,475,Bordentown Regional,51817667,2414,21470,32,51806033,2398,21607,33,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Burlington,600,Burlington City,54468586,1668,32647,50,52884963,1786,29617,49,"L. K-12|K-12,0-1800",LK-12K-120-1800
Burlington,605,Burlington Co Spec Serv,49659427,608,81668,6,47527473,597,79613,5,P. CSSD,PCSSD
Burlington,610,Burlington Co Vocational,51869816,2068,25084,10,50040673,2089,23955,9,Q. County Voc,QCountyVoc
Burlington,620,Burlington Twp,82401234,3763,21898,37,82920163,3752,22099,44,"N. K-12|K-12,3500+",NK-12K-123500plus
Burlington,830,Chesterfield Twp,14733256,791,18628,7,15685809,765,20497,17,A. K-6|K-6,AK-6K-6
Burlington,840,Cinnaminson Twp,55011748,2578,21336,30,56585480,2721,20797,25,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Burlington,1030,Delanco Twp,11018226,510,21602,17,11757623,536,21949,21,"I. K-12|K-8,0-400",IK-12K-80-400
Burlington,1060,Delran Twp,57840678,3014,19194,8,58859999,3030,19423,10,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Burlington,1250,Eastampton Twp,13156679,607,21666,20,13288408,575,23093,31,"D. K-8|K-8,401-750",DK-8K-8401-750
Burlington,1280,Edgewater Park Twp,21867981,1052,20795,29,23379568,1141,20492,25,"K. K-12|K-8,751+",KK-12K-8751plus
Burlington,1420,Evesham Twp,95566945,4446,21496,33,92733240,4478,20707,27,"E. K-8|K-8,751+",EK-8K-8751plus
Burlington,1520,Florence Twp,34248171,1606,21331,17,35111828,1604,21887,18,"L. K-12|K-12,0-1800",LK-12K-120-1800
Burlington,1910,Hainesport Twp,12411289,585,21233,18,12140310,581,20912,12,"D. K-8|K-8,401-750",DK-8K-8401-750
Burlington,2610,Lenape Regional,184424574,6862,26877,22,187073302,6888,27160,22,"G. G9-12|7-12,9-12",GG9-127-129-12
Burlington,2850,Lumberton Twp,28037919,1249,22447,40,27849665,1195,23314,46,"E. K-8|K-8,751+",EK-8K-8751plus
Burlington,2960,Mansfield Twp,14523689,540,26906,45,15009124,548,27381,46,A. K-6|K-6,AK-6K-6
Burlington,3010,Maple Shade Twp,48007101,2294,20929,23,52048310,2382,21854,38,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Burlington,3070,Medford Lakes Boro,9547202,519,18390,5,9582059,536,17863,2,"D. K-8|K-8,401-750",DK-8K-8401-750
Burlington,3080,Medford Twp,62070827,2694,23044,42,61653923,2686,22957,43,"E. K-8|K-8,751+",EK-8K-8751plus
Burlington,3360,Moorestown Twp,93361289,4017,23243,57,92853177,4012,23145,55,"N. K-12|K-12,3500+",NK-12K-123500plus
Burlington,3430,Mount Holly Twp,26750019,1124,23798,49,25269049,1146,22049,36,"E. K-8|K-8,751+",EK-8K-8751plus
Burlington,3440,Mount Laurel Twp,86435191,4257,20304,23,87900881,4319,20350,23,"E. K-8|K-8,751+",EK-8K-8751plus
Burlington,3540,New Hanover Twp,6252311,208,30060,70,6152234,212,29047,64,"I. K-12|K-8,0-400",IK-12K-80-400
Burlington,3650,North Hanover Twp,27325976,1107,24675,38,33310802,1197,27823,48,A. K-6|K-6,AK-6K-6
Burlington,3690,Northern Burlington Reg,45645294,2190,20846,3,51267700,2189,23419,10,"F. G7-12|7-12,9-12",FG7-127-129-12
Burlington,3920,Palmyra Boro,20373419,952,21411,18,21325408,941,22654,23,"L. K-12|K-12,0-1800",LK-12K-120-1800
Burlington,4050,Pemberton Twp,130730729,4891,26732,84,133305040,4742,28114,85,"N. K-12|K-12,3500+",NK-12K-123500plus
Burlington,4320,Rancocas Valley Regional,45550001,2107,21623,6,42218077,2119,19926,2,"G. G9-12|7-12,9-12",GG9-127-129-12
Burlington,4450,Riverside Twp,29789613,1451,20534,11,30636585,1469,20861,12,"L. K-12|K-12,0-1800",LK-12K-120-1800
Burlington,4460,Riverton,6827805,356,19157,3,6989954,370,18873,3,"I. K-12|K-8,0-400",IK-12K-80-400
Burlington,4740,Shamong Twp,16402523,744,22050,26,16270409,730,22295,24,"D. K-8|K-8,401-750",DK-8K-8401-750
