cds,fiscal_year,student_count
55805,2016-2017,190542
55890,2016-2017,7216
70150,2016-2017,61215
70160,2016-2017,4697
70190,2016-2017,39842
70260,2016-2017,57002
70330,2016-2017,38984
70340,2016-2017,41206
70390,2016-2017,181956.5
70580,2016-2017,20449
70680,2016-2017,818328.5
70700,2016-2017,89551
70800,2016-2017,518424.5
70810,2016-2017,7832
70880,2016-2017,28990.5
70940,2016-2017,81081
71255,2016-2017,93379
71720,2016-2017,10714
71770,2016-2017,100683
71780,2016-2017,317999
71880,2016-2017,44302.5
71890,2016-2017,95854
71900,2016-2017,115665
72130,2016-2017,7078.5
72540,2016-2017,15818
72560,2016-2017,21549
72670,2016-2017,147015
72890,2016-2017,20548
73110,2016-2017,23496
73420,2016-2017,29452.5
73770,2016-2017,22616
74060,2016-2017,275148.5
74110,2016-2017,83127
74590,2016-2017,41503
74790,2016-2017,24172.5
75035,2016-2017,42603
75080,2016-2017,35986.5
75140,2016-2017,176
75400,2016-2017,134491.5
75560,2016-2017,76411.5
75820,2016-2017,240702
75900,2016-2017,31339
90170,2016-2017,2046
90710,2016-2017,8657
90720,2016-2017,24271.5
90730,2016-2017,176
91080,2016-2017,30602
92820,2016-2017,69756.5
92840,2016-2017,83325
93130,2016-2017,115269
93680,2016-2017,14553
93780,2016-2017,70031.5
94700,2016-2017,4378
95060,2016-2017,1562
95340,2016-2017,91063.5
95610,2016-2017,3503.5
95700,2016-2017,1936
95790,2016-2017,43736
95800,2016-2017,14333
95840,2016-2017,12727
110540,2016-2017,322245
110950,2016-2017,40947.5
110995,2016-2017,11099
110997,2016-2017,64768
111020,2016-2017,16142.5
111120,2016-2017,9487.5
111460,2016-2017,30646
111820,2016-2017,2805
112270,2016-2017,20757
112570,2016-2017,31344.5
113050,2016-2017,26378
113230,2016-2017,265408
114750,2016-2017,2134
115070,2016-2017,5522
115300,2016-2017,44627
115390,2016-2017,554411
130250,2016-2017,236230.5
130410,2016-2017,317911
130660,2016-2017,119735
130760,2016-2017,73557
131210,2016-2017,538637
131390,2016-2017,98510.5
131400,2016-2017,8327
131465,2016-2017,27775
131750,2016-2017,82604.5
132330,2016-2017,407489.5
132730,2016-2017,265067
133190,2016-2017,218009
133310,2016-2017,312521
133570,2016-2017,2657732
133630,2016-2017,28611
133750,2016-2017,185295
133880,2016-2017,289410
134530,2016-2017,18997
134900,2016-2017,326733
135370,2016-2017,95034.5
135630,2016-2017,76516
135680,2016-2017,335703.5
150860,2016-2017,70405.5
150870,2016-2017,111226.5
151100,2016-2017,208202.5
151180,2016-2017,57876.5
151330,2016-2017,15185.5
151590,2016-2017,64482
151715,2016-2017,47124
151730,2016-2017,105209.5
151775,2016-2017,46909.5
151830,2016-2017,27368
152070,2016-2017,65989
152440,2016-2017,107492
152750,2016-2017,50572.5
152990,2016-2017,55082.5
153280,2016-2017,293315
153490,2016-2017,12452
153580,2016-2017,10697.5
154020,2016-2017,57387
154140,2016-2017,63910
154880,2016-2017,17820
154940,2016-2017,72858.5
155120,2016-2017,78551
155500,2016-2017,351769
155590,2016-2017,8536
155620,2016-2017,142659
155740,2016-2017,16445
155860,2016-2017,74508.5
155870,2016-2017,10769
170220,2016-2017,480447
171200,2016-2017,21796.5
171850,2016-2017,70548.5
172060,2016-2017,119185
172210,2016-2017,137621
172295,2016-2017,86817.5
172390,2016-2017,1670713
172410,2016-2017,297258.5
173610,2016-2017,387211
174730,2016-2017,100853.5
175240,2016-2017,713603
