district_id,cds_code,district_name
1970,191970,Hampton Boro
1550,031550,Franklin Lakes Boro
1550,031550,Franklin Lakes Boro
1550,031550,Franklin Lakes Boro
1550,031550,Franklin Lakes Boro
2520,292520,Lakewood Twp
2690,292690,Little Egg Harbor Twp
2140,192140,High Bridge Boro
2220,192220,Holland Twp
1130,031130,Dumont Boro
2300,192300,Hunterdon Central Reg
2450,192450,Kingwood Twp
2590,192590,Lebanon Boro
2600,192600,Lebanon Twp
3180,193180,Milford Boro
3660,193660,N Hunt/Voorhees Regional
4350,194350,Readington Twp
5180,195180,Tewksbury Twp
5270,195270,Union Twp
1230,031230,East Rutherford Boro
2040,412040,Harmony Twp
2250,412250,Hope Twp
2470,412470,Knowlton Twp
2790,412790,Lopatcong Twp
2970,412970,Mansfield Twp
3675,413675,North Warren Regional
3890,413890,Oxford Twp
4100,414100,Phillipsburg Town
4200,414200,Pohatcong Twp
5460,415460,Warren County Vocational
1245,211245,East Windsor Regional
1430,211430,Ewing Twp
1950,211950,Hamilton Twp
2280,212280,Hopewell Valley Regional
1270,031270,Edgewater Boro
2580,212580,Lawrence Twp
4255,214255,Princeton
5210,215210,Trenton City
5510,215510,Robbinsville Twp
5715,215715,W Windsor-Plainsboro Reg
0750,230750,Carteret Boro
0970,230970,Cranbury Twp
1140,231140,Dunellen Boro
1170,231170,East Brunswick Twp
1290,231290,Edison Twp
1345,031345,Elmwood Park
2150,232150,Highland Park Boro
2370,232370,Jamesburg Boro
3120,233120,Metuchen Boro
3140,233140,Middlesex Boro
3220,233220,Milltown Boro
3530,233530,New Brunswick City
3620,233620,North Brunswick Twp
3845,233845,Old Bridge Twp
4090,234090,Perth Amboy City
4130,234130,Piscataway Twp
1550,031550,Franklin Lakes Boro
1550,031550,Franklin Lakes Boro
4660,234660,Sayreville Boro
4830,234830,South Amboy City
1360,031360,Emerson Boro
4860,234860,South Brunswick Twp
4910,234910,South Plainfield Boro
4920,234920,South River Boro
4970,234970,Spotswood
5850,235850,Woodbridge Twp
0050,250050,Allenhurst
1370,031370,Englewood City
0100,250100,Asbury Park City
0130,250130,null
0180,250180,Avon Boro
0270,250270,Belmar Boro
0500,250500,Bradley Beach Boro
0560,250560,Brielle Boro
0945,250945,Colts Neck Twp
1000,251000,Deal Boro
1260,251260,Eatontown Boro
1440,251440,Fair Haven Boro
3740,033740,Norwood Boro
1490,251490,Farmingdale Boro
1380,031380,Englewood Cliffs Boro
1640,251640,Freehold Boro
1650,251650,Freehold Regional
1660,251660,Freehold Twp
2105,252105,Hazlet Twp
1345,031345,Elmwood Park
2120,252120,null
2160,252160,null
2230,252230,Holmdel Twp
1450,031450,Fair Lawn Boro
2290,252290,Howell Twp
2320,252320,Interlaken
2400,252400,Keansburg Boro
2430,252430,Keyport Boro
2720,252720,Little Silver Boro
2770,252770,Long Branch City
2920,252920,Manalapan-Englishtown Reg
1470,031470,Fairview Boro
2930,252930,Manasquan Boro
3030,253030,Marlboro Twp
3040,253040,Matawan-Aberdeen Regional
3160,253160,Middletown Twp
3200,253200,Millstone Twp
3250,253250,Monmouth Beach Boro
1860,031860,Hackensack City
2650,272650,Lincoln Park Boro
2870,272870,Madison Boro
3090,273090,Mendham Boro
3100,273100,Mendham Twp
3240,273240,Mine Hill Twp
3340,273340,Montville Twp
3370,273370,Morris Hills Regional
3380,273380,Morris Plains Boro
3385,273385,Morris School District
3410,273410,Mount Arlington Boro
3450,273450,Mount Olive Twp
3460,273460,Mountain Lakes Boro
3520,273520,Netcong Boro
3890,413890,Oxford Twp
3950,273950,Parsippany-Troy Hills Twp
