CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
3,2620,28829487,16738868,16127303,594558,17007,4093828,3811096,3947836,3240233,3135335,1972983,0,793726,123971,1884,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,10.9,61160,71.4,67223,125.3,120032,13.2,Bergen
3,2710,13171111,8071003,7553581,295439,221983,2133924,1781938,1414079,1127566,1496889,830478,0,42861,51491,904,Little Ferry Boro,Bergen,D. K-8 / 751 +,2,CD,,1,11.5,69606,101.7,87636,157,145084,15.2,Bergen
3,2740,38591682,21687613,20627363,687009,373241,6777929,4809055,5115237,4438901,4247433,2164663,0,762182,39441,3093,Lodi Borough,Bergen,F. K-12 / 1801 - 3500,3,B,,1,13.5,54266,95,97486,150.3,145834,12.7,Bergen
3,2860,37081617,21014055,20090233,362357,561465,5688027,4813365,4537180,3642590,4043832,1970839,542315,968991,0,2503,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,12.8,59000,64.8,67000,119.5,102000,11.2,Bergen
3,2900,52722270,29755731,27965190,1060852,729689,9947154,7480962,5992800,4943712,5520939,787091,0,1392001,99481,2866,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,3,I,,1,10.7,70199,76.8,72641,122.2,132023,13,Bergen
3,3060,12929473,8308334,7727200,540626,40508,1752997,1300372,1272238,1009344,1506174,706803,0,82677,0,977,Maywood Boro,Bergen,D. K-8 / 751 +,2,FG,,1,13.2,57850,100,67001,196,131325,16.8,Bergen
3,3170,19184668,10862980,10519386,229443,114151,3200810,2609006,2437055,2176266,1937453,1044866,0,684484,32963,936,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,9.1,59500,48.1,76500,101.5,135268,13.2,Bergen
3,3330,14626137,8949887,8573343,289765,86779,2367932,1839179,1839238,1640695,1356594,296145,0,110234,49718,1000,Montvale Boro,Bergen,D. K-8 / 751 +,2,I,,1,11.5,71110,95.7,74660,124.4,130876,12.2,Bergen
3,3350,5488066,3153647,2986607,110418,56622,1243591,423461,478251,367054,486573,269569,88293,29212,13794,313,Moonachie Boro,Bergen,B. K-8 / 0 - 400,2,B,,1,11.5,68105,79.6,88472,104,95000,10.3,Bergen
3,3550,32102809,17233968,16316586,705411,211971,5064242,4301142,4653031,4052209,3987665,2251505,0,1034460,152569,1990,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,12.3,60870,66.9,61585,146.7,132940,14.1,Bergen
3,3600,21563897,12464632,11768450,382030,314152,2692695,2171933,2988686,2609343,2825325,1315277,0,565103,35104,1770,North Arlington Boro,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,13.4,60135,106.6,56275,117.2,130000,9.8,Bergen
3,3700,24815692,14656505,12771309,1001548,883648,3543976,2988995,2194273,1682169,2828715,1259777,4285,1535932,114834,1357,Northern Highlands Reg,Bergen,H. 7-12 / 9-12,5,J,,1,12,82445,86.7,89040,92.6,152577,8.8,Bergen
3,3710,48444936,28596372,26618196,534974,1443202,6942183,5908733,5381587,4407582,4827148,2856511,0,2663252,238769,2255,Northern Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,10.3,108867,41.1,97028,95.9,139409,11.7,Bergen
3,3730,8406873,4907967,4752346,130249,25372,1592173,1096769,1018359,877009,781651,265461,0,102478,58730,516,Northvale Boro,Bergen,C. K-8 / 401 - 750,2,FG,,1,10.9,71801,65.6,63475,129,114175,13.9,Bergen
3,3740,8636589,5083544,4736917,321828,24799,1534337,1260510,1045460,902614,937766,595316,1658,33825,0,593,Norwood Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,12.2,61288,92.2,86788,108.9,108195,10.1,Bergen
3,3760,26273849,16102036,15456341,609436,36259,4211477,3426581,3247081,2769359,2521711,1678594,0,131097,118026,1377,Oakland Boro,Bergen,D. K-8 / 751 +,2,I,,1,10.4,71065,47.9,82060,125.1,135218,14.6,Bergen
3,3850,10660566,6577452,6218954,241095,117403,1807431,1538249,1248016,1087953,951001,346857,0,76666,11071,660,Old Tappan Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,10.5,82605,65.6,78941,93.7,136544,10.4,Bergen
3,3870,10513347,6484097,6036136,276619,171342,1491727,1046540,1387009,1129912,1113793,615051,0,36721,17915,739,Oradell Boro,Bergen,A. K-6,1,I,,1,11.9,58208,96.5,63815,134.9,109681,12.8,Bergen
3,3910,23521796,15060427,14385444,384799,290184,2861942,1951567,2925865,2275654,1998119,1082506,0,562937,21538,1710,Palisades Park,Bergen,E. K-12 / 0 - 1800,3,CD,,1,,,1696,92958,,,,Bergen
3,3930,69740473,39358536,36827235,2483946,47355,10636029,8790290,7853673,7073443,10238008,6112170,0,1390912,314215,3776,Paramus Boro,Bergen,G. K-12 / 3501 +,3,GH,,1,11.1,67750,57.2,75600,145.1,155300,15.6,Bergen
3,3940,26165766,14934005,12934299,1867507,132199,5383505,4597900,2756952,2445434,2145962,1128609,0,923954,103184,1186,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,9.8,73432,52.8,86579,85.6,139519,10.4,Bergen
3,3960,41484518,23576681,21058980,444182,2073519,6902996,6004683,3834405,3348017,4843074,2702059,0,2309003,370087,2022,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,11.8,89250,61,88750,98.7,159585,10,Bergen
3,4300,42057613,22046152,20321418,707437,1017297,6465989,5792675,4906730,3815248,5513368,2493505,0,3058430,159230,2278,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,5,I,,1,10.8,64182,87.6,67584,94.9,130451,9.9,Bergen
3,4310,50233681,30464978,29414313,765418,285247,8501416,6806785,4182736,3156513,5590677,2972794,31282,1417835,0,2767,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,10.9,82655,64.9,85940,148.5,144868,15.9,Bergen
