CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
80,7893,1864210,884224,752058,119104,13062,0,0,615000,464707,297918,0,67068,0,24245,151,Ocean Academy Charter School,Ocean,K. Charter,C,,,1,,,,,,,,Ocean
80,6021,11794701,4370544,4107267,174053,89224,0,0,2222369,1317232,4033678,1165014,67211,0,38100,897,Community Charter School Of Paterso,Passaic,K. Charter,C,,,1,11.5,54584,149.5,62048,56.1,79750,5.3,Passaic
80,6079,4832671,2488832,2078906,188939,220987,619127,554467,647020,309453,1071678,212796,6014,0,0,269,John P Holland Charter School,Passaic,K. Charter,C,,,1,12.2,50849,107.6,75000,67.3,99456,6.1,Passaic
80,6080,15736123,7266708,6253385,863135,150188,755483,673521,3905187,1828030,3525855,1030517,0,282890,927150,1262,Passaic Arts And Science Charter School,Passaic,K. Charter,C,,,1,14.7,45600,157.8,58371,,,,Passaic
80,6096,8197794,3758395,3244110,452493,61792,376475,356730,1878245,731308,2042290,385275,0,142389,115747,683,Paterson Arts And Science Cs,Passaic,K. Charter,C,,,1,15.5,45900,248.4,56100,341.5,82518,23.4,Passaic
80,6106,1739999,945168,940132,0,5036,0,0,248021,228505,546810,209873,0,0,0,135,Philip’s Charter School Of Paterson,Passaic,K. Charter,C,,,1,9.8,50375,45,60800,135,115000,16.8,Passaic
80,6230,1774914,736012,655425,43563,37024,0,0,688462,263461,350440,0,0,0,31500,118,Classical Academy Charter School Of Clif,Passaic,K. Charter,C,,,1,9.6,42000,118,45000,59,62500,6.7,Passaic
80,7503,16405280,7759462,7317735,270451,171276,1026763,813482,2581410,2183779,4693924,845097,0,341736,208370,1386,Paterson Cs For Sci/Tech,Passaic,K. Charter,C,,,1,13.2,53000,138.6,61094,138.6,82670,11.5,Passaic
80,7892,3152469,1489232,1109408,162111,217713,0,0,857093,528188,806144,60361,0,0,145136,276,College Achieve Paterson Charter School,Passaic,K. Charter,C,,,1,14.5,48000,276,60000,92,97000,6.7,Passaic
80,6018,7275296,3844715,3497769,220910,126036,378059,332680,1368835,1045150,1618910,308430,0,64778,691936,614,Central Jersey College Prep Charter Scho,Somerset,K. Charter,C,,,1,12.2,50000,122.8,60000,198.1,80000,17.9,Somerset
80,6081,5048390,2293175,1975539,212172,105464,0,0,701581,539328,2014284,771298,0,39349,0,471,Thomas Edison Energysmart Charter School,Somerset,K. Charter,C,,,1,19.8,48800,235.5,60981,109.5,94760,6,Somerset
80,7850,3491868,2216897,2129644,64229,23024,247593,183611,671868,578464,283916,104951,0,71594,0,224,Sussex County Technology Charter School,Sussex,K. Charter,C,,,1,10.4,55317,81.5,59684,89.6,94000,9.8,Sussex
80,6033,3683164,1837835,1590065,99287,148483,66831,63331,1140961,855773,637538,0,0,0,4177,239,The Barack Obama Green Charter High Scho,Union,K. Charter,C,,,1,11.4,50000,239,50000,59.8,67500,5.5,Union
80,6101,9563802,5594362,4655931,116131,822300,481432,463038,1686660,424467,1569524,11597,231824,0,121291,801,College Achieve Central Charter School,Union,K. Charter,C,,,1,14.7,49000,400.5,71250,267,100000,18.8,Union
80,6102,1963370,1098709,993227,58203,47279,0,0,441794,353942,422867,173777,0,0,9294,150,Cresthaven Academy Charter School,Union,K. Charter,C,,,1,8.8,53000,150,66950,73.2,113300,8.6,Union
80,7600,3504789,1768314,1659113,72103,37098,352223,193986,868399,713408,515853,92377,0,0,18866,324,Queen City Academy Cs,Union,K. Charter,C,,,1,12.2,50400,162,63176,108,105400,9.5,Union
80,8010,4564249,2581019,2343214,126341,111464,0,0,819906,409874,1163324,179919,0,0,0,386,Union County Teams Cs,Union,K. Charter,C,,,1,19.3,53391,193,58802,110.3,90262,6.3,Union
80,7727,1707099,1141704,1118269,23135,300,0,0,386018,340274,179377,0,0,0,0,126,Ridge And Valley Cs,Warren,K. Charter,C,,,1,7.4,46717,,,117.8,44784,15.5,Warren
