CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,3700,26128777,14989778,13598969,617405,773404,4078550,3263984,2219255,1783553,3073610,1339326,4000,1710022,53000,12.5,82445,85.1,88630,94.4,152577,8.7,1332,Northern Highlands Reg,Bergen,H. 7-12 / 9-12,5,J,,1,Bergen
3,3710,50632830,29962654,27912093,562725,1487836,7027673,5974428,5531648,4630296,5329550,2650446,34600,2699553,62000,10,107787,39.9,97346,89.4,141960,11.2,2534,Northern Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen
3,3730,9138132,5265191,5051923,185168,28100,1715889,1104378,1132545,916509,892243,294468,0,126352,10000,10.8,73800,64.7,63801,127.3,117800,13.7,518,Northvale Boro,Bergen,C. K-8 / 401 - 750,2,FG,,1,Bergen
3,3740,8817766,5222149,4840705,329388,52056,1572440,1422838,1071179,905027,922530,594239,5000,24468,0,12.2,62038,69.5,85306,118.2,111395,11.4,598,Norwood Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,3760,27877415,16863764,16250352,544785,68627,4961593,3961941,3009076,2646669,2823517,1820623,0,154898,60884,10.1,71025,48.1,84708,98.7,121866,11.8,1341,Oakland Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,3850,13983659,8473530,8090402,235776,147352,2367023,2050806,1572237,1280873,1441375,417901,0,129493,0,10.5,86261,63.4,64879,91.4,124162,10.2,710,Old Tappan Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,3870,11154142,6977871,6626357,180464,171050,1495640,1128786,1468622,1286291,1193503,664865,0,18507,0,11.4,64055,109.1,68994,115.8,107161,11.3,754,Oradell Boro,Bergen,A. K-6,1,I,,1,Bergen
3,3910,23995535,15450835,14873615,329800,247420,2540055,2018455,3172842,2567816,2206118,1146751,0,505437,0,,,1700,96025,,,,1788,Palisades Park,Bergen,E. K-12 / 0 - 1800,3,CD,,1,Bergen
3,3930,74265381,41104998,39155982,1880716,68300,11338180,9614394,8373718,7430741,11701543,6775943,0,1431813,434500,11.4,66200,60.5,78400,145.2,159303,15.1,3752,Paramus Boro,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen
3,3940,27380049,15601802,14964097,459721,177984,5669958,4692364,2676295,2265498,2359282,1298433,0,1049079,7750,10,75676,50.5,83376,85.5,143565,10.2,1195,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,Bergen
