CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
3,4610,32049969,17287201,16431461,306991,548749,6016689,4857444,3990456,3206301,3884201,1828743,0,812984,0,12,70415,48.4,78915,137.7,143990,14.3,Saddle Brook Twp,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen,1666.0
3,4620,5478323,2753196,2449585,72236,231375,1585397,921462,281505,149635,855539,441347,0,0,0,6.9,78805,35.7,82080,35.7,126000,6.1,Saddle River Boro,Bergen,A. K-6,1,J,,1,Bergen,120.0
3,4870,5990714,3437997,3024561,106000,307436,1069630,892630,452473,347602,870492,436940,26867,133255,0,8.8,84976,121,89344,60.5,97236,7.4,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,2,CD,,1,Bergen,261.0
3,5150,86225520,48234667,42732760,1328942,4172965,18015499,13219751,7805376,6534124,10754087,3654790,0,1301579,462000,9.7,86400,50.5,93475,94.4,128789,11.6,Teaneck Twp,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen,3584.1
3,5160,70744875,42768900,38815564,2248645,1704691,12477455,9634459,7430829,6676930,6273000,3949134,50000,1701005,546572,11.2,90439,74.9,96689,144.8,159015,14.9,Tenafly Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen,3527.0
3,5330,25058422,14795573,13837048,921575,36950,4177615,3809635,2668834,2153584,3219411,1697811,0,196989,116219,9.6,69570,48.3,95700,111.2,167072,13.9,Upper Saddle River Boro,Bergen,D. K-8 / 751 +,2,J,,1,Bergen,1119.0
3,5410,29870639,18587047,18040353,394500,152194,3743837,3363492,3888991,3362177,2732306,1510169,0,874652,150000,10.6,78295,67.7,80320,129.8,152721,14.1,Waldwick Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen,1569.0
3,5430,18865129,10235912,9826617,405995,3300,2974066,2665316,2033257,1744902,2890364,660727,0,731529,153000,13.8,68415,74.6,70015,133.4,139515,11.4,Wallington Boro,Bergen,E. K-12 / 0 - 1800,3,B,,1,Bergen,1247.0
3,5755,57607563,30914703,29727153,772400,415150,12700827,9507616,6302934,4998061,6142754,2929177,0,1480551,325885,11,86040,56.4,84075,126.1,140353,13.8,Westwood Regional,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen,2745.0
3,5830,19194850,10882443,10548377,284438,49628,3139604,2450513,2679854,2228848,1842787,1067985,0,636904,0,11.7,68095,65.4,62395,135.2,118000,13.6,Wood-Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,Bergen,1252.0
