GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
E. K-12 / 0 - 1800,Statewide,N.A.,1. State average - Operating Type K-12,0.314,0.304,0.318
E. K-12 / 0 - 1800,Statewide,N.A.,2. State median - Operating Type K-12,0.295,0.282,0.301
E. K-12 / 0 - 1800,Statewide,N.A.,5. State average - All operating types,0.310,0.300,0.319
E. K-12 / 0 - 1800,Statewide,N.A.,6. State median - All operating types,0.295,0.283,0.311
E. K-12 / 0 - 1800,Atlantic,590,Buena Regional,0.315,0.317,0.333
E. K-12 / 0 - 1800,Bergen,440,Bogota Boro,0.297,0.296,0.325
E. K-12 / 0 - 1800,Bergen,990,Cresskill Boro,0.220,0.203,0.235
E. K-12 / 0 - 1800,Bergen,1360,Emerson Boro,0.301,0.284,0.308
E. K-12 / 0 - 1800,Bergen,2080,Hasbrouck Heights Boro,0.259,0.230,0.251
E. K-12 / 0 - 1800,Bergen,3170,Midland Park Boro,0.307,0.269,0.322
E. K-12 / 0 - 1800,Bergen,3910,Palisades Park,0.292,0.272,0.353
E. K-12 / 0 - 1800,Bergen,3940,Park Ridge Boro,0.290,0.264,0.306
E. K-12 / 0 - 1800,Bergen,4370,Ridgefield Boro,0.289,0.267,0.295
E. K-12 / 0 - 1800,Bergen,4610,Saddle Brook Twp,0.278,0.239,0.264
E. K-12 / 0 - 1800,Bergen,5410,Waldwick Boro,0.278,0.249,0.283
E. K-12 / 0 - 1800,Bergen,5430,Wallington Boro,0.296,0.261,0.303
E. K-12 / 0 - 1800,Bergen,5830,Wood-Ridge Boro,0.268,0.238,0.265
E. K-12 / 0 - 1800,Burlington,1520,Florence Twp,0.350,0.333,0.348
E. K-12 / 0 - 1800,Burlington,3920,Palmyra Boro,0.327,0.353,0.354
E. K-12 / 0 - 1800,Burlington,4450,Riverside Twp,0.342,0.341,0.336
E. K-12 / 0 - 1800,Camden,150,Audubon Public School Disrict,0.269,0.248,0.254
E. K-12 / 0 - 1800,Camden,1880,Haddon Heights Boro,0.288,0.276,0.306
E. K-12 / 0 - 1800,Cape May,5790,Wildwood City,0.314,0.322,0.330
E. K-12 / 0 - 1800,Essex,760,Cedar Grove Twp,0.326,0.309,0.353
E. K-12 / 0 - 1800,Gloucester,860,Clayton Boro,0.308,0.323,0.322
E. K-12 / 0 - 1800,Gloucester,4020,Paulsboro Boro,0.379,0.376,0.429
E. K-12 / 0 - 1800,Gloucester,4140,Pitman Boro,0.267,0.273,0.301
E. K-12 / 0 - 1800,Gloucester,5860,Woodbury City,0.289,0.289,0.345
E. K-12 / 0 - 1800,Hudson,5580,Weehawken Twp,0.310,0.260,0.293
E. K-12 / 0 - 1800,Hunterdon,1376,South Hunterdon Regional School District,0.260,0.269,0.270
E. K-12 / 0 - 1800,Middlesex,1140,Dunellen Boro,0.285,0.328,0.335
E. K-12 / 0 - 1800,Middlesex,2150,Highland Park Boro,0.302,0.263,0.295
E. K-12 / 0 - 1800,Middlesex,4830,South Amboy City,0.238,0.200,0.190
E. K-12 / 0 - 1800,Middlesex,4970,Spotswood Boro,0.311,0.248,0.275
E. K-12 / 0 - 1800,Monmouth,100,Asbury Park City,0.366,0.343,0.417
E. K-12 / 0 - 1800,Monmouth,2400,Keansburg Boro,N.R.,N.R.,0.308
E. K-12 / 0 - 1800,Monmouth,2430,Keyport Boro,0.309,0.351,0.424
E. K-12 / 0 - 1800,Monmouth,2930,Manasquan Boro,0.307,0.294,0.300
E. K-12 / 0 - 1800,Morris,450,Boonton Town,0.309,0.289,0.294
E. K-12 / 0 - 1800,Morris,630,Butler Boro,0.265,0.243,0.292
E. K-12 / 0 - 1800,Morris,2460,Kinnelon Boro,0.272,0.246,0.266
E. K-12 / 0 - 1800,Morris,3460,Mountain Lakes Boro,0.247,0.213,0.246
E. K-12 / 0 - 1800,Ocean,4190,Plumsted Twp,0.288,0.270,0.259
E. K-12 / 0 - 1800,Ocean,4220,Point Pleasant Beach Boro,0.285,0.244,0.313
