GROUP,CONAME,DIST,DISTNAME,EX121,EX221
D. K-8 / 751 +,Monmouth,1260,Eatontown Boro,761627,423758
D. K-8 / 751 +,Monmouth,1440,Fair Haven Boro,812108,773828
D. K-8 / 751 +,Monmouth,1640,Freehold Boro,1602669,904858
D. K-8 / 751 +,Monmouth,1660,Freehold Twp,0,0
D. K-8 / 751 +,Monmouth,2290,Howell Twp,3000000,3000000
D. K-8 / 751 +,Monmouth,2920,Manalapan-Englishtown Reg,4606826,4523975
D. K-8 / 751 +,Monmouth,3030,Marlboro Twp,571465,341136
D. K-8 / 751 +,Monmouth,3200,Millstone Twp,1539081,1468081
D. K-8 / 751 +,Monmouth,4360,Red Bank Boro,258993,0
D. K-8 / 751 +,Monmouth,4570,Rumson Boro,945812,950774
D. K-8 / 751 +,Monmouth,5185,Tinton Falls,2731188,2394588
D. K-8 / 751 +,Morris,820,Chester Twp,350000,350000
D. K-8 / 751 +,Morris,1090,Denville Twp,200000,200000
D. K-8 / 751 +,Morris,1190,East Hanover Twp,717878,948623
D. K-8 / 751 +,Morris,1530,Florham Park Boro,61141,260826
D. K-8 / 751 +,Morris,2000,Hanover Twp,0,0
D. K-8 / 751 +,Morris,2650,Lincoln Park Boro,0,0
D. K-8 / 751 +,Morris,3100,Mendham Twp,1134000,1034162
D. K-8 / 751 +,Morris,4000,Long Hill Twp,0,0
D. K-8 / 751 +,Morris,4490,Rockaway Twp,1800000,2150000
D. K-8 / 751 +,Morris,5520,Washington Twp,0,0
D. K-8 / 751 +,Passaic,1920,Haledon Boro,247808,253077
D. K-8 / 751 +,Passaic,2700,Little Falls Twp,650000,700000
D. K-8 / 751 +,Passaic,4270,Prospect Park Boro,311466,77398
D. K-8 / 751 +,Passaic,4400,Ringwood Boro,1630189,2828555
D. K-8 / 751 +,Passaic,5200,Totowa Boro,4399171,4446723
D. K-8 / 751 +,Passaic,5440,Wanaque Boro,484142,450000
D. K-8 / 751 +,Passaic,5690,Woodland Park,288880,0
D. K-8 / 751 +,Somerset,510,Branchburg Twp,0,900000
D. K-8 / 751 +,Somerset,5470,Warren Twp,0,0
D. K-8 / 751 +,Sussex,640,Byram Twp,525000,500000
D. K-8 / 751 +,Sussex,5100,Sussex-Wantage Regional,2070635,2092052
E. K-12 / 0 - 1800,Atlantic,590,Buena Regional,1696654,2490068
E. K-12 / 0 - 1800,Bergen,440,Bogota Boro,0,0
E. K-12 / 0 - 1800,Bergen,990,Cresskill Boro,339725,869745
E. K-12 / 0 - 1800,Bergen,1360,Emerson Boro,0,0
E. K-12 / 0 - 1800,Bergen,2080,Hasbrouck Heights Boro,0,0
E. K-12 / 0 - 1800,Bergen,3170,Midland Park Boro,275000,275000
E. K-12 / 0 - 1800,Bergen,3910,Palisades Park,1430721,823673
E. K-12 / 0 - 1800,Bergen,3940,Park Ridge Boro,244071,307202
E. K-12 / 0 - 1800,Bergen,4370,Ridgefield Boro,849592,1594166
E. K-12 / 0 - 1800,Bergen,4610,Saddle Brook Twp,0,0
E. K-12 / 0 - 1800,Bergen,5410,Waldwick Boro,1300000,1300000
E. K-12 / 0 - 1800,Bergen,5430,Wallington Boro,1747807,2933695
E. K-12 / 0 - 1800,Bergen,5830,Wood-Ridge Boro,0,0
E. K-12 / 0 - 1800,Burlington,1520,Florence Twp,1866682,1312666
E. K-12 / 0 - 1800,Burlington,3920,Palmyra Boro,1103766,1408238
E. K-12 / 0 - 1800,Burlington,4450,Riverside Twp,1391214,1706287
E. K-12 / 0 - 1800,Camden,150,Audubon Public School Disrict,0,0
E. K-12 / 0 - 1800,Camden,1880,Haddon Heights Boro,708256,700000
E. K-12 / 0 - 1800,Cape May,5790,Wildwood City,1077884,1000000
E. K-12 / 0 - 1800,Essex,760,Cedar Grove Twp,828944,801882
E. K-12 / 0 - 1800,Gloucester,860,Clayton Boro,532273,491247
E. K-12 / 0 - 1800,Gloucester,4020,Paulsboro Boro,1412695,3039530
E. K-12 / 0 - 1800,Gloucester,4140,Pitman Boro,0,0
E. K-12 / 0 - 1800,Gloucester,5860,Woodbury City,250000,200000
E. K-12 / 0 - 1800,Hudson,5580,Weehawken Twp,1907403,1361742
E. K-12 / 0 - 1800,Hunterdon,1376,South Hunterdon Regional School District,136109,151501
E. K-12 / 0 - 1800,Middlesex,1140,Dunellen Boro,2221954,756383
E. K-12 / 0 - 1800,Middlesex,2150,Highland Park Boro,0,0
