CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP22,TOTENR2A,PP22
Bergen,Norwood Boro,3740,21610.184336,762.99374527,743.83704645,17.160230703,630.72734074,195.30218437,15301652.4,638.62777778,23960
Bergen,Oakland Boro,3760,29546.603752,659.99539023,584.93911262,455.398425,261.45924835,59.717820603,41088530.72,1301.5833333,31568
Bergen,Old Tappan Boro,3850,23266.326982,1941.7993035,559.69239003,0,0,16.222951126,18795149.64,728.94505495,25784
Bergen,Oradell Boro,3870,19799.067008,94.799225629,577.93667645,12.532317492,606.13251733,374.35554862,17185810.77,800.65,21465
Bergen,Palisades Park,3910,17672.503202,316.27336583,1518.5596508,529.01807342,0,72.538583753,36803072.31,1830.1888889,20109
Bergen,Paramus Boro,3930,26695.13004,1116.5089566,1228.6473754,446.79437019,389.84577914,418.31672438,111947284.12,3695.2099448,30295
Bergen,Park Ridge Boro,3940,30649.130833,1167.8403182,1254.4500115,237.43511574,817.42311977,91.090523629,42152187.91,1231.8944444,34217
Bergen,Pascack Valley Regional,3960,34108.018062,2207.0200397,1298.7561035,463.56079012,1079.2361998,692.21115545,74485997.8,1869.2154696,39849
Bergen,Ramapo-Indian Hill Reg,4300,30611.119842,1257.8812632,815.77198267,719.53214755,738.360505,1060.7651187,74868505.43,2126.7388889,35203
Bergen,Ramsey Boro,4310,28474.511921,1671.0854225,1262.1771075,330.00397034,1576.1516834,263.72218483,86928138.15,2588.8688525,33578
Bergen,Ridgefield Boro,4370,28837.124813,1201.1123659,1202.611734,538.43691035,594.55265701,72.021002623,50918188.56,1569.3277778,32446
Bergen,Ridgefield Park Twp,4380,24266.752378,3773.0387269,1543.9557772,512.62779016,0,4.5340078681,62953876.55,2091.4277778,30101
Bergen,Ridgewood Village,4390,22770.605504,241.4367808,502.64215851,439.16363126,557.86977298,180.86696159,138921573.52,5626.0441989,24693
Bergen,River Dell Regional,4405,25790.005486,359.05482472,889.62791227,294.11904737,851.6513657,394.43603921,46020117.78,1610.2833333,28579
Bergen,River Edge Boro,4410,20134.434716,225.74831327,990.4833166,8.3271333399,1172.6686375,120.73566811,26691697.85,1178.3166667,22652
Bergen,River Vale Twp,4430,26637.000667,6692.38674,687.41144384,14.510536307,1214.2264293,581.58881936,37122047.56,1036.1436464,35827
Bergen,Rochelle Park Twp,4470,23462.751357,89.074625372,582.93948415,460.44179821,714.22410127,205.27617642,16998323.41,666.21666667,25515
Bergen,Rockleigh,4500,25806.48,0,0,0,0,0,645162,25,25806
Bergen,Rutherford Boro,4600,19869.243672,341.670145,695.30495516,41.673151429,1470.1608985,321.45134697,56463588.48,2483.0615505,22740
Bergen,Saddle Brook Twp,4610,24177.918831,232.02831575,1455.7647317,559.41964861,1156.3185586,339.52028837,48224220.75,1727.1685083,27921
Bergen,Saddle River Boro,4620,29703.285437,963.36007358,1883.8919878,8.8340067672,1678.5187083,122.64928879,11369230.25,330.88043478,34361
Bergen,South Hackensack Twp,4870,27689.667373,1107.569001,890.17315216,410.67140511,1580.8971181,500.61597372,11712322.89,363.9673913,32180
Bergen,Teaneck Twp,5150,30736.451177,196.60254733,2918.8907389,2039.6768124,191.14273552,244.82187821,136259757.05,3750.8618785,36328
Bergen,Tenafly Boro,5160,25141.226655,774.22699555,875.7040016,207.19047863,801.30942106,156.46495318,99868122.36,3572.3166667,27956
Bergen,Upper Saddle River Boro,5330,25686.524686,644.12206706,432.30561859,2.1368598023,256.70726746,9.7634112509,30638621.23,1133.4388889,27032
Bergen,Waldwick Boro,5410,23002.349661,667.54077599,1005.3992896,197.59655342,409.83327952,199.37662174,41192088.5,1616.510989,25482
Bergen,Wallington Boro,5430,20574.077415,483.25561474,1453.0296865,216.50721418,368.88508178,285.70388414,29115372,1245.2333333,23381
Bergen,Westwood Regional,5755,23928.762393,365.33278074,824.72284948,473.1823514,631.14758547,97.310110578,73683177.16,2799.4640884,26320
Bergen,Wood-Ridge Boro,5830,20904.806868,28.943209964,1015.2223396,521.14876202,824.3321822,482.14008238,29758520.17,1251.5888889,23777
Bergen,Woodcliff Lake Boro,5880,25327.679427,304.78932037,896.0157809,207.27848246,850.55164346,538.32988967,20435835.47,726.61666667,28125
Bergen,Wyckoff Twp,5920,23993.557745,794.83726994,710.96052719,257.73459422,766.74545394,383.65521609,54124716.73,2011.5111111,26907
Bergen,Bergen Arts And Sciences Charter Sc,6013,15825.605366,195.4603783,1839.9850012,745.83118073,0,0,22330119,1200.1,18607
Bergen,Englewood On The Palisades Charter,6430,18941.257639,96.780315214,1531.119331,892.81119331,0,0,6672526,310.9,21462
Bergen,Teaneck Community Cs,7890,20720.263535,329.51303351,939.89974219,948.06359209,0,0,8007565,349.1,22938
Burlington,Bass River Twp,200,23121.217949,0,0,0,0,0,1803455,78,23121
Burlington,Beverly City,380,20762.631189,582.1271117,5165.9225157,702.33077133,194.75010729,263.24983028,11820594.94,427.18333333,27671
Burlington,Bordentown Regional,475,23395.220635,507.23127903,1034.3052592,488.02254299,1454.7000377,398.96050408,60368703.76,2213.0555556,27278
Burlington,Burlington City,600,23352.36648,356.29567783,4437.0537976,787.63463305,110.7400295,5762.1065041,62531073.44,1796.55,34806
