CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
3,2860,39686796,22912298,21674790,941811,295697,5353581,4339206,5333948,4525115,4842207,2698361,0,1003881,208136,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,2413.9,12.6,58000,74.1,61575,147.1,125000,13.6,Bergen
3,2900,59219956,31526172,29345021,765833,1415318,12360961,9575442,6149633,4677310,7408742,801796,0,1670043,230537,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,3,I,,1,2715.9,9.9,76221,64.4,78691,106.1,144137,12.4,Bergen
3,3060,14339484,9339882,8499364,777333,63185,2033449,1540309,1345827,1095468,1537984,836136,0,58211,87089,Maywood Boro,Bergen,D. K-8 / 751 +,2,FG,,1,910,11.3,63240,69,61239,185,132679,19.1,Bergen
3,3170,19856212,11309569,10843831,254603,211135,3264637,2604096,2569616,2331685,1954184,1208978,0,702239,27068,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,857.7,8.6,63650,40.7,76025,107.8,138182,15.2,Bergen
3,3330,15794002,10004132,9685581,246557,71994,2270768,1726583,1963781,1732229,1455233,277559,0,98185,8297,Montvale Boro,Bergen,D. K-8 / 751 +,2,I,,1,949.8,10.2,79425,85.9,75487,118.1,147536,12.9,Bergen
3,3350,6036094,3476089,3321581,64529,89979,1413658,486820,551428,431826,527808,275227,16980,44637,17119,Moonachie Boro,Bergen,B. K-8 / 0 - 400,2,B,,1,358.6,10.1,60825,201.8,93700,114.3,108735,11.9,Bergen
3,3550,35762397,19611879,18624213,600641,387025,5684188,4954842,5028526,4301546,4191790,2146413,0,1126083,469693,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,2030.3,12.2,71110,64.7,71860,120.9,133196,11.8,Bergen
3,3600,27093802,15721072,14543197,704121,473754,3851822,2557792,3176945,2848600,3660802,1870251,0,627888,468719,North Arlington Boro,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,1909.5,12.3,58250,85.7,57350,119.4,131457,11.1,Bergen
3,3700,25233893,14471055,13668443,461904,340708,3729635,3534289,2433283,1763015,2988446,1306962,8226,1544713,1385621,Northern Highlands Reg,Bergen,H. 7-12 / 9-12,5,J,,1,1305,11.8,87815,74.2,104315,84.1,132000,8.3,Bergen
3,3710,50973912,29477305,27388745,618321,1470239,8706424,7330130,4958619,4062430,4969659,2781374,0,2859877,172978,Northern Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,2326.7,9.1,115650,36.6,102406,79.1,152038,10.8,Bergen
3,3730,9351231,5450064,5208747,228112,13205,2021132,1587665,934125,676471,845171,277572,0,98406,14623,Northvale Boro,Bergen,C. K-8 / 401 - 750,2,FG,,1,530.6,10.2,74963,63.3,65996,131.3,127200,15,Bergen
3,3740,9289510,5398112,5071294,326493,325,1757446,1420694,1086041,914709,1006725,548719,0,41186,11302,Norwood Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,614.6,12.9,68977,62.3,79164,101.8,119862,9.6,Bergen
3,3760,27602470,16746776,16103813,558648,84315,4963189,3594273,3130657,2781972,2621512,1529257,0,72782,476467,Oakland Boro,Bergen,D. K-8 / 751 +,2,I,,1,1270.6,9.1,68517,43.8,71000,96.7,128737,12.8,Bergen
3,3850,12258873,7645803,7284757,244716,116330,2105961,1844733,1338615,1173333,1057874,435191,0,110620,21743,Old Tappan Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,716.9,11.9,91153,62,84653,101,128440,10.1,Bergen
3,3870,11718017,7119237,6511582,412325,195330,1949555,1517955,1268454,1074586,1355056,638430,0,25714,48041,Oradell Boro,Bergen,A. K-6,1,I,,1,784.7,12.4,68830,77.4,87451,110.6,132000,10.4,Bergen
3,3910,24132930,15557109,14987875,278859,290375,2942255,2133256,2971501,2304118,2160483,1319498,0,482284,145351,Palisades Park,Bergen,E. K-12 / 0 - 1800,3,CD,,1,1808.3,83.8,34330,572.3,59633,,,,Bergen
3,3930,74409232,41202688,38841208,2147543,213937,13396106,9799596,7499959,6677563,10731825,6262236,0,1388448,627863,Paramus Boro,Bergen,G. K-12 / 3501 +,3,GH,,1,3663.1,11,73750,58.5,86400,145.1,167450,15.7,Bergen
3,3940,28094690,15244691,13438892,1638795,167004,6468410,5633089,2730161,2357496,2621385,1355905,0,1010890,5257,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,1207.4,10.2,79978,41.3,97864,85.3,148720,10.5,Bergen
3,3960,45435102,25422241,23154710,737005,1530526,7203594,6147582,4060556,3459331,6079122,2960350,0,2652578,409237,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,1833.2,10.6,102945,58.8,99425,88.2,166579,9.8,Bergen
3,4300,46525861,24437384,22709712,607211,1120461,7620037,6500969,5127600,4145229,6119058,2720977,0,3152699,286595,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,5,I,,1,2075.8,9.9,76939,71.5,83137,90.2,144840,10.4,Bergen
3,4310,54762600,32275694,31228380,972979,74335,9430644,6991771,4257754,3299089,7113505,3168495,0,1615512,264691,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,2553.9,10,94020,60.5,99200,130.7,153766,15.2,Bergen
3,4370,34833011,19283658,18519045,370852,393761,7916150,7308587,3496560,2668010,3462426,1198577,0,610741,53890,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,1563.4,9.6,78558,42.1,98474,102.4,135793,13.1,Bergen
3,4380,38000213,23528840,20405829,3098798,24213,5101727,4436562,4935030,3899557,2993452,309964,0,1090062,174970,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,2070.4,11.3,80276,70.7,79326,124.5,128338,12.8,Bergen
3,4390,92372540,53485932,51121240,1057533,1307159,18229421,15433641,8299907,7000230,10669095,467658,0,1626970,458820,Ridgewood Village,Bergen,G. K-12 / 3501 +,3,J,,1,5577,13,96762,70.3,95315,180.1,170690,16.5,Bergen
3,4405,29714290,17660578,16548785,506695,605098,4159613,3587297,3423509,2850730,2990246,1473818,0,1473916,153731,River Dell Regional,Bergen,H. 7-12 / 9-12,4,I,,1,1588.3,11.3,91874,79.4,106170,122.2,163379,12.3,Bergen
3,4410,18807383,12294023,11565820,438563,289640,2750903,2275602,2115120,1882405,1611527,924186,0,35810,0,River Edge Boro,Bergen,A. K-6,1,I,,1,1176.3,11.9,68892,62.8,76142,148,171246,14.8,Bergen
3,4430,20703178,12363090,11856435,304430,202225,3469268,2680583,2657345,2176430,2046646,1357821,0,166829,29377,River Vale Twp,Bergen,D. K-8 / 751 +,2,I,,1,1024.1,10.4,92905,65.5,70813,123.9,143073,13.8,Bergen
3,4470,8807389,5376009,4924555,166453,285001,1555621,1350841,1004996,797296,829328,429034,0,37265,14858,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,2,FG,,1,505.2,10.9,80223,56.6,70607,137.1,116442,15.1,Bergen
3,4600,39917717,23251442,21852029,695769,703644,5476271,4789813,5717812,4913915,4350023,1678788,25000,1010166,742992,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,2435,11.8,73909,69,95260,134.2,160990,13.3,Bergen
3,4610,29592247,15853753,14555335,621064,677354,5504654,4398701,3659480,2915230,3828276,1678201,0,680424,188133,Saddle Brook Twp,Bergen,E. K-12 / 0 - 1800,3,DE,,1,1694.7,10.8,68115,43.1,74172,152.7,146476,17.7,Bergen
3,4620,4148057,1928881,1708143,42622,178116,1310938,967697,295035,164218,613203,319208,0,0,49097,Saddle River Boro,Bergen,A. K-6,1,J,,1,116.9,7.2,65280,38.1,66712,33.7,79500,5.6,Bergen
3,4870,5740539,3140359,2810393,75703,254263,959194,805077,464170,333046,1032904,415693,23020,120892,4828,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,2,CD,,1,261,9.8,77697,78.5,71110,92.5,47505,10.6,Bergen
3,5150,79875721,46324501,41899830,1645417,2779254,14803631,9867809,7282269,5786557,9974515,3171233,0,1425982,473486,Teaneck Twp,Bergen,G. K-12 / 3501 +,3,GH,,1,3537.9,10.5,86000,64.3,94600,117.8,139274,13.1,Bergen
3,5160,66903932,40301258,37080733,1702460,1518065,11568364,8655282,7196556,6244500,6204364,3753932,50000,1555853,451723,Tenafly Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,3507.2,11.2,88149,74.7,95724,180.6,166708,18.6,Bergen
3,5330,22396754,13193060,12443577,743251,6232,3759530,3419569,2480771,2031136,2837277,1522188,0,126117,653664,Upper Saddle River Boro,Bergen,D. K-8 / 751 +,2,J,,1,1124.4,10.1,67600,48.6,88500,124.2,165793,14.9,Bergen
3,5410,26103996,16468933,16079727,264456,124750,2967550,2694110,3691086,3227585,2159917,1234569,0,795924,554511,Waldwick Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,1582.5,11,64320,79.9,72895,143.1,135000,14.8,Bergen
3,5430,16802156,9216673,8915993,300680,0,2629968,2430744,1888046,1658587,2398971,464662,0,668499,156811,Wallington Boro,Bergen,E. K-12 / 0 - 1800,3,B,,1,1197.2,13.1,64450,66.8,64900,152.9,139051,14,Bergen
3,5755,50369376,28487543,27454654,723220,309669,10089728,7807397,5437634,4825164,5124214,2737829,0,1191022,199314,Westwood Regional,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,2766.5,10.6,79215,59,78410,153.1,145246,17,Bergen
3,5830,17577787,10509117,10201550,256993,50574,2376271,1870375,2394810,2044009,1756437,1077410,0,533570,0,Wood-Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,1208.6,11.7,68095,68.4,62980,176,118000,17.6,Bergen
3,5880,14292666,8310808,7892513,250571,167724,2307189,2002447,1726696,1511537,1842763,564304,0,101877,42430,Woodcliff Lake Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,720.6,8.7,65481,79.8,73161,119.7,150733,15.3,Bergen
3,5920,36273858,20714184,19771746,743029,199409,7312405,5960196,4323113,3923024,3777028,706660,35000,109423,41897,Wyckoff Twp,Bergen,D. K-8 / 751 +,2,I,,1,1987.5,10.4,76538,61.3,97238,152.7,177673,17.1,Bergen
5,380,5385331,3188149,2988503,87787,111859,1226882,1043477,438556,375272,500601,201976,0,14762,12535,Beverly City,Burlington,B. K-8 / 0 - 400,2,B,,1,331.2,9.5,59667,66.8,76822,83.5,130718,10,Burlington
5,475,39071081,20394963,19048003,1028052,318908,7476865,5488861,4128953,3520026,5470416,3084387,0,1160623,593906,Bordentown Regional,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,2190.1,11.7,71883,57.1,80266,142.8,136450,14.7,Burlington
5,600,31818185,18405118,16804874,577915,1022329,5858501,5014041,3156762,2569766,3517604,1526042,0,795693,223661,Burlington City,Burlington,F. K-12 / 1801 - 3500,3,B,1,1,1747.6,10.1,75825,61.3,68187,138.6,125800,15.9,Burlington
5,605,38490740,19906749,18723110,280822,902817,7771356,7175999,3642855,2197297,4254464,1989534,2467880,391648,84653,Burlington Co Spec Serv,Burlington,I. CSSD,7,,,1,537.3,4.3,69178,4.1,71443,49.1,108528,23.4,Burlington
5,610,34432639,17432737,16168376,463878,800483,4643940,4069366,4730698,2957042,5633640,2460545,275000,1630257,191447,Burlington Co Vocational,Burlington,J. VOC,8,,,1,2082.2,14.2,75074,101,77876,193.3,144779,15.5,Burlington
5,620,59543588,36676505,33439950,783101,2453454,10970786,6104386,4894973,3184503,5961609,591867,0,1035974,628597,Burlington Twp,Burlington,G. K-12 / 3501 +,3,FG,,1,3582.9,10.9,74104,78.4,78821,156,138700,16.3,Burlington
5,830,12139266,6633524,6225817,338985,68722,2721607,1702745,1312519,1010453,1436123,843472,0,4209,0,Chesterfield Twp,Burlington,A. K-6,1,GH,,1,711.1,10.3,69452,64.4,75975,88.5,110723,10,Burlington
