CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,County
3,2620,36075974,20322588,19399851,630438,292299,5471142,4844847,5122910,3821489,3939297,2502806,0,978634,162034,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,32,GH,,1,2062.8,10.9,69452,56.8,70550,128.4,150055,14,Bergen
3,2710,18271077,9665557,8967994,289515,408048,3752835,1765744,2584679,1890068,2180250,1074514,0,69017,317450,Little Ferry Boro,Bergen,D. K-8 / 751 +,23,CD,,1,815.1,9.6,73819,99.9,74289,99.9,122500,11.4,Bergen
3,2740,49325241,26993302,25023016,593040,1377246,9569849,6577573,5472434,4752669,6346206,2878887,0,943450,535999,Lodi Borough,Bergen,F. K-12 / 1801 - 3500,32,B,,1,3063.1,12.6,65449,76.5,72977,130.1,148157,12,Bergen
3,2860,45627990,25322351,23928307,1106450,287594,6646743,5523926,4991880,4333685,7015308,2821989,251000,1149091,82058,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,2601.2,13.8,86030,54.4,85530,153.7,168683,14,Bergen
3,2900,61875836,32290430,30022033,832467,1435930,13478561,10586249,6979656,5330481,7035920,955184,0,1970383,229731,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,32,I,,1,2691.8,10.1,83016,62.6,81937,92.8,143918,10.6,Bergen
3,3060,15975861,10034202,9469787,487397,77018,2460965,1559341,1527789,1267577,1753910,965220,0,57953,0,Maywood Boro,Bergen,D. K-8 / 751 +,23,FG,,1,995.7,12.5,66499,79.4,73850,200.2,136792,18.5,Bergen
3,3170,21850664,12430880,11749141,445609,236130,3469131,2870095,2744066,2553484,2232924,1356759,0,805017,29395,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,31,GH,,1,871.3,8.4,66200,47.1,87250,109.5,175826,15.4,Bergen
3,3330,17568207,11200297,10900030,237659,62608,2605970,2077984,2113928,1886926,1525716,319170,0,119887,0,Montvale Boro,Bergen,D. K-8 / 751 +,23,I,,1,983.6,10.8,83758,75,85247,121.9,157139,12.9,Bergen
3,3350,6689002,3723741,3562914,86115,74712,1609771,664750,603866,470684,717928,361364,0,27871,50437,Moonachie Boro,Bergen,B. K-8 / 0 - 400,21,B,,1,379.2,10,68707,180,83653,120,115581,12.7,Bergen
3,3550,38577346,21350598,20603362,479644,267592,5942291,4516366,5323471,4688719,4620982,2595799,0,1128513,264095,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,32,FG,,1,2018.1,12.2,76381,66.1,81521,145.4,154725,14.1,Bergen
3,3600,31829617,18678166,16934506,1083170,660490,4698341,3238294,3478859,3071081,4173049,1972513,0,725590,125462,North Arlington Boro,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,2044.3,12.9,69650,68.8,58750,128.9,130174,11.9,Bergen
3,3700,26995983,15372059,14684210,421527,266322,4415353,4002577,2161022,1818721,3321189,1431719,10740,1624020,796967,Northern Highlands Regional High School,Bergen,H. 7-12 / 9-12,45,J,,1,1260.2,11.2,92084,69.7,105464,84.1,136000,8.7,Bergen
3,3710,53439544,31060771,28473639,897858,1689274,9047420,7837927,5144316,4323759,5110905,2771165,0,3054576,238961,Northern Valley Regional,Bergen,H. 7-12 / 9-12,45,I,,1,2118.8,9.7,119285,35,105535,83.1,161572,10.9,Bergen
3,3730,10479308,6045787,5810929,197028,37830,2053234,1602745,1302217,994740,947881,318032,0,121373,0,Northvale Boro,Bergen,C. K-8 / 401 - 750,22,FG,,1,519.3,10.1,85402,67.1,77964,134.3,149669,15.3,Bergen
3,3740,10407328,5930127,5610919,286599,32609,1955106,1412299,1255730,1056309,1193794,624355,8632,63941,51307,Norwood Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,595.5,11.1,64401,52.8,82432,116.2,127500,12.7,Bergen
3,3760,30182941,17549701,17005497,486510,57694,5608963,4232397,3236986,2896746,3528103,1637375,0,184411,16121,Oakland Boro,Bergen,D. K-8 / 751 +,23,I,,1,1307.4,10,89849,45.9,89591,93.4,152175,11.4,Bergen
3,3850,13848411,8552010,8209491,266111,76408,2347579,2137287,1528197,1339994,1294064,513278,0,126560,40868,Old Tappan Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,764.6,11.6,94400,57.4,99157,108.3,133200,11.2,Bergen
3,3870,12899723,7526606,7023644,323867,179095,2297544,1735960,1517369,1276446,1526309,710162,0,31894,66933,Oradell Boro,Bergen,A. K-6,1,I,,1,777.8,12.5,75257,77.3,95869,110.4,140000,10.3,Bergen
3,3910,27826321,16464530,15835383,325560,303587,5365208,2827317,3162470,2505831,2292776,1345312,0,507359,321085,Palisades Park,Bergen,E. K-12 / 0 - 1800,31,CD,,1,1768.2,11.2,74363,61.7,69600,219.9,116460,23.3,Bergen
3,3930,81881393,45233907,42619212,1617871,996824,14286288,10590652,8589351,7736275,11960335,6972872,0,1540173,477844,Paramus Boro,Bergen,G. K-12 / 3501 +,33,GH,,1,3575.3,10.6,77280,51,86292,136.5,175904,15.6,Bergen
3,3940,29856026,15987313,15174675,649822,162816,7083265,6347013,2993034,2614129,2675976,1293887,0,1098732,74446,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,31,I,,1,1170.7,9.6,82731,47.7,86978,72.8,153554,9.1,Bergen
3,3960,49578945,27278590,25266326,466566,1545698,8181788,7139028,4650834,3903994,6692147,3145385,0,2742214,351508,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,45,I,,1,1692.8,9.8,116240,49.9,103775,86.1,158588,10.5,Bergen
3,4300,48539972,24470585,22865300,599493,1005792,8960238,7604764,5415626,4046901,6295427,2386974,0,3323654,162872,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,45,I,,1,1880,9.7,85647,62.6,84668,69.6,147884,8.3,Bergen
3,4310,62629583,35369792,34174944,1057065,137783,10916394,7803809,5434421,4219866,8746659,4081046,28261,2051798,44674,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,32,I,,1,2380.4,9.5,99592,48.3,102220,108.3,160956,13.6,Bergen
3,4370,37134013,20133164,19403425,224552,505187,9057940,7870306,3802951,2875578,3351610,1363447,0,710809,30220,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,31,DE,,1,1593.9,10.3,83462,40.8,102421,99.4,141817,12.1,Bergen
3,4380,42376383,25720068,24127365,1477920,114783,6496881,5459764,4948746,3890947,3801088,641088,0,1134130,128721,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,2034.9,10.4,78674,56.7,77114,120,147352,13.6,Bergen
3,4390,102417720,60544306,57501769,1794008,1248529,19018230,16288262,9395677,7792274,11190211,598900,0,1932716,490874,Ridgewood Village,Bergen,G. K-12 / 3501 +,33,J,,1,5491.6,12.2,97767,67.8,100133,171.6,167886,16.6,Bergen
3,4405,32638658,19555039,18206862,532071,816106,4110949,3434894,4012672,3353623,3368888,1700502,0,1582618,27947,River Dell Regional,Bergen,H. 7-12 / 9-12,45,I,,1,1583.4,11.3,101381,79.1,106092,121.7,166933,12.3,Bergen
3,4410,20558822,13561221,12507924,658449,394848,2782603,2362681,2231920,1972426,1954806,999811,0,28191,0,River Edge Boro,Bergen,A. K-6,1,I,,1,1264.4,12.2,71788,56.7,87075,119,175550,11.8,Bergen
3,4430,22936930,13199149,12421001,336790,441358,3907748,2795175,2878059,2354487,2779452,1385355,0,172522,7117,River Vale Twp,Bergen,D. K-8 / 751 +,23,I,,1,991.9,9.9,101740,59.9,81575,141.3,144879,16.6,Bergen
3,4470,9585117,5720855,5450639,51463,218753,1842658,1531196,1139282,933099,822786,385530,0,54355,0,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,22,FG,,1,472.8,9.9,84283,51.3,78342,98.3,125000,11.8,Bergen
3,4600,45190930,26017080,24040659,723857,1252564,6270986,5536514,6367777,5500888,5345692,1822772,30746,1038386,894618,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,32,GH,,1,2441.4,11.2,78643,69,101299,130.8,170672,13.6,Bergen
3,4610,33703470,17879774,16555852,672651,651271,6520393,5022523,4089127,3342261,4414270,1953551,0,730953,257606,Saddle Brook Twp,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,1815.6,12.1,71462,45.2,77708,139,143500,14.6,Bergen
3,4620,5214326,2375434,2006912,129173,239349,1464420,894445,512016,232739,862455,350949,0,0,0,Saddle River School District,Bergen,A. K-6,1,J,,1,116.5,8,77545,38.3,92408,28.8,126511,4.4,Bergen
3,4870,5892580,3233562,2933497,50960,249105,1211426,774397,552361,435543,783880,406068,17353,93999,13035,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,21,CD,,1,240.3,9.5,83930,125.5,78105,50.2,88730,5.7,Bergen
3,5150,83060765,48285846,41534605,1636122,5115119,15789714,12647570,7914731,6147806,9601807,3208887,0,1359251,181173,Teaneck Twp,Bergen,G. K-12 / 3501 +,33,GH,,1,3684.5,9.9,83400,54.1,95000,91.9,132910,11,Bergen
