CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,County,enrol1
3,4310,59341466,34272181,32825752,1280087,166342,9832725,7577719,4403151,3486095,8943204,3558004,48114,1753976,628008,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,32,I,,1,2483.1,Bergen,
3,4370,35119601,19049101,18504344,215055,329702,8738303,8018504,3517694,2561684,3018405,1281397,0,726543,23893,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,31,DE,,1,1590.4,Bergen,
3,4380,39208911,24313863,22447758,1768314,97791,5256205,4452991,4824244,3762114,3299606,376480,0,1213474,369358,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,2037.7,Bergen,
3,4390,97500800,56701864,54271907,1246536,1183421,18738708,16088449,8991502,7571228,11126928,500928,0,1859747,761637,Ridgewood Village,Bergen,G. K-12 / 3501 +,33,J,,1,5504.2,Bergen,
3,4405,31510081,18726245,17468785,439559,817901,4182388,3544788,3744613,3170886,3353211,1672110,0,1495852,197900,River Dell Regional,Bergen,H. 7-12 / 9-12,45,I,,1,1588.1,Bergen,
3,4410,19763786,13078666,12274931,455722,348013,2619418,2250768,2196600,1975269,1830479,1034464,0,38623,0,River Edge Boro,Bergen,A. K-6,1,I,,1,1170.8,Bergen,
3,4430,21567654,12722578,12022971,338126,361481,3675076,2802617,2800422,2285830,2194633,1334713,0,174944,21146,River Vale Twp,Bergen,D. K-8 / 751 +,23,I,,1,1013.9,Bergen,
3,4470,9433918,5540349,5161529,164277,214543,1704538,1453869,1161120,875006,968976,397122,0,53981,45781,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,22,FG,,1,492.7,Bergen,
3,4600,42054619,24542833,23247048,581941,713844,5647691,4990607,6018955,5188055,4619822,1771958,75000,1025202,1235479,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,32,GH,,1,2452.5,Bergen,
3,4610,32185332,16667042,15482247,479300,705495,6219640,4964121,4104983,3310767,4382784,1788549,0,742206,66881,Saddle Brook Twp,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,1787.1,Bergen,
3,4620,4739499,2361205,2057912,79851,223442,1421126,880064,260562,114388,696606,329900,0,0,149800,Saddle River School District,Bergen,A. K-6,1,J,,1,108.3,Bergen,
3,4870,5701387,3266037,2902143,44413,319481,957717,680676,452931,348092,880861,423247,12842,130999,0,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,21,CD,,1,237.4,Bergen,
3,5150,82036163,48288386,41868115,1249879,5170392,14518341,12076537,7545699,6274034,10196477,3634858,0,1389689,473352,Teaneck Twp,Bergen,G. K-12 / 3501 +,33,GH,,1,3629,Bergen,
3,5160,69739530,42320594,39043900,1741463,1535231,11854122,9265376,7898625,6955662,5961927,3755919,50000,1616324,265900,Tenafly Boro,Bergen,F. K-12 / 1801 - 3500,32,I,,1,3501.2,Bergen,
3,5330,24117384,16087024,15296857,782017,8150,3129261,2874760,2043009,1619131,2754009,1252397,0,104081,32129,Upper Saddle River Boro,Bergen,D. K-8 / 751 +,23,J,,1,1116.5,Bergen,
3,5410,28263176,17877441,17398377,357357,121707,3488520,3141530,3732694,3257456,2321121,1386639,0,823265,163669,Waldwick Boro,Bergen,E. K-12 / 0 - 1800,31,GH,,1,1559.6,Bergen,
3,5430,17427046,9545210,9189066,348832,7312,2599174,2367772,1907021,1672103,2339754,553341,0,655886,264563,Wallington Boro,Bergen,E. K-12 / 0 - 1800,31,B,,1,1187.9,Bergen,
3,5755,53023161,30162180,28977249,754967,429964,10277082,8421372,5848816,5077932,5482569,2814739,0,1205814,504341,Westwood Regional,Bergen,F. K-12 / 1801 - 3500,32,GH,,1,2777.4,Bergen,
