GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
K. CHARTER,BERGEN,6430,ENGLEWOOD ON THE PALISADES CS,21093,0.174,0.787,0.038,0,0,0.001,9.4,0,66,0.083,80,-181866
K. CHARTER,BERGEN,7890,TEANECK COMMUNITY CS,17464,0.141,0.843,0.016,0,0,0,11.8,212.5,127.5,0.111,80,-8230173
A. K-6,BURLINGTON,200,BASS RIVER TWP,23353,0.439,0.521,0.04,0,0,0,8.1,56,112,0.179,5,-2555143
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,20258,0.59,0.364,0.045,0,0,0.001,11.3,42.1,49.2,0.166,5,-5751508
F. K-12 / 1801 - 3500,BURLINGTON,475,BORDENTOWN REGIONAL,17355,0.278,0.677,0.022,0.017,0,0.006,13.6,67.4,170.7,0.130,5,-51817021
E. K-12 / 0 - 1800,BURLINGTON,600,BURLINGTON CITY,24825,0.654,0.246,0.036,0.061,0,0.003,10,60.8,111.9,0.159,5,-24821327
I. CSSD,BURLINGTON,605,BURLINGTON CO SPEC SERV,50760,0.082,0.142,0.003,0.773,0,0,5.9,9.6,38.7,0.994,5,-42685041
J. VOC,BURLINGTON,610,BURLINGTON CO VOCATIONAL,22300,0.407,0.423,0.032,0.137,0,0.001,13.9,81.9,217,0.205,5,-23527324
G. K-12 / 3501 +,BURLINGTON,620,BURLINGTON TWP,17842,0.373,0.6,0.018,0.008,0,0.001,12.6,87.6,183.1,0.136,5,-73501315
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,15974,0.134,0.787,0.017,0.004,0.058,0,14.2,92.8,173,0.105,5,-13419540
F. K-12 / 1801 - 3500,BURLINGTON,840,CINNAMINSON TWP,19182,0.286,0.694,0.016,0.004,0,0,12.5,97.7,203,0.131,5,-59750175
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,16931,0.333,0.638,0.028,0,0,0.001,12.4,73.8,195.5,0.133,5,-11537700
F. K-12 / 1801 - 3500,BURLINGTON,1060,DELRAN TWP,16081,0.344,0.628,0.025,0.002,0,0.001,13.5,92.2,165.7,0.133,5,-53162599
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,19009,0.533,0.439,0.027,0.001,0,0,10.7,60.6,165.4,0.132,5,-9253035
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,17146,0.447,0.465,0.037,0.001,0.031,0.019,12.3,80.2,113.9,0.117,5,-16620860
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,18131,0.242,0.664,0.017,0.001,0.047,0.029,12.1,64.3,208.8,0.152,5,-108628342
E. K-12 / 0 - 1800,BURLINGTON,1520,FLORENCE TWP,19383,0.392,0.572,0.036,0.001,0,0,11.6,84.6,148.1,0.114,5,-30187514
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,16197,0.23,0.743,0.02,0.008,0,0,11.2,79.6,191.1,0.152,5,-14656447
H. 7-12 / 9-12,BURLINGTON,2610,LENAPE REGIONAL,21830,0.272,0.718,0.01,0,0,0,11.9,79.3,195.9,0.144,5,-203591674
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,18034,0.429,0.545,0.025,0.001,0,0,13.3,57.4,149.9,0.176,5,-25061991
A. K-6,BURLINGTON,2960,MANSFIELD TWP,16607,0.138,0.84,0.013,0.009,0,0,12.6,75.6,177.5,0.117,5,-17583117
F. K-12 / 1801 - 3500,BURLINGTON,3010,MAPLE SHADE TWP,17248,0.326,0.635,0.036,0.004,0,0,12.5,86.7,166.7,0.184,5,-43652457
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,14989,0.237,0.743,0.016,0,0,0.004,12.6,94.5,132.3,0.136,5,-10752958
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,18745,0.181,0.804,0.015,0,0,0,13,62.1,199.6,0.122,5,-75526236
G. K-12 / 3501 +,BURLINGTON,3360,MOORESTOWN TWP,18184,0.144,0.821,0.016,0.018,0,0.001,11.9,70.9,154.9,0.124,5,-111801534
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,19923,0.568,0.363,0.053,0.015,0,0.001,11.5,72.8,0,0.176,5,-15015821
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,17347,0.158,0.819,0.019,0,0.004,0,12.3,67.2,198.4,0.131,5,-110313922
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,22438,0.528,0.306,0.165,0,0,0.001,8.8,62.3,116.9,0.131,5,-4319462
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,19738,0.576,0.114,0.31,0.001,0,0,11.1,59.6,150.7,0.136,5,-14931735
H. 7-12 / 9-12,BURLINGTON,3690,NORTHERN BURLINGTON REG,18212,0.435,0.52,0.038,0.005,0,0.002,13.3,98.4,149.1,0.160,5,-35959507
E. K-12 / 0 - 1800,BURLINGTON,3920,PALMYRA BORO,17062,0.36,0.501,0.032,0.108,0,0,12.7,73.3,99,0.142,5,-17136035
G. K-12 / 3501 +,BURLINGTON,4050,PEMBERTON TWP,22837,0.848,0.11,0.039,0.002,0,0.001,10.9,59.1,188.7,0.134,5,-36031246
H. 7-12 / 9-12,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,17921,0.503,0.462,0.015,0.008,0.008,0.004,15.8,114,120.7,0.162,5,-35499245
E. K-12 / 0 - 1800,BURLINGTON,4450,RIVERSIDE TWP,16529,0.566,0.323,0.039,0.072,0,0,12.8,85.9,162.2,0.145,5,-16609846
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,16245,0.163,0.808,0.02,0.008,0,0.001,12.7,64.7,144.8,0.102,5,-9065658
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,17865,0.376,0.606,0.017,0,0,0.001,12.1,104.6,279,0.116,5,-17234694
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,21070,0.229,0.748,0.022,0,0,0.001,10.2,82.9,93.5,0.120,5,-20145270
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,23408,0.314,0.662,0.025,0,0,0,9.4,54.9,95,0.117,5,-6957623
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,18369,0.444,0.465,0.017,0.011,0.063,0,12.4,48.8,138.5,0.100,5,-14442078
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,21928,0.39,0.58,0.03,0,0,0,7.8,52.9,0,0.056,5,-2517168
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,15509,0.341,0.634,0.025,0,0,0,13.2,93.8,197,0.133,5,-17757306
G. K-12 / 3501 +,BURLINGTON,5805,WILLINGBORO TWP,18277,0.617,0.378,0.001,0.004,0,0,16,86.9,128.8,0.143,5,-54986255
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,19025,0.402,0.561,0.037,0,0,0,10.6,90.6,55.8,0.090,5,-2920905
K. CHARTER,BURLINGTON,6026,RIVERBANK CHARTER SCHOOL OF EXCELLENCE,11984,0.42,0.561,0.019,0,0,0,10.2,143,95.3,0.028,80,-1758614
K. CHARTER,BURLINGTON,6044,RENAISSANCE REGIONAL LEADERSHIP CS,237,1,0,0,0,0,0,12.2,99.4,53,0.060,80,-680064
K. CHARTER,BURLINGTON,6076,BENJAMIN BANNEKER PREP CS,13980,0.597,0.364,0.039,0,0,0,0,0,0,0.059,80,0
K. CHARTER,CAMDEM,6067,KINGDOM CS OF LEADERSHIP,12523,0.508,0.453,0.04,0,0,0,12,0,45,0.055,80,-1028227
E. K-12 / 0 - 1800,CAMDEN,150,AUDUBON BORO,18166,0.415,0.456,0.025,0.104,0,0,11.6,77.2,155.3,0.187,7,-24500685
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,16539,0.304,0.672,0.024,0,0,0,10.9,89.9,156.7,0.104,7,-18650341
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,14498,0.438,0.516,0.042,0.005,0,0,13.3,132.9,161.4,0.095,7,-16006420
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,14819,0.408,0.567,0.023,0.001,0,0.001,12.3,108.1,165.7,0.125,7,-13071044
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,19695,0.431,0.52,0.029,0.02,0,0,10,64,105,0.159,7,-16076270
H. 7-12 / 9-12,CAMDEN,390,BLACK HORSE PIKE REGIONAL,18577,0.543,0.432,0.022,0.003,0,0,14.1,94.1,123.1,0.141,7,-60774378
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,16311,0.764,0.195,0.042,0,0,0,12,285.8,149.1,0.122,7,-2414797
G. K-12 / 3501 +,CAMDEN,680,CAMDEN CITY,26998,0.82,0.023,0.066,0.001,0.087,0.003,6.4,39.2,44.3,0.191,7,-44188810
J. VOC,CAMDEN,700,CAMDEN COUNTY VOCATIONAL,23078,0.55,0.249,0.065,0.136,0,0,11,68.1,100.1,0.289,7,-20104806
G. K-12 / 3501 +,CAMDEN,800,CHERRY HILL TWP,17071,0.16,0.814,0.022,0.004,0,0,12.6,77.1,250,0.155,7,-305727458
