GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,23911,0.108,0.828,0.03,0.034,0,0,7.9,78.8,70.5,0.052,29,-7656464
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,18556,0.56,0.393,0.041,0,0,0.006,10.4,68.8,150.2,0.130,29,-25228025
A. K-6,OCEAN,2760,LONG BEACH ISLAND,27645,0.167,0.81,0.017,0.007,0,0,8.2,101.8,264.4,0.126,29,-11267847
F. K-12 / 1801 - 3500,OCEAN,2940,MANCHESTER TWP,18761,0.19,0.747,0.024,0.039,0,0,10.4,54.4,164.5,0.148,29,-83619976
J. VOC,OCEAN,3790,OCEAN COUNTY VOCATIONAL,15125,0.269,0.606,0.032,0.092,0,0.001,15.4,111.9,121.4,0.179,29,-21056040
A. K-6,OCEAN,3800,OCEAN GATE BORO,21664,0.428,0.538,0.027,0,0,0.007,8.5,45.7,68.5,0.161,29,-3072417
A. K-6,OCEAN,3820,OCEAN TWP,19899,0.425,0.551,0.023,0,0,0.001,10,54.1,146.9,0.136,29,-20369372
H. 7-12 / 9-12,OCEAN,4105,PINELANDS REGIONAL,22343,0.429,0.528,0.027,0,0.009,0.007,9.6,60.5,116.2,0.191,29,-37436854
E. K-12 / 0 - 1800,OCEAN,4190,PLUMSTED TWP,23930,0.413,0.324,0.043,0.006,0,0.214,11.3,57.3,152,0.143,29,-22785524
F. K-12 / 1801 - 3500,OCEAN,4210,POINT PLEASANT BORO,15454,0.229,0.743,0.022,0.006,0,0,12,95.7,167.9,0.134,29,-60686700
E. K-12 / 0 - 1800,OCEAN,4220,POINT PLEASANT BEACH BORO,19800,0.134,0.741,0.019,0.106,0,0,10.7,70,134.3,0.138,29,-23902290
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,26430,0.318,0.451,0.058,0.002,0,0.171,9.7,67,201,0.229,29,-5336825
H. 7-12 / 9-12,OCEAN,4950,SOUTHERN REGIONAL,19652,0.112,0.736,0.015,0.128,0,0.009,13.4,96.7,166.5,0.189,29,-88728408
A. K-6,OCEAN,5020,STAFFORD TWP,18001,0.332,0.645,0.023,0.001,0,0,11.9,77.8,205,0.160,29,-48477902
G. K-12 / 3501 +,OCEAN,5190,TOMS RIVER REGIONAL,15012,0.365,0.532,0.079,0.005,0,0.019,13.7,111.3,224.6,0.135,29,-281885949
A. K-6,OCEAN,5220,TUCKERTON BORO,16521,0.48,0.476,0.037,0.008,0,0,11.1,76.1,165.5,0.145,29,-5305936
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,21662,0.157,0.764,0.015,0.009,0.002,0.053,12.6,67.2,90.6,0.142,31,-29475628
G. K-12 / 3501 +,PASSAIC,900,CLIFTON CITY,15937,0.234,0.72,0.045,0,0,0.001,12.8,68.4,186.5,0.122,31,-241011570
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,16648,0.498,0.338,0.057,0.001,0.016,0.09,11,82.2,339.7,0.129,31,-12083237
F. K-12 / 1801 - 3500,PASSAIC,2100,HAWTHORNE BORO,18505,0.145,0.827,0.024,0.004,0,0,12.3,67.6,172.1,0.216,31,-66610231
H. 7-12 / 9-12,PASSAIC,2510,LAKELAND REGIONAL,22362,0.284,0.676,0.012,0.028,0,0,11.3,70.4,135.2,0.137,31,-33343852
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,17222,0.132,0.841,0.022,0.006,0,0,53.8,130.7,457.5,0.148,31,-25539227
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,16736,0.142,0.843,0.015,0,0,0,12.4,76.2,134.5,0.122,31,-16444323
G. K-12 / 3501 +,PASSAIC,3970,PASSAIC CITY,22519,0.83,0.057,0.046,0.001,0.06,0.006,12,82.5,148.7,0.121,31,-54084377
H. 7-12 / 9-12,PASSAIC,3980,PASSAIC CO MANCHESTER REG,21029,0.412,0.543,0.021,0,0.008,0.016,14.6,84.5,172.3,0.161,31,-21042280
H. 7-12 / 9-12,PASSAIC,3990,PASSAIC VALLEY REGIONAL,20249,0.113,0.872,0.016,0,0,0,13.3,102,113.5,0.132,31,-42400598
J. VOC,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,24382,0.307,0.124,0.046,0.441,0.082,0,11.3,65.8,171.4,0.146,31,-50776676
G. K-12 / 3501 +,PASSAIC,4010,PATERSON CITY,20027,0.856,0.082,0.057,0.001,0,0.004,10.2,66.5,85.7,0.136,31,-118453667
E. K-12 / 0 - 1800,PASSAIC,4230,POMPTON LAKES BORO,19521,0.207,0.685,0.018,0.062,0.005,0.023,12,64.9,115.5,0.137,31,-48506974
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,15745,0.715,0.215,0.07,0,0,0,12.5,75.2,174.4,0.147,31,-5967559
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,19911,0.201,0.732,0.018,0.038,0.007,0.004,12.6,59.4,153.3,0.150,31,-35059440
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,15905,0.136,0.825,0.024,0.015,0,0,13.9,81.1,150.6,0.101,31,-26374200
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,20134,0.246,0.725,0.022,0.008,0,0,9.9,65.3,182.8,0.194,31,-25325016
G. K-12 / 3501 +,PASSAIC,5570,WAYNE TWP,19373,0.124,0.858,0.016,0.001,0,0.001,10.4,62.7,214.1,0.144,31,-256992178
G. K-12 / 3501 +,PASSAIC,5650,WEST MILFORD TWP,20496,0.277,0.697,0.02,0.002,0.002,0.002,12.1,57.5,140.6,0.177,31,-106994948
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,16334,0.134,0.797,0.031,0,0.038,0,12.1,100.4,157.7,0.133,31,-27591482
K. CHARTER,PASSAIC,6021,COMMUNITY CHARTER SCHOOL OF PATERSON,16683,0.866,0.082,0.052,0,0,0,11.5,231.3,138.8,0.094,80,-6950403
K. CHARTER,PASSAIC,6079,JOHN P HOLLAND CHARTER SCHOOL,18159,0.828,0.09,0.082,0,0,0,13.5,95,126.7,0.086,80,-415107
K. CHARTER,PASSAIC,6080,PASSAIC ARTS AND SCIENCE CS,14744,0.794,0.14,0.067,0,0,0,9.5,237,0,0.036,80,-1179602
K. CHARTER,PASSAIC,6096,PATERSON ARTS AND SCIENCE CS,13565,0.856,0.107,0.037,0,0,0,0,0,0,0,80,0
K. CHARTER,PASSAIC,6230,CLASSICAL ACADEMY CS OF CLIFTON,11275,0.271,0.711,0.018,0,0,0,12.6,0,45.2,0.000,80,-1894952
K. CHARTER,PASSAIC,7503,PATERSON CS FOR SCI/TECH,16917,0.855,0.092,0.052,0,0,0.001,11.5,103.4,258.5,0.067,80,-3274016
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,15385,0.492,0.42,0.021,0,0.067,0,11.9,95.3,126.6,0.122,33,-7397491
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,16791,0.433,0.513,0.035,0,0.02,0,11,194.3,136,0.088,33,-2797880
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,21123,0.235,0.641,0.018,0.001,0.105,0,8.8,100.5,382,0.079,33,-7100709
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,19518,0.248,0.704,0.031,0.017,0,0,11,247.1,173,0.098,33,-4999659
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,17608,0.452,0.518,0.029,0,0,0.001,12.4,127,94.1,0.075,33,-5207430
F. K-12 / 1801 - 3500,SALEM,4070,PENNS GRV-CARNEY'S PT REG,17468,0.645,0.273,0.054,0.028,0,0,11.9,89.3,154.8,0.166,33,-22703249
E. K-12 / 0 - 1800,SALEM,4075,PENNSVILLE,18515,0.359,0.607,0.031,0.003,0,0,10.4,63.2,119,0.158,33,-37808083
E. K-12 / 0 - 1800,SALEM,4150,PITTSGROVE TWP,17382,0.54,0.325,0.028,0.106,0,0.001,12.9,79,100.4,0.142,33,-22572609
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,18290,0.561,0.35,0.035,0.012,0.041,0.001,13.3,100,116.9,0.056,33,-4934123
E. K-12 / 0 - 1800,SALEM,4630,SALEM CITY,22944,0.775,0.092,0.054,0.079,0,0,9.4,100.6,94.7,0.140,33,-9328173
I. CSSD,SALEM,4635,SALEM CO SPECIAL SERVICE,34285,0.106,0.087,0.005,0.802,0,0,7.4,3.8,19.3,0.822,33,-5043905
J. VOC,SALEM,4640,SALEM COUNTY VOCATIONAL,12209,0.601,0.204,0.033,0.161,0,0.001,18.1,163.1,108.7,0.148,33,-3056323
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,15945,0.482,0.489,0.027,0.003,0,0,10.9,127.7,191.5,0.138,33,-7931373
E. K-12 / 0 - 1800,SALEM,5910,WOODSTOWN-PILESGROVE REG,16082,0.385,0.416,0.024,0.165,0.01,0,10.7,111.1,127.6,0.134,33,-24529180
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,21088,0.106,0.874,0.013,0.007,0,0,9.5,47.4,111.8,0.134,35,-28576174
G. K-12 / 3501 +,SOMERSET,350,BERNARDS TWP,17210,0.135,0.84,0.011,0.013,0,0.001,12.6,74.4,212.1,0.124,35,-154309297
E. K-12 / 0 - 1800,SOMERSET,490,BOUND BROOK BORO,17002,0.396,0.487,0.059,0.058,0,0,13.9,85.7,155,0.111,35,-27485301
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,18920,0.113,0.867,0.015,0.003,0.001,0.001,10.1,68.7,181.8,0.133,35,-75189504
G. K-12 / 3501 +,SOMERSET,555,BRIDGEWATER-RARITAN REG,18282,0.151,0.834,0.015,0,0,0,11.2,71.3,208.6,0.146,35,-246407675
G. K-12 / 3501 +,SOMERSET,1610,FRANKLIN TWP,19394,0.169,0.808,0.021,0.001,0,0.001,10.7,77.2,160.6,0.129,35,-239244428
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,18437,0.112,0.873,0.011,0.004,0,0,11.6,73.5,154.2,0.114,35,-39805140
G. K-12 / 3501 +,SOMERSET,2170,HILLSBOROUGH TWP,17341,0.299,0.68,0.017,0.004,0,0,10.7,75.5,199.5,0.142,35,-166315075
E. K-12 / 0 - 1800,SOMERSET,3000,MANVILLE BORO,16382,0.319,0.64,0.038,0,0,0.003,12.9,61,124.8,0.170,35,-27168377
G. K-12 / 3501 +,SOMERSET,3320,MONTGOMERY TWP,18726,0.138,0.849,0.012,0.002,0,0,11.6,76.8,142.7,0.108,35,-133818761
F. K-12 / 1801 - 3500,SOMERSET,3670,NORTH PLAINFIELD BORO,18356,0.496,0.477,0.027,0,0,0,11.2,69.6,148.5,0.134,35,-58062815
J. VOC,SOMERSET,4810,SOMERSET CO VOCATIONAL,30522,0.188,0.74,0.028,0.044,0,0,9.9,63.8,60.9,0.180,35,-12906401
F. K-12 / 1801 - 3500,SOMERSET,4815,SOMERSET HILLS REGIONAL,20997,0.12,0.76,0.015,0.104,0,0.001,12.2,65.7,137.7,0.126,35,-60039836
F. K-12 / 1801 - 3500,SOMERSET,4820,SOMERVILLE BORO,18567,0.232,0.495,0.03,0.233,0,0.01,12.5,88.1,173.7,0.126,35,-51190971
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,17400,0.405,0.568,0.027,0,0,0,12.7,87.3,181.6,0.085,35,-11090781
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,23708,0.118,0.833,0.01,0.002,0,0.037,9,50.1,148.5,0.136,35,-75341243
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,20714,0.119,0.87,0.01,0.001,0,0,11.5,85.9,237.7,0.121,35,-20407242
H. 7-12 / 9-12,SOMERSET,5550,WATCHUNG HILLS REGIONAL,19536,0.116,0.702,0.009,0.173,0,0,12.6,92,148.7,0.155,35,-61295757
K. CHARTER,SOMERSET,6018,CENTRAL JERSEY COLLEGE PREP CS,15012,0.43,0.544,0.026,0,0,0,9.3,100,44.4,0.078,80,-4222280
K. CHARTER,SOMERSET,6081,THOMAS EDISON ENERGYSMART CS,9776,0.124,0.847,0.029,0,0,0,15.3,252,63,0.010,80,0
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,19178,0.214,0.768,0.013,0.005,0,0,11.4,148.3,118.6,0.160,37,-24156159
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,19559,0.287,0.656,0.014,0,0.009,0.034,10,65,146.2,0.158,37,-21536857
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,21324,0.258,0.722,0.018,0,0,0.002,8.1,57.3,160.3,0.131,37,-16946858
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,19143,0.448,0.509,0.034,0.01,0,0,9.8,64.4,112.8,0.206,37,-9444528
A. K-6,SUSSEX,1630,FREDON TWP,19972,0.172,0.808,0.021,0,0,0,10.1,91.3,91.3,0.116,37,-8581894
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,17731,0.269,0.713,0.018,0,0,0,12.3,122.1,158.7,0.088,37,-15893529
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,22220,0.337,0.626,0.02,0.017,0,0,10,49.5,138.5,0.214,37,-7741335
A. K-6,SUSSEX,1980,HAMPTON TWP,20273,0.267,0.711,0.021,0,0,0.001,9.1,78.6,93.1,0.103,37,-10297240
C. K-8 / 401 - 750,SUSSEX,2030,HARDYSTON TWP,17042,0.247,0.739,0.014,0,0,0,11.5,93.9,247.3,0.158,37,-18159315
H. 7-12 / 9-12,SUSSEX,2165,HIGH POINT REGIONAL,25913,0.327,0.649,0.012,0.011,0,0.001,11.2,85.1,103.8,0.149,37,-34258000
E. K-12 / 0 - 1800,SUSSEX,2240,HOPATCONG,21944,0.369,0.607,0.024,0,0,0,10.8,47,117.4,0.209,37,-48012434
H. 7-12 / 9-12,SUSSEX,2465,KITTATINNY REGIONAL,20889,0.345,0.592,0.063,0,0,0,11.1,85.7,123.8,0.143,37,-28032115
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,21322,0.244,0.732,0.02,0.004,0,0,9.5,57.7,82.7,0.151,37,-7606394
H. 7-12 / 9-12,SUSSEX,2615,LENAPE VALLEY REGIONAL,18077,0.369,0.616,0.012,0.003,0,0,12.8,82.9,118.4,0.146,37,-19668184
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,21394,0.353,0.611,0.036,0,0,0,6.5,43.6,65.3,0.180,37,-11884711
E. K-12 / 0 - 1800,SUSSEX,3590,NEWTON TOWN,18468,0.296,0.439,0.024,0.241,0,0,11.4,70.8,152.3,0.166,37,-29793924
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,17627,0.524,0.447,0.025,0.004,0,0,11.2,60.2,59,0.166,37,-4718571
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,19286,0.227,0.555,0.218,0,0,0,8.5,147,147,0.155,37,-4201376
F. K-12 / 1801 - 3500,SUSSEX,4960,SPARTA TWP,20119,0.176,0.809,0.013,0.002,0,0,12,103.1,173.4,0.122,37,-101437691
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,17481,0.324,0.647,0.019,0.009,0,0.001,12,111.9,105.3,0.134,37,-7440492
A. K-6,SUSSEX,5040,STILLWATER TWP,18991,0.351,0.588,0.034,0.026,0,0.001,9.4,59.6,79.5,0.145,37,-8402137
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,19731,0.379,0.59,0.028,0.002,0,0.001,10.3,48,147.5,0.205,37,-31965643
J. VOC,SUSSEX,5110,SUSSEX COUNTY VOCATIONAL,21040,0.378,0.488,0.029,0.101,0,0.004,12.6,68.1,118.4,0.224,37,-9209500
F. K-12 / 1801 - 3500,SUSSEX,5360,VERNON TWP,22267,0.429,0.552,0.017,0.002,0,0,11.6,57.8,165.1,0.145,37,-89947369
H. 7-12 / 9-12,SUSSEX,5435,WALLKILL VALLEY REGIONAL,23334,0.379,0.599,0.014,0,0,0.008,12.5,95.6,95.6,0.178,37,-18755990
K. CHARTER,SUSSEX,7850,SUSSEX COUNTY CS FOR TECHNOLOGY,16896,0.296,0.562,0.027,0,0,0.115,10,90,47.4,0.222,80,-3739925
F. K-12 / 1801 - 3500,UNION,310,BERKELEY HEIGHTS TWP,18981,0.125,0.761,0.011,0.096,0,0.007,11.8,53.2,133.3,0.102,39,-79689232
F. K-12 / 1801 - 3500,UNION,850,CLARK TWP,15702,0.135,0.776,0.017,0.072,0,0,12.3,91,166.5,0.120,39,-58597166
G. K-12 / 3501 +,UNION,980,CRANFORD TWP,16496,0.13,0.802,0.016,0.052,0,0,12,73.9,166.4,0.167,39,-99755415
G. K-12 / 3501 +,UNION,1320,ELIZABETH CITY,21820,0.864,0.098,0.033,0,0,0.005,11.8,86.6,210.7,0.085,39,-124441930
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,17510,0.127,0.826,0.017,0.008,0,0.022,13.9,83.3,182.4,0.167,39,-14022542
F. K-12 / 1801 - 3500,UNION,2190,HILLSIDE TWP,18718,0.471,0.474,0.034,0.003,0,0.018,12.4,93,165.3,0.094,39,-54612638
E. K-12 / 0 - 1800,UNION,2420,KENILWORTH BORO,17378,0.267,0.7,0.018,0.015,0,0,11.9,75.3,141.5,0.124,39,-34204067
G. K-12 / 3501 +,UNION,2660,LINDEN CITY,21068,0.278,0.688,0.033,0.001,0,0,11.5,74.9,161.6,0.134,39,-163042591
C. K-8 / 401 - 750,UNION,3470,MOUNTAINSIDE BORO,15688,0.093,0.888,0.012,0.001,0.006,0,14.2,185.2,169.1,0.085,39,-27602270
F. K-12 / 1801 - 3500,UNION,3560,NEW PROVIDENCE BORO,16543,0.12,0.86,0.014,0.006,0,0,13.2,78.8,172.8,0.100,39,-63422890
G. K-12 / 3501 +,UNION,4160,PLAINFIELD CITY,20354,0.833,0.129,0.034,0.002,0,0.002,9.8,65.1,136.1,0.131,39,-55206038
G. K-12 / 3501 +,UNION,4290,RAHWAY CITY,18972,0.394,0.579,0.027,0,0,0,11.9,84.6,186.2,0.149,39,-73869225
F. K-12 / 1801 - 3500,UNION,4540,ROSELLE BORO,19710,0.528,0.434,0.038,0,0,0,10.3,62.9,94.4,0.121,39,-50054609
F. K-12 / 1801 - 3500,UNION,4550,ROSELLE PARK BORO,18267,0.404,0.556,0.03,0.01,0,0,11.4,63.7,138.8,0.136,39,-37806647
G. K-12 / 3501 +,UNION,4670,SCOTCH PLAINS-FANWOOD REG,16610,0.124,0.853,0.017,0.004,0,0.002,12.9,104.9,202.3,0.116,39,-151200665
F. K-12 / 1801 - 3500,UNION,5000,SPRINGFIELD TWP,17916,0.117,0.869,0.013,0.001,0,0,14,91.5,138.8,0.111,39,-66863409
G. K-12 / 3501 +,UNION,5090,SUMMIT CITY,19040,0.115,0.861,0.02,0.004,0,0,11.6,74.1,128.5,0.104,39,-122809855
J. VOC,UNION,5260,UNION COUNTY VOCATIONAL,18760,0.299,0.317,0.03,0.354,0,0,13.5,159.6,120.3,0.102,39,-15707239
G. K-12 / 3501 +,UNION,5290,UNION TWP,17449,0.329,0.644,0.025,0.002,0,0,12.2,77,182,0.119,39,-160612289
G. K-12 / 3501 +,UNION,5730,WESTFIELD TOWN,16923,0.126,0.855,0.017,0.001,0,0.001,12.9,88.9,210,0.155,39,-170778414
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,19999,0.546,0.434,0.018,0.002,0,0,8.6,43.3,71.5,0.140,39,-3130677
K. CHARTER,UNION,6033,THE BARACK OBAMA GREEN CHARTER HS,16918,0.795,0.168,0.037,0,0,0,11.7,68,51,0.098,80,-898120
K. CHARTER,UNION,6217,CENTRAL JERSEY ARTS CS,16207,0.737,0.179,0.084,0,0,0,9.9,77.6,64.7,0.061,80,-2107549
K. CHARTER,UNION,7600,QUEEN CITY ACADEMY CS,15799,0.778,0.162,0.06,0,0,0,8.1,83.7,83.7,0.040,80,-1312431
K. CHARTER,UNION,8010,UNION COUNTY TEAMS CS,15788,0.774,0.18,0.045,0,0,0.001,12.9,158,63.2,0.085,80,-1468107
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,16758,0.108,0.84,0.027,0.025,0,0,13.1,148,222,0.155,41,-14514070
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,16189,0.416,0.554,0.029,0.001,0,0,9.6,80,106.7,0.125,41,-6026214
E. K-12 / 0 - 1800,WARREN,280,BELVIDERE TOWN,16679,0.322,0.292,0.015,0.371,0,0,10.5,61.8,90.9,0.160,41,-12815547
A. K-6,WARREN,400,BLAIRSTOWN TWP,17263,0.288,0.687,0.022,0.002,0,0.001,8.8,48.2,82,0.140,41,-13162241
A. K-6,WARREN,1620,FRANKLIN TWP,21773,0.24,0.709,0.019,0.009,0.023,0,8.9,86.2,83.3,0.088,41,-8041165
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,18087,0.305,0.672,0.023,0,0,0,9.5,76.6,73.5,0.173,41,-3801319
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,17004,0.348,0.635,0.016,0,0.001,0,11.5,62.1,161.4,0.110,41,-25236577
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,14695,0.455,0.53,0.014,0.001,0,0,13.6,71.4,305.9,0.104,41,-14904961
F. K-12 / 1801 - 3500,WARREN,1870,HACKETTSTOWN,18433,0.214,0.44,0.014,0.199,0.059,0.074,12.3,75.9,158.2,0.168,41,-37877136
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,17554,0.105,0.873,0.018,0.004,0,0,9.7,93.2,186.4,0.118,41,-12148822
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,18687,0.258,0.715,0.021,0.005,0,0.001,11.2,98.3,177,0.078,41,-7004142
A. K-6,WARREN,2470,KNOWLTON TWP,19434,0.384,0.57,0.027,0.019,0,0,8.6,55.6,119.5,0.104,41,-5747362
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,15305,0.26,0.677,0.022,0.004,0.038,0,11.3,99.3,217.9,0.102,41,-23524450
A. K-6,WARREN,2970,MANSFIELD TWP,14541,0.439,0.506,0.034,0.005,0.016,0,11.9,79.5,168.1,0.097,41,-10452122
H. 7-12 / 9-12,WARREN,3675,NORTH WARREN REGIONAL,18087,0.369,0.612,0.018,0,0,0.001,11.1,65.3,88.2,0.151,41,-21252252
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,17248,0.46,0.509,0.017,0.014,0,0,10.8,104.3,104.3,0.118,41,-6909322
G. K-12 / 3501 +,WARREN,4100,PHILLIPSBURG TOWN,20213,0.659,0.138,0.035,0.168,0,0,11.3,69.7,153.4,0.134,41,-30936630
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,19531,0.279,0.701,0.019,0,0,0.001,11.8,88.4,108.4,0.059,41,-10193753
I. CSSD,WARREN,5450,WARREN CO SPECIAL SERVICE,38212,0.085,0.102,0.001,0.812,0,0,5.1,26.3,17.5,1.000,41,-1337375
J. VOC,WARREN,5460,WARREN COUNTY VOCATIONAL,23101,0.399,0.419,0.03,0.151,0,0.001,11.1,80.3,124.5,0.000,41,-6068053
H. 7-12 / 9-12,WARREN,5465,WARREN HILLS REGIONAL,20298,0.374,0.572,0.015,0.04,0,0,13,81,155.2,0.153,41,-41335629
A. K-6,WARREN,5480,WASHINGTON BORO,15529,0.422,0.543,0.034,0.001,0,0,11.4,92,187.2,0.156,41,-8426500
A. K-6,WARREN,5530,WASHINGTON TWP,17404,0.373,0.601,0.025,0,0,0.001,10.6,64.7,135.3,0.163,41,-11436522
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,18810,0.238,0.706,0.019,0.001,0.036,0,9.8,52,169,0.168,41,-13763795
K. CHARTER,WARREN,7727,RIDGE AND VALLEY CS,14400,0.312,0.666,0.022,0,0,0,8.3,102.5,94.6,0.181,80,-2093213
