CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,3910,19905135,13452591,12626626,422921,403044,1838453,1475546,2333799,1737611,1735724,1035755,0,436532,38603,1616,PALISADES PARK,BERGEN,E. K-12 / 0 - 1800,3,CD,,1,BERGEN
3,3930,63890930,35465412,33617073,1809464,38875,9348533,7958336,7095345,6411270,10161656,5412596,0,1427347,208529,3940,PARAMUS BORO,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,3940,21995508,12494933,11476948,981303,36682,4412065,3714673,2364455,2033037,1934320,988486,0,778972,48364,1294,PARK RIDGE BORO,BERGEN,E. K-12 / 0 - 1800,3,I,,1,BERGEN
3,3960,36792532,20294165,17978192,430568,1885405,6529793,5962887,3584572,3045630,4179779,2327425,0,2190992,69655,2070,PASCACK VALLEY REGIONAL,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,4300,38843958,20898702,18928987,840324,1129391,5553172,5092511,4173288,3265119,5503184,2311186,0,2656922,137570,2307,RAMAPO-INDIAN HILL REG,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,4310,44926837,27003701,26246323,627148,130230,7677537,5946666,4064915,3010946,4983660,2806965,0,1165175,189185,2942,RAMSEY BORO,BERGEN,F. K-12 / 1801 - 3500,3,I,,1,BERGEN
3,4370,31347465,20140395,18917416,764733,458246,4623418,4555124,2928116,2197181,2857137,1206176,0,695382,623524,1767,RIDGEFIELD BORO,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,4380,30809568,19067028,18582716,475351,8961,4744516,4660832,3215422,2596357,2745529,1538972,0,988609,17854,2343,RIDGEFIELD PARK TWP,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,4390,79143462,46849206,43631934,1491149,1726123,14644871,11926486,7589403,6532378,8448176,649290,0,1543965,78841,5717,RIDGEWOOD VILLAGE,BERGEN,G. K-12 / 3501 +,3,J,,1,BERGEN
3,4405,24954915,14746274,13826335,405415,514524,3043809,2677639,3266904,2828966,2747692,1405231,25000,1118630,249909,1662,RIVER DELL REGIONAL,BERGEN,H. 7-12 / 9-12,4,I,,1,BERGEN
3,4410,14526914,9543007,8999023,187764,356220,2024118,1850524,1711285,1505200,1242332,755586,0,0,15266,1167,RIVER EDGE BORO,BERGEN,A. K-6,1,I,,1,BERGEN
3,4430,18101860,10260412,9562090,276746,421576,2794343,2408575,2769994,2079635,2127361,1128167,0,149750,393552,1161,RIVER VALE TWP,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,4470,6741142,4346136,4184873,98150,63113,802538,606730,870522,680078,667952,336386,20000,33994,71146,458,ROCHELLE PARK TWP,BERGEN,C. K-8 / 401 - 750,2,FG,,1,BERGEN
3,4600,33046398,20058545,18940743,694994,422808,4134377,3523366,3746161,3059518,4212875,1695855,13260,823506,280461,2491,RUTHERFORD BORO,BERGEN,F. K-12 / 1801 - 3500,3,GH,,1,BERGEN
3,4610,23900884,13369674,12831205,216337,322132,4298400,3713216,2677666,2216754,2990548,1613536,0,531148,82742,1649,SADDLE BROOK TWP,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,4620,4422294,2252220,2135304,64408,52508,1266657,1021014,451716,339445,423902,218557,616,19552,0,198,SADDLE RIVER BORO,BERGEN,A. K-6,1,J,,1,BERGEN
3,4870,4740994,2450694,2252192,90815,107687,835865,471088,335352,251279,779138,426843,15387,67367,153994,253,SOUTH HACKENSACK TWP,BERGEN,B. K-8 / 0 - 400,2,CD,,1,BERGEN
3,5150,70253254,43373729,40928805,1687190,757734,11444790,8394791,6111179,5088196,7995394,4569386,0,1253200,183833,3745,TEANECK TWP,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,5160,52948684,31583875,29761303,1191031,631541,8573069,6678890,6494112,6096500,5097244,3101189,0,1168571,682129,3592,TENAFLY BORO,BERGEN,G. K-12 / 3501 +,3,I,,1,BERGEN
3,5330,19061581,11086835,10159529,862391,64915,3327477,2810459,2263069,1825507,2255650,1280512,0,128550,77174,1298,UPPER SADDLE RIVER BORO,BERGEN,D. K-8 / 751 +,2,J,,1,BERGEN
3,5410,23567688,14840483,14294206,407897,138380,3059598,2851145,2845882,2476858,2095588,1327294,0,689271,53132,1596,WALDWICK BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,5430,13303201,7118987,6931200,147274,40513,2221798,2137349,1695612,1483277,1762483,740223,0,504321,2415,1153,WALLINGTON BORO,BERGEN,E. K-12 / 0 - 1800,3,B,,1,BERGEN
3,5755,40084723,21641893,20777915,454036,409942,9025196,6997183,4359395,3892557,3893982,2196931,0,1137134,314665,2688,WESTWOOD REGIONAL,BERGEN,F. K-12 / 1801 - 3500,3,GH,,1,BERGEN
3,5830,14021219,7603133,7129286,386304,87543,2169336,1268225,2119659,1756618,1680895,993179,0,438972,66226,1134,WOOD-RIDGE BORO,BERGEN,E. K-12 / 0 - 1800,3,FG,,1,BERGEN
3,5880,11797375,6614535,6178699,319364,116472,2386397,2074576,1446490,1227930,1265560,393826,0,82066,127431,769,WOODCLIFF LAKE BORO,BERGEN,D. K-8 / 751 +,2,J,,1,BERGEN
3,5920,32070480,18872247,17840132,719377,312738,5881843,5195354,3967904,3349213,3215477,569274,0,130815,307256,1940,WYCKOFF TWP,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
5,200,2158788,1307888,1191941,40968,74979,368559,251886,234262,160010,229689,110776,0,18390,0,109,BASS RIVER TWP,BURLINGTON,A. K-6,1,CD,,1,BURLINGTON
5,380,4113794,2428387,2253231,103768,71388,746020,541587,401100,325907,433555,77766,0,24868,7986,289,BEVERLY CITY,BURLINGTON,B. K-8 / 0 - 400,2,B,,1,BURLINGTON
5,475,31442313,16960302,16055241,600845,304216,5702968,4682836,3309610,2738714,4263153,2591978,0,889716,305950,2511,BORDENTOWN REGIONAL,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,600,28721043,16317611,15084998,528607,704006,5103723,4672614,3075096,2543566,3442518,1588454,0,713066,234429,1701,BURLINGTON CITY,BURLINGTON,E. K-12 / 0 - 1800,3,B,1,1,BURLINGTON
5,605,36746434,21389150,20507356,314044,567750,6570504,6147171,3910911,2781820,4181000,1826892,420690,152946,341842,846,BURLINGTON CO SPEC SERV,BURLINGTON,I. CSSD,7,,,1,BURLINGTON
5,610,31753561,16373147,15720336,627178,25633,3588995,3238112,4029187,2496334,6354611,2674508,0,1400326,2680757,2027,BURLINGTON CO VOCATIONAL,BURLINGTON,J. VOC,8,,,1,BURLINGTON
5,620,50954890,33099356,30858670,678506,1562180,7792640,4845456,3830096,2684980,5485395,788609,0,747403,1292849,4043,BURLINGTON TWP,BURLINGTON,G. K-12 / 3501 +,3,FG,,1,BURLINGTON
5,830,7480349,4204390,4040393,155126,8871,1314450,1005642,890895,687329,1037558,607110,0,4760,0,696,CHESTERFIELD TWP,BURLINGTON,A. K-6,1,GH,,1,BURLINGTON
5,840,33810978,19122171,18215323,677057,229791,5531350,4445079,3716489,3189308,3597290,1786526,0,1446076,159680,2363,CINNAMINSON TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,1030,5020300,2928091,2738259,149073,40759,822399,699083,568091,325619,644609,339830,5563,37873,51711,390,DELANCO TWP,BURLINGTON,B. K-8 / 0 - 400,2,CD,,1,BURLINGTON
5,1060,35331062,20763806,19587917,706574,469315,5548114,4816847,3610444,2830714,4409443,1002147,0,984731,35163,2956,DELRAN TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,1250,8575346,5441357,5243050,188753,9554,1045861,908685,974191,856173,1043251,556802,0,70686,5692,610,EASTAMPTON TWP,BURLINGTON,C. K-8 / 401 - 750,2,FG,,1,BURLINGTON
5,1280,11591632,6694374,6537496,143660,13218,1886376,1501124,1601223,1106530,1306588,744099,0,74250,126783,870,EDGEWATER PARK TWP,BURLINGTON,D. K-8 / 751 +,2,DE,,1,BURLINGTON
5,1420,61965989,39506107,38250561,798403,457143,8800727,7404471,5803924,5052699,6888087,4155111,0,407792,167635,4586,EVESHAM TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
5,1520,20571764,11665476,11283719,275399,106358,2818175,2330874,2464729,2011588,3147929,1842776,0,475455,21022,1557,FLORENCE TWP,BURLINGTON,E. K-12 / 0 - 1800,3,DE,,1,BURLINGTON
5,1910,7782286,5054463,4791030,252054,11379,1130662,962648,830131,601727,677970,270720,0,82156,7946,664,HAINESPORT TWP,BURLINGTON,C. K-8 / 401 - 750,2,FG,,1,BURLINGTON
5,2610,113029990,68075775,64265891,2380706,1429178,15849706,14645883,8998817,7727932,14205717,7350350,0,5752357,1059945,6958,LENAPE REGIONAL,BURLINGTON,H. 7-12 / 9-12,5,GH,,1,BURLINGTON
5,2850,19035018,11566726,11152007,359556,55163,2781944,2564112,2531244,2048796,2023877,986326,0,131228,73554,1476,LUMBERTON TWP,BURLINGTON,D. K-8 / 751 +,2,FG,,1,BURLINGTON
5,2960,9749154,5087771,4918713,137499,31559,1680148,1061514,988295,803073,961343,595704,0,0,0,727,MANSFIELD TWP,BURLINGTON,A. K-6,1,DE,,1,BURLINGTON
5,3010,28124146,17359755,16762168,473340,124247,4139848,3086856,2894760,2450750,2907444,1389365,0,698216,65251,2181,MAPLE SHADE TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,CD,,1,BURLINGTON
5,3070,6371308,4172695,3940042,93135,139518,902263,716432,693236,548130,558736,271642,0,44379,0,524,MEDFORD LAKES BORO,BURLINGTON,C. K-8 / 401 - 750,2,I,,1,BURLINGTON
5,3080,37364294,22778491,19935492,591961,2251038,5231717,4537217,4298058,3611813,4498401,2318063,0,123114,348899,2802,MEDFORD TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
5,3360,56037531,33210620,31444998,691119,1074503,10260691,9177416,4854091,3997917,5843500,2693562,0,1669043,5020,4021,MOORESTOWN TWP,BURLINGTON,G. K-12 / 3501 +,3,I,,1,BURLINGTON
5,3430,14901749,8718665,7891878,298104,528683,2104248,1781715,1800021,1494066,2042488,1221945,0,236327,298679,1006,MOUNT HOLLY TWP,BURLINGTON,D. K-8 / 751 +,2,B,,1,BURLINGTON
5,3440,55046087,35308429,33902145,1056786,349498,6774861,6055103,5257338,4133261,6937900,3365938,0,216543,310914,4175,MOUNT LAUREL TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
5,3540,3590452,2070295,1965224,83862,21209,744313,487415,356815,170145,352317,133060,15810,36977,30458,188,NEW HANOVER TWP,BURLINGTON,B. K-8 / 0 - 400,2,B,,1,BURLINGTON
5,3650,19948014,12270936,11598799,319438,352699,3037252,2768971,2194513,1905356,2313701,1182547,0,46908,104654,1267,NORTH HANOVER TWP,BURLINGTON,A. K-6,1,CD,,1,BURLINGTON
5,3690,26459192,14307287,13194538,676240,436509,4449524,3581347,2664349,2261154,3851594,2060177,0,1139395,335768,2063,NORTHERN BURLINGTON REG,BURLINGTON,H. 7-12 / 9-12,4,DE,,1,BURLINGTON
5,3920,12038149,6627823,6178516,186201,263106,1891508,1729402,1391691,1174558,1493467,711990,0,609737,15454,956,PALMYRA BORO,BURLINGTON,E. K-12 / 0 - 1800,3,DE,,1,BURLINGTON
5,4050,90773105,55217486,53383675,1264780,569031,16477318,12999167,7291290,6241512,9729241,5837430,0,913664,1863231,5039,PEMBERTON TWP,BURLINGTON,G. K-12 / 3501 +,3,B,1,1,BURLINGTON
5,4320,25084801,13256846,11868826,1053576,334444,3436301,2903066,2912860,2493860,4575477,1608467,0,903318,465537,2029,RANCOCAS VALLEY REGIONAL,BURLINGTON,H. 7-12 / 9-12,5,DE,,1,BURLINGTON
5,4450,17948052,11066885,10549343,295927,221615,2121641,1848153,2078681,1831067,2015877,1164869,0,654028,53023,1471,RIVERSIDE TWP,BURLINGTON,E. K-12 / 0 - 1800,3,B,,1,BURLINGTON
